frame,abstime,reltime,april17_baselineBoardC_0.seq:Rectangle 1 [C]:max,april17_baselineBoardC_0.seq:Polygon 1 [C]:max,april17_baselineBoardC_0.seq:Rectangle 2 [C]:max,april17_baselineBoardC_0.seq:Rectangle 3 [C]:max,april17_baselineBoardC_0.seq:Rectangle 4 [C]:max,april17_baselineBoardC_0.seq:Rectangle 5 [C]:mean
1,2000-02-16 23:57:31.929000,0.000000,2.431317e+01,2.435431e+01,2.426516e+01,2.432003e+01,2.435431e+01,2.396789e+01
2,2000-02-16 23:57:32.089000,0.160000,2.431317e+01,2.438172e+01,2.437487e+01,2.443653e+01,2.425143e+01,2.396186e+01
3,2000-02-16 23:57:32.249000,0.320000,2.432003e+01,2.432003e+01,2.430631e+01,2.429945e+01,2.431317e+01,2.394909e+01
4,2000-02-16 23:57:32.409000,0.480000,2.428574e+01,2.428574e+01,2.434745e+01,2.436116e+01,2.427202e+01,2.394775e+01
5,2000-02-16 23:57:32.569000,0.640000,2.429259e+01,2.437487e+01,2.425830e+01,2.434060e+01,2.436802e+01,2.398704e+01
6,2000-02-16 23:57:32.729000,0.800000,2.440228e+01,2.438858e+01,2.431317e+01,2.439543e+01,2.431317e+01,2.399483e+01
7,2000-02-16 23:57:32.889000,0.960000,2.440228e+01,2.434745e+01,2.425830e+01,2.436116e+01,2.430631e+01,2.399298e+01
8,2000-02-16 23:57:33.049000,1.120000,2.438858e+01,2.438858e+01,2.435431e+01,2.444338e+01,2.426516e+01,2.398627e+01
9,2000-02-16 23:57:33.209000,1.280000,2.440228e+01,2.442968e+01,2.445708e+01,2.445023e+01,2.432003e+01,2.399625e+01
10,2000-02-16 23:57:33.369000,1.440000,2.456659e+01,2.464865e+01,2.481257e+01,2.447762e+01,2.445708e+01,2.401376e+01
11,2000-02-16 23:57:33.529000,1.600000,2.472381e+01,2.495580e+01,2.509883e+01,2.453922e+01,2.455291e+01,2.404361e+01
12,2000-02-16 23:57:33.689000,1.760000,2.486716e+01,2.506479e+01,2.522127e+01,2.462130e+01,2.457343e+01,2.406006e+01
13,2000-02-16 23:57:33.849000,1.920000,2.488080e+01,2.521447e+01,2.539788e+01,2.468965e+01,2.464181e+01,2.408509e+01
14,2000-02-16 23:57:34.009000,2.080000,2.491490e+01,2.537751e+01,2.562838e+01,2.482622e+01,2.474430e+01,2.410944e+01
15,2000-02-16 23:57:34.169000,2.240000,2.501031e+01,2.539109e+01,2.558097e+01,2.483305e+01,2.474430e+01,2.412985e+01
16,2000-02-16 23:57:34.329000,2.400000,2.503755e+01,2.556064e+01,2.565546e+01,2.498306e+01,2.477162e+01,2.415150e+01
17,2000-02-16 23:57:34.489000,2.560000,2.507160e+01,2.560806e+01,2.578402e+01,2.503755e+01,2.479892e+01,2.416641e+01
18,2000-02-16 23:57:34.649000,2.720000,2.524846e+01,2.581107e+01,2.589892e+01,2.512605e+01,2.486716e+01,2.417751e+01
19,2000-02-16 23:57:34.809000,2.880000,2.516687e+01,2.581107e+01,2.604742e+01,2.535036e+01,2.490126e+01,2.423516e+01
20,2000-02-16 23:57:34.970000,3.041000,2.525525e+01,2.600019e+01,2.602718e+01,2.537751e+01,2.495580e+01,2.426604e+01
21,2000-02-16 23:57:35.129000,3.200000,2.526884e+01,2.601369e+01,2.603393e+01,2.539109e+01,2.509883e+01,2.428149e+01
22,2000-02-16 23:57:35.290000,3.361000,2.537072e+01,2.611485e+01,2.614181e+01,2.542502e+01,2.494898e+01,2.430132e+01
23,2000-02-16 23:57:35.449000,3.520000,2.535715e+01,2.614181e+01,2.627651e+01,2.552675e+01,2.488080e+01,2.431510e+01
