frame,abstime,reltime,april10_baselineBoardA_1.seq:Rectangle 1 [C]:max,april10_baselineBoardA_1.seq:Polygon 1 [C]:max,april10_baselineBoardA_1.seq:Rectangle 2 [C]:max,april10_baselineBoardA_1.seq:Rectangle 3 [C]:max,april10_baselineBoardA_1.seq:Rectangle 4 [C]:max,april10_baselineBoardA_1.seq:Rectangle 5 [C]:mean
1,2000-02-10 04:57:13.583000,0.000000,2.314775e+01,2.312000e+01,2.300201e+01,2.319628e+01,2.319628e+01,2.282369e+01
2,2000-02-10 04:57:13.743000,0.160000,2.312694e+01,2.310613e+01,2.303673e+01,2.301590e+01,2.312694e+01,2.282295e+01
3,2000-02-10 04:57:13.904000,0.321000,2.309225e+01,2.307144e+01,2.310613e+01,2.314775e+01,2.312000e+01,2.282437e+01
4,2000-02-10 04:57:14.063000,0.480000,2.305061e+01,2.318935e+01,2.302284e+01,2.305755e+01,2.318935e+01,2.282360e+01
5,2000-02-10 04:57:14.223000,0.640000,2.313388e+01,2.309225e+01,2.306450e+01,2.303673e+01,2.325172e+01,2.282752e+01
6,2000-02-10 04:57:14.383000,0.800000,2.302979e+01,2.311307e+01,2.300896e+01,2.312000e+01,2.310613e+01,2.282408e+01
7,2000-02-10 04:57:14.543000,0.960000,2.302979e+01,2.316855e+01,2.303673e+01,2.302284e+01,2.321014e+01,2.281940e+01
8,2000-02-10 04:57:14.703000,1.120000,2.318242e+01,2.302284e+01,2.305755e+01,2.306450e+01,2.321014e+01,2.281898e+01
9,2000-02-10 04:57:14.863000,1.280000,2.304367e+01,2.310613e+01,2.306450e+01,2.300896e+01,2.323786e+01,2.282333e+01
10,2000-02-10 04:57:15.023000,1.440000,2.312694e+01,2.332097e+01,2.321707e+01,2.307837e+01,2.312000e+01,2.283298e+01
11,2000-02-10 04:57:15.183000,1.600000,2.327250e+01,2.347318e+01,2.359754e+01,2.313388e+01,2.322400e+01,2.285418e+01
12,2000-02-10 04:57:15.343000,1.760000,2.342477e+01,2.372865e+01,2.375623e+01,2.321707e+01,2.331405e+01,2.288938e+01
13,2000-02-10 04:57:15.503000,1.920000,2.350773e+01,2.386648e+01,2.395597e+01,2.332790e+01,2.334866e+01,2.293186e+01
14,2000-02-10 04:57:15.663000,2.080000,2.365966e+01,2.401100e+01,2.411411e+01,2.338326e+01,2.356991e+01,2.296902e+01
15,2000-02-10 04:57:15.823000,2.240000,2.369416e+01,2.421712e+01,2.425143e+01,2.359754e+01,2.350082e+01,2.299094e+01
16,2000-02-10 04:57:15.983000,2.400000,2.369416e+01,2.432689e+01,2.440228e+01,2.357682e+01,2.365276e+01,2.300973e+01
17,2000-02-10 04:57:16.143000,2.560000,2.380448e+01,2.443653e+01,2.445708e+01,2.369416e+01,2.362515e+01,2.303381e+01
18,2000-02-10 04:57:16.303000,2.720000,2.388025e+01,2.453238e+01,2.451869e+01,2.378380e+01,2.361825e+01,2.305736e+01
19,2000-02-10 04:57:16.463000,2.880000,2.382515e+01,2.466232e+01,2.458027e+01,2.394909e+01,2.361825e+01,2.307588e+01
20,2000-02-10 04:57:16.623000,3.040000,2.383892e+01,2.471698e+01,2.471015e+01,2.396285e+01,2.368036e+01,2.309388e+01
21,2000-02-10 04:57:16.783000,3.200000,2.397661e+01,2.482622e+01,2.464865e+01,2.404538e+01,2.365276e+01,2.311401e+01
22,2000-02-10 04:57:16.943000,3.360000,2.391467e+01,2.498987e+01,2.477844e+01,2.412785e+01,2.379069e+01,2.312815e+01
23,2000-02-10 04:57:17.103000,3.520000,2.410724e+01,2.495580e+01,2.480575e+01,2.415533e+01,2.376312e+01,2.314487e+01
24,2000-02-10 04:57:17.263000,3.680000,2.399725e+01,2.498306e+01,2.478527e+01,2.417593e+01,2.372865e+01,2.315473e+01
25,2000-02-10 04:57:17.423000,3.840000,2.405226e+01,2.510563e+01,2.494217e+01,2.432003e+01,2.374244e+01,2.317340e+01
26,2000-02-10 04:57:17.583000,4.000000,2.406601e+01,2.513285e+01,2.483305e+01,2.428574e+01,2.374244e+01,2.317388e+01
27,2000-02-10 04:57:17.743000,4.160000,2.405913e+01,2.516006e+01,2.489444e+01,2.435431e+01,2.382515e+01,2.317830e+01
28,2000-02-10 04:57:17.903000,4.320000,2.407288e+01,2.530282e+01,2.490808e+01,2.436116e+01,2.372865e+01,2.318687e+01
29,2000-02-10 04:57:18.063000,4.480000,2.408663e+01,2.539788e+01,2.506479e+01,2.437487e+01,2.372175e+01,2.319952e+01
30,2000-02-10 04:57:18.223000,4.640000,2.407288e+01,2.530961e+01,2.501031e+01,2.445023e+01,2.381826e+01,2.321411e+01
31,2000-02-10 04:57:18.383000,4.800000,2.411411e+01,2.541823e+01,2.503755e+01,2.444338e+01,2.368726e+01,2.322247e+01
32,2000-02-10 04:57:18.543000,4.960000,2.418280e+01,2.541145e+01,2.521447e+01,2.455291e+01,2.372865e+01,2.323815e+01
33,2000-02-10 04:57:18.703000,5.120000,2.428574e+01,2.545216e+01,2.511244e+01,2.447762e+01,2.381137e+01,2.324463e+01
34,2000-02-10 04:57:18.863000,5.280000,2.423085e+01,2.549963e+01,2.505798e+01,2.457343e+01,2.372865e+01,2.325435e+01
35,2000-02-10 04:57:19.023000,5.440000,2.428574e+01,2.555386e+01,2.511924e+01,2.460079e+01,2.378380e+01,2.328624e+01
36,2000-02-10 04:57:19.183000,5.600000,2.438172e+01,2.566900e+01,2.525525e+01,2.464865e+01,2.377001e+01,2.330179e+01
37,2000-02-10 04:57:19.343000,5.760000,2.432003e+01,2.562838e+01,2.524166e+01,2.466915e+01,2.388025e+01,2.331765e+01
38,2000-02-10 04:57:19.503000,5.920000,2.436802e+01,2.572991e+01,2.515326e+01,2.470332e+01,2.385959e+01,2.332603e+01
39,2000-02-10 04:57:19.663000,6.080000,2.432689e+01,2.569608e+01,2.519407e+01,2.477162e+01,2.386648e+01,2.333315e+01
40,2000-02-10 04:57:19.823000,6.240000,2.442283e+01,2.573668e+01,2.532998e+01,2.472381e+01,2.383204e+01,2.334648e+01
41,2000-02-10 04:57:19.983000,6.400000,2.437487e+01,2.572315e+01,2.532998e+01,2.479892e+01,2.379069e+01,2.333955e+01
42,2000-02-10 04:57:20.143000,6.560000,2.440913e+01,2.579078e+01,2.531640e+01,2.476479e+01,2.377691e+01,2.332428e+01
43,2000-02-10 04:57:20.303000,6.720000,2.444338e+01,2.573668e+01,2.535036e+01,2.485351e+01,2.390091e+01,2.334635e+01
44,2000-02-10 04:57:20.463000,6.880000,2.442968e+01,2.578402e+01,2.530282e+01,2.477844e+01,2.388713e+01,2.335737e+01
45,2000-02-10 04:57:20.623000,7.040000,2.445708e+01,2.587865e+01,2.530961e+01,2.479892e+01,2.383204e+01,2.336694e+01
46,2000-02-10 04:57:20.783000,7.200000,2.447077e+01,2.587189e+01,2.548607e+01,2.488762e+01,2.381826e+01,2.337932e+01
47,2000-02-10 04:57:20.943000,7.360000,2.447762e+01,2.586514e+01,2.545894e+01,2.493535e+01,2.390091e+01,2.338493e+01
48,2000-02-10 04:57:21.103000,7.520000,2.449816e+01,2.591243e+01,2.534357e+01,2.488080e+01,2.391467e+01,2.339726e+01
49,2000-02-10 04:57:21.263000,7.680000,2.450500e+01,2.600019e+01,2.541145e+01,2.496943e+01,2.391467e+01,2.343773e+01
50,2000-02-10 04:57:21.423000,7.840000,2.450500e+01,2.598669e+01,2.547251e+01,2.496261e+01,2.395597e+01,2.345915e+01
