frame,abstime,reltime,april10_baselineBoardC_0.seq:Rectangle 1 [C]:max,april10_baselineBoardC_0.seq:Polygon 1 [C]:max,april10_baselineBoardC_0.seq:Rectangle 2 [C]:max,april10_baselineBoardC_0.seq:Rectangle 3 [C]:max,april10_baselineBoardC_0.seq:Rectangle 4 [C]:max,april10_baselineBoardC_0.seq:Rectangle 5 [C]:mean
1,2000-02-10 06:05:51.528000,0.000000,2.402476e+01,2.430631e+01,2.401100e+01,2.401100e+01,2.435431e+01,2.379721e+01
2,2000-02-10 06:05:51.688000,0.160000,2.400413e+01,2.442968e+01,2.399725e+01,2.410724e+01,2.436802e+01,2.379718e+01
3,2000-02-10 06:05:51.848000,0.320000,2.403163e+01,2.438858e+01,2.401100e+01,2.406601e+01,2.434060e+01,2.379900e+01
4,2000-02-10 06:05:52.008000,0.480000,2.398349e+01,2.433374e+01,2.406601e+01,2.406601e+01,2.434060e+01,2.379138e+01
5,2000-02-10 06:05:52.168000,0.640000,2.393532e+01,2.432689e+01,2.403163e+01,2.401100e+01,2.442283e+01,2.378787e+01
6,2000-02-10 06:05:52.328000,0.800000,2.397661e+01,2.437487e+01,2.400413e+01,2.399037e+01,2.436116e+01,2.378326e+01
7,2000-02-10 06:05:52.488000,0.960000,2.396973e+01,2.427888e+01,2.409350e+01,2.403163e+01,2.438172e+01,2.378846e+01
8,2000-02-10 06:05:52.648000,1.120000,2.397661e+01,2.430631e+01,2.402476e+01,2.408663e+01,2.442968e+01,2.378102e+01
9,2000-02-10 06:05:52.808000,1.280000,2.403851e+01,2.447077e+01,2.435431e+01,2.407975e+01,2.447077e+01,2.379551e+01
10,2000-02-10 06:05:52.968000,1.440000,2.426516e+01,2.449131e+01,2.451869e+01,2.407288e+01,2.440913e+01,2.383410e+01
11,2000-02-10 06:05:53.128000,1.600000,2.438858e+01,2.467599e+01,2.482622e+01,2.423771e+01,2.446393e+01,2.385777e+01
12,2000-02-10 06:05:53.288000,1.760000,2.443653e+01,2.489444e+01,2.497624e+01,2.441598e+01,2.446393e+01,2.388388e+01
13,2000-02-10 06:05:53.448000,1.920000,2.451185e+01,2.495580e+01,2.509883e+01,2.444338e+01,2.452554e+01,2.390945e+01
14,2000-02-10 06:05:53.608000,2.080000,2.461447e+01,2.509202e+01,2.522807e+01,2.447762e+01,2.457343e+01,2.393635e+01
15,2000-02-10 06:05:53.768000,2.240000,2.457343e+01,2.533677e+01,2.537072e+01,2.462130e+01,2.453922e+01,2.395917e+01
16,2000-02-10 06:05:53.928000,2.400000,2.460079e+01,2.541145e+01,2.545894e+01,2.480575e+01,2.465549e+01,2.397249e+01
17,2000-02-10 06:05:54.088000,2.560000,2.481257e+01,2.550641e+01,2.562161e+01,2.476479e+01,2.453238e+01,2.398369e+01
18,2000-02-10 06:05:54.248000,2.720000,2.469649e+01,2.560129e+01,2.549285e+01,2.485351e+01,2.469649e+01,2.400336e+01
19,2000-02-10 06:05:54.408000,2.880000,2.478527e+01,2.561483e+01,2.566900e+01,2.489444e+01,2.481940e+01,2.402121e+01
20,2000-02-10 06:05:54.568000,3.040000,2.478527e+01,2.575021e+01,2.572315e+01,2.507841e+01,2.475796e+01,2.404365e+01
21,2000-02-10 06:05:54.728000,3.200000,2.483987e+01,2.584487e+01,2.575021e+01,2.502393e+01,2.468965e+01,2.406019e+01
22,2000-02-10 06:05:54.888000,3.360000,2.491490e+01,2.584487e+01,2.579078e+01,2.514646e+01,2.468282e+01,2.407868e+01
23,2000-02-10 06:05:55.048000,3.520000,2.500350e+01,2.588541e+01,2.593944e+01,2.518047e+01,2.473747e+01,2.409637e+01
24,2000-02-10 06:05:55.208000,3.680000,2.495580e+01,2.598669e+01,2.585162e+01,2.526205e+01,2.466915e+01,2.411428e+01
25,2000-02-10 06:05:55.368000,3.840000,2.507160e+01,2.612833e+01,2.591243e+01,2.526884e+01,2.470332e+01,2.412091e+01
26,2000-02-10 06:05:55.528000,4.000000,2.503755e+01,2.608114e+01,2.600019e+01,2.532998e+01,2.471698e+01,2.414515e+01
27,2000-02-10 06:05:55.688000,4.160000,2.505117e+01,2.608114e+01,2.597319e+01,2.546572e+01,2.471698e+01,2.415456e+01
28,2000-02-10 06:05:55.848000,4.320000,2.507160e+01,2.617550e+01,2.601369e+01,2.546572e+01,2.470332e+01,2.416607e+01
29,2000-02-10 06:05:56.008000,4.480000,2.509202e+01,2.614855e+01,2.596644e+01,2.540466e+01,2.471015e+01,2.413296e+01
30,2000-02-10 06:05:56.168000,4.640000,2.511244e+01,2.618898e+01,2.606765e+01,2.541823e+01,2.464181e+01,2.412572e+01
31,2000-02-10 06:05:56.328000,4.800000,2.504436e+01,2.628324e+01,2.606091e+01,2.554708e+01,2.468282e+01,2.412585e+01
32,2000-02-10 06:05:56.488000,4.960000,2.505117e+01,2.640432e+01,2.614855e+01,2.549963e+01,2.466915e+01,2.414087e+01
33,2000-02-10 06:05:56.648000,5.120000,2.509883e+01,2.643121e+01,2.608114e+01,2.555386e+01,2.466915e+01,2.415676e+01
34,2000-02-10 06:05:56.809000,5.281000,2.510563e+01,2.643793e+01,2.603393e+01,2.558097e+01,2.471015e+01,2.416372e+01
35,2000-02-10 06:05:56.968000,5.440000,2.513285e+01,2.635725e+01,2.614855e+01,2.570285e+01,2.479210e+01,2.418053e+01
36,2000-02-10 06:05:57.128000,5.600000,2.512605e+01,2.633707e+01,2.610811e+01,2.570285e+01,2.476479e+01,2.419187e+01
37,2000-02-10 06:05:57.289000,5.761000,2.518727e+01,2.641776e+01,2.614181e+01,2.568931e+01,2.473747e+01,2.420940e+01
38,2000-02-10 06:05:57.449000,5.921000,2.526205e+01,2.645137e+01,2.616203e+01,2.568931e+01,2.466232e+01,2.422516e+01
39,2000-02-10 06:05:57.609000,6.081000,2.527564e+01,2.645137e+01,2.623612e+01,2.570961e+01,2.477162e+01,2.423523e+01
40,2000-02-10 06:05:57.769000,6.241000,2.526884e+01,2.648496e+01,2.621592e+01,2.575697e+01,2.469649e+01,2.424486e+01
41,2000-02-10 06:05:57.929000,6.401000,2.524846e+01,2.655212e+01,2.626978e+01,2.581783e+01,2.466232e+01,2.425127e+01
42,2000-02-10 06:05:58.089000,6.561000,2.529602e+01,2.666618e+01,2.625632e+01,2.595969e+01,2.476479e+01,2.429020e+01
43,2000-02-10 06:05:58.249000,6.721000,2.537751e+01,2.660581e+01,2.638415e+01,2.583135e+01,2.472381e+01,2.429972e+01
44,2000-02-10 06:05:58.409000,6.881000,2.539788e+01,2.663265e+01,2.633035e+01,2.583135e+01,2.475796e+01,2.429408e+01
45,2000-02-10 06:05:58.569000,7.041000,2.534357e+01,2.671312e+01,2.637743e+01,2.583135e+01,2.468965e+01,2.430553e+01
46,2000-02-10 06:05:58.729000,7.201000,2.537072e+01,2.666618e+01,2.637070e+01,2.589892e+01,2.471698e+01,2.431591e+01
47,2000-02-10 06:05:58.889000,7.361000,2.538430e+01,2.668630e+01,2.635052e+01,2.590567e+01,2.477162e+01,2.432851e+01
48,2000-02-10 06:05:59.049000,7.521000,2.543859e+01,2.673993e+01,2.643793e+01,2.597994e+01,2.485351e+01,2.434358e+01
49,2000-02-10 06:05:59.209000,7.681000,2.542502e+01,2.679352e+01,2.648496e+01,2.589892e+01,2.488080e+01,2.435080e+01
50,2000-02-10 06:05:59.369000,7.841000,2.545894e+01,2.673322e+01,2.655883e+01,2.596644e+01,2.473747e+01,2.435504e+01
51,2000-02-10 06:05:59.529000,8.001000,2.551319e+01,2.680022e+01,2.643793e+01,2.602718e+01,2.479892e+01,2.436716e+01
52,2000-02-10 06:05:59.689000,8.161000,2.544537e+01,2.678683e+01,2.647153e+01,2.597319e+01,2.481257e+01,2.437626e+01
53,2000-02-10 06:05:59.849000,8.321000,2.543180e+01,2.676003e+01,2.648496e+01,2.591918e+01,2.472381e+01,2.433946e+01
54,2000-02-10 06:06:00.009000,8.481000,2.549285e+01,2.676673e+01,2.647824e+01,2.599344e+01,2.474430e+01,2.433512e+01
55,2000-02-10 06:06:00.169000,8.641000,2.544537e+01,2.682701e+01,2.645809e+01,2.600694e+01,2.469649e+01,2.434264e+01
56,2000-02-10 06:06:00.329000,8.801000,2.545894e+01,2.682701e+01,2.646481e+01,2.602044e+01,2.467599e+01,2.435538e+01
57,2000-02-10 06:06:00.489000,8.961000,2.550641e+01,2.685379e+01,2.655212e+01,2.600694e+01,2.480575e+01,2.436915e+01
58,2000-02-10 06:06:00.649000,9.121000,2.553353e+01,2.684040e+01,2.654540e+01,2.606091e+01,2.478527e+01,2.437750e+01
59,2000-02-10 06:06:00.809000,9.281000,2.556741e+01,2.686718e+01,2.651855e+01,2.606765e+01,2.482622e+01,2.438984e+01
60,2000-02-10 06:06:00.969000,9.441000,2.559451e+01,2.691402e+01,2.664606e+01,2.614855e+01,2.475113e+01,2.440016e+01
61,2000-02-10 06:06:01.129000,9.601000,2.562838e+01,2.685379e+01,2.666618e+01,2.607440e+01,2.479892e+01,2.440623e+01
62,2000-02-10 06:06:01.289000,9.761000,2.559451e+01,2.703439e+01,2.661252e+01,2.609463e+01,2.472381e+01,2.441917e+01
63,2000-02-10 06:06:01.449000,9.921000,2.563515e+01,2.692071e+01,2.664606e+01,2.617550e+01,2.476479e+01,2.442779e+01
64,2000-02-10 06:06:01.609000,10.081000,2.562838e+01,2.694747e+01,2.656554e+01,2.616877e+01,2.477844e+01,2.443075e+01
65,2000-02-10 06:06:01.769000,10.241000,2.568254e+01,2.702102e+01,2.665277e+01,2.610811e+01,2.477844e+01,2.444246e+01
66,2000-02-10 06:06:01.929000,10.401000,2.564192e+01,2.695416e+01,2.661252e+01,2.612159e+01,2.484669e+01,2.445165e+01
67,2000-02-10 06:06:02.089000,10.561000,2.562838e+01,2.701433e+01,2.661252e+01,2.615529e+01,2.479892e+01,2.445839e+01
68,2000-02-10 06:06:02.249000,10.721000,2.570961e+01,2.704107e+01,2.666618e+01,2.618898e+01,2.479210e+01,2.446593e+01
69,2000-02-10 06:06:02.409000,10.881000,2.566224e+01,2.708784e+01,2.665277e+01,2.625632e+01,2.482622e+01,2.447915e+01
70,2000-02-10 06:06:02.569000,11.041000,2.568931e+01,2.706779e+01,2.663265e+01,2.619571e+01,2.479210e+01,2.448775e+01
71,2000-02-10 06:06:02.729000,11.201000,2.572991e+01,2.710787e+01,2.663265e+01,2.628997e+01,2.494898e+01,2.449381e+01
72,2000-02-10 06:06:02.889000,11.361000,2.581107e+01,2.710787e+01,2.667289e+01,2.620245e+01,2.487398e+01,2.449724e+01
73,2000-02-10 06:06:03.049000,11.521000,2.575697e+01,2.707448e+01,2.671982e+01,2.624959e+01,2.489444e+01,2.450596e+01
74,2000-02-10 06:06:03.209000,11.681000,2.571638e+01,2.710119e+01,2.673322e+01,2.626978e+01,2.493535e+01,2.451835e+01
75,2000-02-10 06:06:03.369000,11.841000,2.574344e+01,2.713458e+01,2.671982e+01,2.628324e+01,2.488762e+01,2.452531e+01
76,2000-02-10 06:06:03.529000,12.001000,2.577050e+01,2.708784e+01,2.692071e+01,2.628997e+01,2.488080e+01,2.454001e+01
77,2000-02-10 06:06:03.689000,12.161000,2.595294e+01,2.708784e+01,2.688056e+01,2.640432e+01,2.486716e+01,2.455402e+01
78,2000-02-10 06:06:03.849000,12.321000,2.584487e+01,2.710119e+01,2.688056e+01,2.645809e+01,2.487398e+01,2.455736e+01
79,2000-02-10 06:06:04.009000,12.481000,2.585838e+01,2.714794e+01,2.689395e+01,2.633035e+01,2.490808e+01,2.458579e+01
80,2000-02-10 06:06:04.169000,12.641000,2.589216e+01,2.720800e+01,2.685379e+01,2.640432e+01,2.500350e+01,2.463998e+01
81,2000-02-10 06:06:04.329000,12.801000,2.593269e+01,2.725470e+01,2.685379e+01,2.642449e+01,2.497624e+01,2.465453e+01
82,2000-02-10 06:06:04.489000,12.961000,2.595294e+01,2.721468e+01,2.698091e+01,2.650511e+01,2.493535e+01,2.466094e+01
83,2000-02-10 06:06:04.649000,13.121000,2.592593e+01,2.726137e+01,2.692071e+01,2.646481e+01,2.507841e+01,2.467404e+01
84,2000-02-10 06:06:04.809000,13.281000,2.597994e+01,2.733470e+01,2.691402e+01,2.644465e+01,2.499668e+01,2.468265e+01
85,2000-02-10 06:06:04.969000,13.441000,2.600694e+01,2.730137e+01,2.694078e+01,2.654540e+01,2.498987e+01,2.469219e+01
86,2000-02-10 06:06:05.129000,13.601000,2.596644e+01,2.734136e+01,2.694078e+01,2.668630e+01,2.500350e+01,2.469656e+01
87,2000-02-10 06:06:05.289000,13.761000,2.603393e+01,2.736135e+01,2.695416e+01,2.659910e+01,2.499668e+01,2.470648e+01
88,2000-02-10 06:06:05.449000,13.921000,2.598669e+01,2.742796e+01,2.696085e+01,2.651855e+01,2.517367e+01,2.471854e+01
89,2000-02-10 06:06:05.609000,14.081000,2.606765e+01,2.732137e+01,2.698759e+01,2.659910e+01,2.520767e+01,2.473209e+01
90,2000-02-10 06:06:05.769000,14.241000,2.604067e+01,2.744793e+01,2.704775e+01,2.649840e+01,2.503755e+01,2.473034e+01
91,2000-02-10 06:06:05.929000,14.401000,2.603393e+01,2.736135e+01,2.708784e+01,2.653197e+01,2.505798e+01,2.474554e+01
92,2000-02-10 06:06:06.088000,14.560000,2.597994e+01,2.734136e+01,2.707448e+01,2.653197e+01,2.501712e+01,2.473886e+01
93,2000-02-10 06:06:06.248000,14.720000,2.612159e+01,2.746125e+01,2.708784e+01,2.661252e+01,2.501712e+01,2.474468e+01
94,2000-02-10 06:06:06.408000,14.880000,2.601369e+01,2.748121e+01,2.714794e+01,2.658568e+01,2.499668e+01,2.474398e+01
95,2000-02-10 06:06:06.569000,15.041000,2.604742e+01,2.747456e+01,2.705443e+01,2.662594e+01,2.505117e+01,2.475134e+01
96,2000-02-10 06:06:06.729000,15.201000,2.600694e+01,2.741464e+01,2.702770e+01,2.659910e+01,2.505117e+01,2.475735e+01
97,2000-02-10 06:06:06.889000,15.361000,2.603393e+01,2.745459e+01,2.705443e+01,2.651855e+01,2.507160e+01,2.477033e+01
98,2000-02-10 06:06:07.049000,15.521000,2.602718e+01,2.749452e+01,2.706111e+01,2.661252e+01,2.507160e+01,2.477653e+01
99,2000-02-10 06:06:07.209000,15.681000,2.609463e+01,2.750783e+01,2.708116e+01,2.667289e+01,2.511244e+01,2.477911e+01
100,2000-02-10 06:06:07.369000,15.841000,2.608788e+01,2.749452e+01,2.710787e+01,2.662594e+01,2.512605e+01,2.478865e+01
101,2000-02-10 06:06:07.529000,16.001000,2.610811e+01,2.743462e+01,2.711455e+01,2.660581e+01,2.513285e+01,2.480012e+01
102,2000-02-10 06:06:07.689000,16.161000,2.617550e+01,2.746790e+01,2.711455e+01,2.661923e+01,2.514646e+01,2.480172e+01
103,2000-02-10 06:06:07.849000,16.321000,2.618898e+01,2.746790e+01,2.718798e+01,2.668630e+01,2.508521e+01,2.481049e+01
104,2000-02-10 06:06:08.009000,16.481000,2.614855e+01,2.751449e+01,2.718131e+01,2.665277e+01,2.507841e+01,2.481420e+01
