frame,abstime,reltime,april17_baselineBoardB_8.seq:Rectangle 1 [C]:max,april17_baselineBoardB_8.seq:Polygon 1 [C]:max,april17_baselineBoardB_8.seq:Rectangle 2 [C]:max,april17_baselineBoardB_8.seq:Rectangle 3 [C]:max,april17_baselineBoardB_8.seq:Rectangle 4 [C]:max,april17_baselineBoardB_8.seq:Rectangle 5 [C]:mean
1,2000-02-17 01:36:42.349000,0.000000,2.415533e+01,2.358373e+01,2.344552e+01,2.345243e+01,2.507160e+01,2.327989e+01
2,2000-02-17 01:36:42.509000,0.160000,2.410724e+01,2.348700e+01,2.345243e+01,2.339710e+01,2.509202e+01,2.327774e+01
3,2000-02-17 01:36:42.669000,0.320000,2.418280e+01,2.357682e+01,2.341094e+01,2.350773e+01,2.505117e+01,2.327592e+01
4,2000-02-17 01:36:42.829000,0.480000,2.418966e+01,2.355610e+01,2.342477e+01,2.345243e+01,2.511924e+01,2.328049e+01
5,2000-02-17 01:36:42.989000,0.640000,2.423771e+01,2.345935e+01,2.342477e+01,2.339018e+01,2.502393e+01,2.327702e+01
6,2000-02-17 01:36:43.149000,0.800000,2.414159e+01,2.348009e+01,2.341786e+01,2.343169e+01,2.504436e+01,2.327899e+01
7,2000-02-17 01:36:43.309000,0.960000,2.413472e+01,2.357682e+01,2.352847e+01,2.345243e+01,2.503074e+01,2.327978e+01
8,2000-02-17 01:36:43.469000,1.120000,2.415533e+01,2.350082e+01,2.348700e+01,2.348009e+01,2.500350e+01,2.328560e+01
9,2000-02-17 01:36:43.631000,1.282000,2.419653e+01,2.364586e+01,2.366656e+01,2.352847e+01,2.499668e+01,2.329893e+01
10,2000-02-17 01:36:43.789000,1.440000,2.423085e+01,2.383204e+01,2.392844e+01,2.361825e+01,2.505798e+01,2.331780e+01
11,2000-02-17 01:36:43.949000,1.600000,2.423085e+01,2.394221e+01,2.415533e+01,2.372865e+01,2.509202e+01,2.333726e+01
12,2000-02-17 01:36:44.109000,1.760000,2.436116e+01,2.414846e+01,2.440228e+01,2.374933e+01,2.508521e+01,2.337036e+01
13,2000-02-17 01:36:44.269000,1.920000,2.442283e+01,2.429945e+01,2.458711e+01,2.382515e+01,2.516006e+01,2.339978e+01
14,2000-02-17 01:36:44.429000,2.080000,2.440228e+01,2.444338e+01,2.464181e+01,2.383204e+01,2.521447e+01,2.341387e+01
15,2000-02-17 01:36:44.589000,2.240000,2.438858e+01,2.460079e+01,2.484669e+01,2.395597e+01,2.521447e+01,2.344336e+01
