frame,abstime,reltime,april16_microphoneBoardD_3.seq:Rectangle 1 [C]:max,april16_microphoneBoardD_3.seq:Polygon 1 [C]:max,april16_microphoneBoardD_3.seq:Rectangle 2 [C]:max,april16_microphoneBoardD_3.seq:Rectangle 3 [C]:max,april16_microphoneBoardD_3.seq:Rectangle 4 [C]:max,april16_microphoneBoardD_3.seq:Rectangle 5 [C]:mean
1,2000-02-16 05:42:57.329000,0.000000,2.336251e+01,2.354919e+01,2.336943e+01,2.341094e+01,2.392156e+01,2.317182e+01
2,2000-02-16 05:42:57.489000,0.160000,2.342477e+01,2.348009e+01,2.338326e+01,2.346626e+01,2.405913e+01,2.317175e+01
3,2000-02-16 05:42:57.649000,0.320000,2.341786e+01,2.357682e+01,2.345935e+01,2.343169e+01,2.393532e+01,2.316425e+01
4,2000-02-16 05:42:57.809000,0.480000,2.337635e+01,2.361135e+01,2.349391e+01,2.350773e+01,2.393532e+01,2.316577e+01
5,2000-02-16 05:42:57.969000,0.640000,2.348700e+01,2.352155e+01,2.340402e+01,2.354919e+01,2.387336e+01,2.316471e+01
6,2000-02-16 05:42:58.129000,0.800000,2.343169e+01,2.367346e+01,2.349391e+01,2.344552e+01,2.386648e+01,2.315850e+01
7,2000-02-16 05:42:58.289000,0.960000,2.343169e+01,2.362515e+01,2.353537e+01,2.354919e+01,2.392844e+01,2.319840e+01
8,2000-02-16 05:42:58.449000,1.120000,2.346626e+01,2.372175e+01,2.348700e+01,2.356301e+01,2.392156e+01,2.320655e+01
9,2000-02-16 05:42:58.609000,1.280000,2.347318e+01,2.357682e+01,2.351464e+01,2.357682e+01,2.398349e+01,2.321105e+01
10,2000-02-16 05:42:58.769000,1.440000,2.357682e+01,2.354919e+01,2.399037e+01,2.354919e+01,2.405913e+01,2.323024e+01
11,2000-02-16 05:42:58.929000,1.600000,2.369416e+01,2.376312e+01,2.427888e+01,2.363896e+01,2.417593e+01,2.325130e+01
12,2000-02-16 05:42:59.089000,1.760000,2.370795e+01,2.396285e+01,2.458711e+01,2.372175e+01,2.427202e+01,2.327335e+01
13,2000-02-16 05:42:59.249000,1.920000,2.382515e+01,2.411411e+01,2.481940e+01,2.376312e+01,2.421026e+01,2.328876e+01
14,2000-02-16 05:42:59.409000,2.080000,2.389402e+01,2.434745e+01,2.484669e+01,2.374933e+01,2.434060e+01,2.329991e+01
15,2000-02-16 05:42:59.569000,2.240000,2.403163e+01,2.427202e+01,2.495580e+01,2.380448e+01,2.434060e+01,2.331972e+01
16,2000-02-16 05:42:59.729000,2.400000,2.399725e+01,2.441598e+01,2.505798e+01,2.391467e+01,2.439543e+01,2.334542e+01
17,2000-02-16 05:42:59.889000,2.560000,2.396973e+01,2.449816e+01,2.524846e+01,2.401788e+01,2.437487e+01,2.336556e+01
18,2000-02-16 05:43:00.049000,2.720000,2.400413e+01,2.463498e+01,2.535715e+01,2.408663e+01,2.442283e+01,2.338303e+01
