frame,abstime,reltime,april16_microphoneBoardE_1.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_1.seq:Polygon 1 [C]:max,april16_microphoneBoardE_1.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_1.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_1.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_1.seq:Rectangle 5 [C]:mean
1,2000-02-16 06:02:46.764000,0.000000,2.425830e+01,2.408663e+01,2.368036e+01,2.396285e+01,2.382515e+01,2.353088e+01
2,2000-02-16 06:02:46.924000,0.160000,2.420339e+01,2.409350e+01,2.368036e+01,2.399037e+01,2.383204e+01,2.352763e+01
3,2000-02-16 06:02:47.084000,0.320000,2.414159e+01,2.405913e+01,2.372175e+01,2.398349e+01,2.385959e+01,2.352332e+01
4,2000-02-16 06:02:47.244000,0.480000,2.415533e+01,2.423771e+01,2.370106e+01,2.392156e+01,2.380448e+01,2.352306e+01
5,2000-02-16 06:02:47.404000,0.640000,2.419653e+01,2.419653e+01,2.378380e+01,2.399037e+01,2.376312e+01,2.352796e+01
6,2000-02-16 06:02:47.564000,0.800000,2.416906e+01,2.429259e+01,2.370106e+01,2.398349e+01,2.386648e+01,2.355539e+01
7,2000-02-16 06:02:47.724000,0.960000,2.436802e+01,2.425830e+01,2.370106e+01,2.397661e+01,2.380448e+01,2.355954e+01
8,2000-02-16 06:02:47.884000,1.120000,2.423771e+01,2.423085e+01,2.374933e+01,2.394221e+01,2.383892e+01,2.356040e+01
9,2000-02-16 06:02:48.044000,1.280000,2.426516e+01,2.431317e+01,2.404538e+01,2.402476e+01,2.390779e+01,2.358015e+01
10,2000-02-16 06:02:48.204000,1.440000,2.437487e+01,2.431317e+01,2.432003e+01,2.407288e+01,2.402476e+01,2.360243e+01
11,2000-02-16 06:02:48.364000,1.600000,2.427888e+01,2.434060e+01,2.436116e+01,2.409350e+01,2.413472e+01,2.362185e+01
12,2000-02-16 06:02:48.524000,1.760000,2.436116e+01,2.432003e+01,2.451185e+01,2.416220e+01,2.402476e+01,2.363164e+01
13,2000-02-16 06:02:48.684000,1.920000,2.437487e+01,2.445708e+01,2.458027e+01,2.411411e+01,2.417593e+01,2.361800e+01
14,2000-02-16 06:02:48.844000,2.080000,2.431317e+01,2.462130e+01,2.473747e+01,2.415533e+01,2.416906e+01,2.363267e+01
15,2000-02-16 06:02:49.004000,2.240000,2.445708e+01,2.467599e+01,2.471698e+01,2.425830e+01,2.425143e+01,2.365061e+01
16,2000-02-16 06:02:49.164000,2.400000,2.440913e+01,2.477844e+01,2.486034e+01,2.431317e+01,2.426516e+01,2.366938e+01
17,2000-02-16 06:02:49.325000,2.561000,2.449131e+01,2.488080e+01,2.494898e+01,2.436802e+01,2.429945e+01,2.368731e+01
18,2000-02-16 06:02:49.485000,2.721000,2.454607e+01,2.501712e+01,2.494217e+01,2.439543e+01,2.425143e+01,2.370966e+01
19,2000-02-16 06:02:49.645000,2.881000,2.451185e+01,2.515326e+01,2.492853e+01,2.449816e+01,2.425143e+01,2.372690e+01
20,2000-02-16 06:02:49.805000,3.041000,2.458711e+01,2.514646e+01,2.509202e+01,2.453238e+01,2.429945e+01,2.374074e+01
21,2000-02-16 06:02:49.965000,3.201000,2.465549e+01,2.528923e+01,2.516687e+01,2.460763e+01,2.427888e+01,2.375363e+01
22,2000-02-16 06:02:50.125000,3.361000,2.457343e+01,2.524166e+01,2.511924e+01,2.466915e+01,2.434745e+01,2.377310e+01
23,2000-02-16 06:02:50.285000,3.521000,2.461447e+01,2.539109e+01,2.514646e+01,2.478527e+01,2.427888e+01,2.378498e+01
24,2000-02-16 06:02:50.445000,3.681000,2.462814e+01,2.543859e+01,2.520087e+01,2.478527e+01,2.425143e+01,2.380029e+01
25,2000-02-16 06:02:50.605000,3.841000,2.472381e+01,2.546572e+01,2.520767e+01,2.482622e+01,2.427202e+01,2.380958e+01
26,2000-02-16 06:02:50.765000,4.001000,2.470332e+01,2.545894e+01,2.524846e+01,2.493535e+01,2.432689e+01,2.382786e+01
27,2000-02-16 06:02:50.925000,4.161000,2.475113e+01,2.554031e+01,2.533677e+01,2.497624e+01,2.445023e+01,2.386848e+01
28,2000-02-16 06:02:51.085000,4.321000,2.482622e+01,2.558097e+01,2.539788e+01,2.508521e+01,2.447077e+01,2.390648e+01
29,2000-02-16 06:02:51.245000,4.481000,2.483987e+01,2.564869e+01,2.547251e+01,2.505798e+01,2.441598e+01,2.391870e+01
30,2000-02-16 06:02:51.405000,4.641000,2.486034e+01,2.568931e+01,2.542502e+01,2.508521e+01,2.439543e+01,2.392669e+01
31,2000-02-16 06:02:51.565000,4.801000,2.489444e+01,2.573668e+01,2.551319e+01,2.509883e+01,2.437487e+01,2.395025e+01
