frame,abstime,reltime,april17_baselineBoardB_6.seq:Rectangle 1 [C]:max,april17_baselineBoardB_6.seq:Polygon 1 [C]:max,april17_baselineBoardB_6.seq:Rectangle 2 [C]:max,april17_baselineBoardB_6.seq:Rectangle 3 [C]:max,april17_baselineBoardB_6.seq:Rectangle 4 [C]:max,april17_baselineBoardB_6.seq:Rectangle 5 [C]:mean
1,2000-02-17 01:28:05.647000,0.000000,2.429945e+01,2.348009e+01,2.356301e+01,2.352155e+01,2.394221e+01,2.331063e+01
2,2000-02-17 01:28:05.808000,0.161000,2.419653e+01,2.348700e+01,2.353537e+01,2.354919e+01,2.396285e+01,2.331027e+01
3,2000-02-17 01:28:05.967000,0.320000,2.418280e+01,2.351464e+01,2.351464e+01,2.350773e+01,2.390091e+01,2.330681e+01
4,2000-02-17 01:28:06.125000,0.478000,2.412098e+01,2.347318e+01,2.347318e+01,2.352155e+01,2.397661e+01,2.330418e+01
5,2000-02-17 01:28:06.285000,0.638000,2.425830e+01,2.343860e+01,2.356301e+01,2.350082e+01,2.386648e+01,2.330298e+01
6,2000-02-17 01:28:06.445000,0.798000,2.427888e+01,2.350082e+01,2.351464e+01,2.350082e+01,2.405226e+01,2.330222e+01
7,2000-02-17 01:28:06.605000,0.958000,2.434745e+01,2.350773e+01,2.350773e+01,2.347318e+01,2.381137e+01,2.330614e+01
8,2000-02-17 01:28:06.765000,1.118000,2.420339e+01,2.356301e+01,2.348009e+01,2.345243e+01,2.388713e+01,2.330648e+01
9,2000-02-17 01:28:06.925000,1.278000,2.426516e+01,2.363896e+01,2.358373e+01,2.351464e+01,2.397661e+01,2.331888e+01
10,2000-02-17 01:28:07.085000,1.438000,2.431317e+01,2.372865e+01,2.394221e+01,2.356301e+01,2.396285e+01,2.333712e+01
11,2000-02-17 01:28:07.245000,1.598000,2.440913e+01,2.395597e+01,2.412785e+01,2.365966e+01,2.404538e+01,2.335970e+01
12,2000-02-17 01:28:07.405000,1.758000,2.443653e+01,2.418280e+01,2.432689e+01,2.385959e+01,2.418280e+01,2.339042e+01
13,2000-02-17 01:28:07.565000,1.918000,2.439543e+01,2.440228e+01,2.451185e+01,2.385959e+01,2.414159e+01,2.341831e+01
14,2000-02-17 01:28:07.725000,2.078000,2.440228e+01,2.449131e+01,2.461447e+01,2.391467e+01,2.421712e+01,2.343750e+01
15,2000-02-17 01:28:07.885000,2.238000,2.442283e+01,2.455975e+01,2.475796e+01,2.400413e+01,2.420339e+01,2.346677e+01
16,2000-02-17 01:28:08.045000,2.398000,2.445023e+01,2.466915e+01,2.488080e+01,2.405226e+01,2.427202e+01,2.348858e+01
17,2000-02-17 01:28:08.205000,2.558000,2.451185e+01,2.475796e+01,2.492171e+01,2.410037e+01,2.435431e+01,2.351175e+01
18,2000-02-17 01:28:08.365000,2.718000,2.460763e+01,2.491490e+01,2.498306e+01,2.412785e+01,2.440228e+01,2.353212e+01
19,2000-02-17 01:28:08.525000,2.878000,2.459395e+01,2.508521e+01,2.520087e+01,2.438172e+01,2.435431e+01,2.358372e+01
20,2000-02-17 01:28:08.685000,3.038000,2.458027e+01,2.513966e+01,2.526205e+01,2.435431e+01,2.436116e+01,2.360569e+01
21,2000-02-17 01:28:08.845000,3.198000,2.465549e+01,2.524166e+01,2.518047e+01,2.440228e+01,2.433374e+01,2.361625e+01
22,2000-02-17 01:28:09.005000,3.358000,2.470332e+01,2.525525e+01,2.533677e+01,2.450500e+01,2.444338e+01,2.364072e+01
23,2000-02-17 01:28:09.165000,3.518000,2.467599e+01,2.531640e+01,2.532998e+01,2.453238e+01,2.449131e+01,2.366263e+01
