frame,abstime,reltime,april15_microphoneBoardC_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_0.seq:Polygon 1 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 5 [C]:mean
43,2000-02-14 21:25:36.826000,6.720000,2.474430e+01,2.577050e+01,2.562161e+01,2.518047e+01,2.427888e+01,2.372404e+01
44,2000-02-14 21:25:36.986000,6.880000,2.471698e+01,2.581783e+01,2.565546e+01,2.518047e+01,2.421712e+01,2.374065e+01
45,2000-02-14 21:25:37.146000,7.040000,2.474430e+01,2.587865e+01,2.571638e+01,2.521447e+01,2.434745e+01,2.374899e+01
46,2000-02-14 21:25:37.306000,7.200000,2.480575e+01,2.593269e+01,2.579078e+01,2.527564e+01,2.420339e+01,2.376127e+01
47,2000-02-14 21:25:37.467000,7.361000,2.480575e+01,2.591243e+01,2.579078e+01,2.528243e+01,2.428574e+01,2.377574e+01
48,2000-02-14 21:25:37.626000,7.520000,2.484669e+01,2.598669e+01,2.579755e+01,2.531640e+01,2.429259e+01,2.378542e+01
49,2000-02-14 21:25:37.787000,7.681000,2.480575e+01,2.596644e+01,2.587865e+01,2.530961e+01,2.428574e+01,2.379689e+01
50,2000-02-14 21:25:37.947000,7.841000,2.483305e+01,2.595969e+01,2.595969e+01,2.537072e+01,2.416906e+01,2.379643e+01
51,2000-02-14 21:25:38.106000,8.000000,2.482622e+01,2.595969e+01,2.583811e+01,2.537072e+01,2.423085e+01,2.380551e+01
52,2000-02-14 21:25:38.266000,8.160000,2.490808e+01,2.608788e+01,2.584487e+01,2.546572e+01,2.420339e+01,2.382026e+01
53,2000-02-14 21:25:38.426000,8.320000,2.494898e+01,2.616203e+01,2.588541e+01,2.543859e+01,2.418966e+01,2.383051e+01
54,2000-02-14 21:25:38.587000,8.481000,2.490126e+01,2.607440e+01,2.587865e+01,2.542502e+01,2.432003e+01,2.384479e+01
55,2000-02-14 21:25:38.747000,8.641000,2.490126e+01,2.607440e+01,2.591918e+01,2.545216e+01,2.423085e+01,2.385193e+01
56,2000-02-14 21:25:38.907000,8.801000,2.494898e+01,2.609463e+01,2.597319e+01,2.543859e+01,2.420339e+01,2.386003e+01
57,2000-02-14 21:25:39.067000,8.961000,2.497624e+01,2.611485e+01,2.605416e+01,2.543180e+01,2.427202e+01,2.386889e+01
58,2000-02-14 21:25:39.227000,9.121000,2.503755e+01,2.618224e+01,2.600694e+01,2.547929e+01,2.424457e+01,2.387421e+01
59,2000-02-14 21:25:39.386000,9.280000,2.507160e+01,2.611485e+01,2.596644e+01,2.543180e+01,2.423085e+01,2.388704e+01
60,2000-02-14 21:25:39.546000,9.440000,2.510563e+01,2.618898e+01,2.599344e+01,2.542502e+01,2.434060e+01,2.389055e+01
61,2000-02-14 21:25:39.707000,9.601000,2.507841e+01,2.616203e+01,2.604742e+01,2.548607e+01,2.432003e+01,2.390115e+01
62,2000-02-14 21:25:39.867000,9.761000,2.503755e+01,2.617550e+01,2.604067e+01,2.558097e+01,2.423085e+01,2.390688e+01
63,2000-02-14 21:25:40.027000,9.921000,2.510563e+01,2.621592e+01,2.608114e+01,2.553353e+01,2.429259e+01,2.391530e+01
64,2000-02-14 21:25:40.187000,10.081000,2.501712e+01,2.618224e+01,2.614181e+01,2.555386e+01,2.423085e+01,2.390580e+01
65,2000-02-14 21:25:40.346000,10.240000,2.512605e+01,2.619571e+01,2.613507e+01,2.557419e+01,2.423771e+01,2.391230e+01
66,2000-02-14 21:25:40.506000,10.400000,2.514646e+01,2.621592e+01,2.610137e+01,2.558097e+01,2.419653e+01,2.391987e+01
67,2000-02-14 21:25:40.666000,10.560000,2.508521e+01,2.620918e+01,2.611485e+01,2.560806e+01,2.421026e+01,2.392747e+01
68,2000-02-14 21:25:40.828000,10.722000,2.507160e+01,2.624285e+01,2.614181e+01,2.568254e+01,2.425830e+01,2.394192e+01
69,2000-02-14 21:25:40.987000,10.881000,2.513285e+01,2.620245e+01,2.616877e+01,2.561483e+01,2.435431e+01,2.395175e+01
70,2000-02-14 21:25:41.147000,11.041000,2.505798e+01,2.622265e+01,2.619571e+01,2.564869e+01,2.436802e+01,2.396567e+01
71,2000-02-14 21:25:41.307000,11.201000,2.512605e+01,2.624285e+01,2.620245e+01,2.567577e+01,2.423771e+01,2.397466e+01
72,2000-02-14 21:25:41.467000,11.361000,2.518047e+01,2.628997e+01,2.619571e+01,2.574344e+01,2.433374e+01,2.398838e+01
73,2000-02-14 21:25:41.627000,11.521000,2.512605e+01,2.628997e+01,2.622939e+01,2.568254e+01,2.433374e+01,2.399706e+01
74,2000-02-14 21:25:41.787000,11.681000,2.522127e+01,2.633707e+01,2.623612e+01,2.571638e+01,2.428574e+01,2.400934e+01
75,2000-02-14 21:25:41.947000,11.841000,2.529602e+01,2.631016e+01,2.630343e+01,2.572991e+01,2.432003e+01,2.401801e+01
76,2000-02-14 21:25:42.107000,12.001000,2.526205e+01,2.632362e+01,2.626978e+01,2.575697e+01,2.438858e+01,2.402715e+01
77,2000-02-14 21:25:42.267000,12.161000,2.520767e+01,2.632362e+01,2.638415e+01,2.577050e+01,2.438858e+01,2.403235e+01
78,2000-02-14 21:25:42.427000,12.321000,2.532998e+01,2.631689e+01,2.631689e+01,2.583811e+01,2.433374e+01,2.403626e+01
79,2000-02-14 21:25:42.587000,12.481000,2.530282e+01,2.631016e+01,2.633707e+01,2.579078e+01,2.434745e+01,2.404444e+01
80,2000-02-14 21:25:42.747000,12.641000,2.526205e+01,2.637070e+01,2.636398e+01,2.572315e+01,2.436802e+01,2.405368e+01
81,2000-02-14 21:25:42.907000,12.801000,2.529602e+01,2.634380e+01,2.640432e+01,2.585162e+01,2.436802e+01,2.406227e+01
82,2000-02-14 21:25:43.067000,12.961000,2.536394e+01,2.635052e+01,2.634380e+01,2.577050e+01,2.441598e+01,2.407449e+01
83,2000-02-14 21:25:43.227000,13.121000,2.532998e+01,2.637070e+01,2.641104e+01,2.578402e+01,2.447077e+01,2.408516e+01
84,2000-02-14 21:25:43.387000,13.281000,2.535715e+01,2.641104e+01,2.640432e+01,2.583811e+01,2.433374e+01,2.409567e+01
85,2000-02-14 21:25:43.547000,13.441000,2.533677e+01,2.641104e+01,2.641104e+01,2.587189e+01,2.434745e+01,2.410208e+01
86,2000-02-14 21:25:43.707000,13.601000,2.545216e+01,2.641776e+01,2.647824e+01,2.581783e+01,2.432689e+01,2.410664e+01
87,2000-02-14 21:25:43.867000,13.761000,2.544537e+01,2.637743e+01,2.648496e+01,2.587865e+01,2.431317e+01,2.410859e+01
88,2000-02-14 21:25:44.027000,13.921000,2.537072e+01,2.638415e+01,2.643793e+01,2.585162e+01,2.436116e+01,2.411173e+01
89,2000-02-14 21:25:44.187000,14.081000,2.530961e+01,2.647153e+01,2.643793e+01,2.583811e+01,2.440913e+01,2.411932e+01
90,2000-02-14 21:25:44.347000,14.241000,2.530961e+01,2.639087e+01,2.644465e+01,2.587865e+01,2.434060e+01,2.412212e+01
91,2000-02-14 21:25:44.507000,14.401000,2.544537e+01,2.644465e+01,2.647824e+01,2.599344e+01,2.440228e+01,2.413029e+01
92,2000-02-14 21:25:44.667000,14.561000,2.536394e+01,2.645137e+01,2.649168e+01,2.589216e+01,2.438858e+01,2.414404e+01
93,2000-02-14 21:25:44.827000,14.721000,2.535715e+01,2.649840e+01,2.651855e+01,2.595969e+01,2.436116e+01,2.414852e+01
94,2000-02-14 21:25:44.987000,14.881000,2.551997e+01,2.647824e+01,2.649840e+01,2.593269e+01,2.437487e+01,2.415875e+01
95,2000-02-14 21:25:45.147000,15.041000,2.544537e+01,2.645137e+01,2.655212e+01,2.593269e+01,2.438172e+01,2.416245e+01
96,2000-02-14 21:25:45.307000,15.201000,2.538430e+01,2.645809e+01,2.654540e+01,2.590567e+01,2.440228e+01,2.417206e+01
97,2000-02-14 21:25:45.467000,15.361000,2.544537e+01,2.645809e+01,2.655212e+01,2.595969e+01,2.445023e+01,2.418067e+01
98,2000-02-14 21:25:45.627000,15.521000,2.543859e+01,2.647153e+01,2.651183e+01,2.600019e+01,2.443653e+01,2.419522e+01
99,2000-02-14 21:25:45.787000,15.681000,2.548607e+01,2.645137e+01,2.657897e+01,2.595969e+01,2.444338e+01,2.420643e+01
100,2000-02-14 21:25:45.947000,15.841000,2.549963e+01,2.650511e+01,2.655212e+01,2.600694e+01,2.443653e+01,2.420636e+01
101,2000-02-14 21:25:46.107000,16.001000,2.547251e+01,2.647824e+01,2.658568e+01,2.599344e+01,2.447762e+01,2.421225e+01
102,2000-02-14 21:25:46.267000,16.161000,2.547929e+01,2.651183e+01,2.658568e+01,2.606765e+01,2.442968e+01,2.422142e+01
103,2000-02-14 21:25:46.427000,16.321000,2.550641e+01,2.649840e+01,2.663935e+01,2.602044e+01,2.444338e+01,2.423384e+01
104,2000-02-14 21:25:46.587000,16.481000,2.564192e+01,2.651183e+01,2.662594e+01,2.605416e+01,2.449131e+01,2.423310e+01
105,2000-02-14 21:25:46.747000,16.641000,2.559451e+01,2.656554e+01,2.665948e+01,2.604067e+01,2.440913e+01,2.424612e+01
106,2000-02-14 21:25:46.907000,16.801000,2.558097e+01,2.651855e+01,2.666618e+01,2.603393e+01,2.445708e+01,2.424332e+01
107,2000-02-14 21:25:47.067000,16.961000,2.564869e+01,2.650511e+01,2.665277e+01,2.607440e+01,2.449131e+01,2.425319e+01
108,2000-02-14 21:25:47.227000,17.121000,2.564869e+01,2.653197e+01,2.665277e+01,2.606765e+01,2.453922e+01,2.425805e+01
109,2000-02-14 21:25:47.387000,17.281000,2.560129e+01,2.660581e+01,2.665948e+01,2.610137e+01,2.447077e+01,2.426501e+01
110,2000-02-14 21:25:47.547000,17.441000,2.556741e+01,2.659239e+01,2.666618e+01,2.608114e+01,2.447762e+01,2.426968e+01
111,2000-02-14 21:25:47.707000,17.601000,2.556741e+01,2.659239e+01,2.667289e+01,2.611485e+01,2.449816e+01,2.427360e+01
112,2000-02-14 21:25:47.867000,17.761000,2.560806e+01,2.655212e+01,2.671982e+01,2.619571e+01,2.445708e+01,2.428188e+01
113,2000-02-14 21:25:48.027000,17.921000,2.566900e+01,2.660581e+01,2.676003e+01,2.615529e+01,2.462130e+01,2.430033e+01
114,2000-02-14 21:25:48.187000,18.081000,2.565546e+01,2.663935e+01,2.675333e+01,2.616877e+01,2.453238e+01,2.433637e+01
115,2000-02-14 21:25:48.347000,18.241000,2.564192e+01,2.667959e+01,2.682031e+01,2.620918e+01,2.454607e+01,2.434656e+01
116,2000-02-14 21:25:48.507000,18.401000,2.575021e+01,2.663935e+01,2.681362e+01,2.620245e+01,2.461447e+01,2.435640e+01
117,2000-02-14 21:25:48.667000,18.561000,2.570285e+01,2.665948e+01,2.680692e+01,2.620245e+01,2.453238e+01,2.435508e+01
118,2000-02-14 21:25:48.827000,18.721000,2.569608e+01,2.665277e+01,2.680692e+01,2.624285e+01,2.458711e+01,2.437074e+01
119,2000-02-14 21:25:48.987000,18.881000,2.568254e+01,2.661923e+01,2.687387e+01,2.628324e+01,2.460763e+01,2.437554e+01
120,2000-02-14 21:25:49.147000,19.041000,2.573668e+01,2.669971e+01,2.687387e+01,2.630343e+01,2.462130e+01,2.438753e+01
121,2000-02-14 21:25:49.307000,19.201000,2.576373e+01,2.669971e+01,2.686049e+01,2.633035e+01,2.462814e+01,2.439829e+01
122,2000-02-14 21:25:49.467000,19.361000,2.577726e+01,2.671312e+01,2.687387e+01,2.633707e+01,2.458711e+01,2.440420e+01
123,2000-02-14 21:25:49.627000,19.521000,2.578402e+01,2.673322e+01,2.693409e+01,2.639760e+01,2.467599e+01,2.441781e+01
124,2000-02-14 21:25:49.787000,19.681000,2.575021e+01,2.669300e+01,2.689395e+01,2.626978e+01,2.473747e+01,2.441678e+01
125,2000-02-14 21:25:49.947000,19.841000,2.579078e+01,2.671982e+01,2.691402e+01,2.624959e+01,2.462130e+01,2.442283e+01
126,2000-02-14 21:25:50.107000,20.001000,2.584487e+01,2.673322e+01,2.691402e+01,2.634380e+01,2.468282e+01,2.443413e+01
127,2000-02-14 21:25:50.267000,20.161000,2.582459e+01,2.677343e+01,2.694747e+01,2.639087e+01,2.460079e+01,2.444076e+01
128,2000-02-14 21:25:50.427000,20.321000,2.585162e+01,2.672652e+01,2.692071e+01,2.631689e+01,2.464181e+01,2.443814e+01
129,2000-02-14 21:25:50.587000,20.481000,2.577050e+01,2.672652e+01,2.690064e+01,2.637743e+01,2.461447e+01,2.444315e+01
130,2000-02-14 21:25:50.747000,20.641000,2.583135e+01,2.670641e+01,2.692071e+01,2.630343e+01,2.466915e+01,2.444977e+01
131,2000-02-14 21:25:50.907000,20.801000,2.584487e+01,2.673993e+01,2.696085e+01,2.631016e+01,2.468965e+01,2.445802e+01
132,2000-02-14 21:25:51.067000,20.961000,2.585838e+01,2.672652e+01,2.693409e+01,2.644465e+01,2.468965e+01,2.445854e+01
133,2000-02-14 21:25:51.227000,21.121000,2.584487e+01,2.671982e+01,2.696753e+01,2.640432e+01,2.469649e+01,2.446033e+01
134,2000-02-14 21:25:51.387000,21.281000,2.583135e+01,2.679352e+01,2.696753e+01,2.633707e+01,2.464181e+01,2.447295e+01
135,2000-02-14 21:25:51.547000,21.441000,2.585838e+01,2.669300e+01,2.692740e+01,2.643121e+01,2.464865e+01,2.447236e+01
136,2000-02-14 21:25:51.707000,21.601000,2.588541e+01,2.680022e+01,2.695416e+01,2.637070e+01,2.479210e+01,2.448021e+01
137,2000-02-14 21:25:51.867000,21.761000,2.593944e+01,2.676003e+01,2.697422e+01,2.643793e+01,2.469649e+01,2.449365e+01
138,2000-02-14 21:25:52.027000,21.921000,2.587189e+01,2.679352e+01,2.699428e+01,2.653197e+01,2.474430e+01,2.451594e+01
139,2000-02-14 21:25:52.187000,22.081000,2.592593e+01,2.682031e+01,2.698759e+01,2.652526e+01,2.473747e+01,2.452234e+01
140,2000-02-14 21:25:52.347000,22.241000,2.593269e+01,2.683371e+01,2.700097e+01,2.643793e+01,2.472381e+01,2.453114e+01
