frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
43,2000-02-10 06:31:49.038000,6.721000,2.495580e+01,2.624285e+01,2.601369e+01,2.540466e+01,2.429945e+01,2.395016e+01
44,2000-02-10 06:31:49.198000,6.881000,2.492853e+01,2.625632e+01,2.605416e+01,2.542502e+01,2.432003e+01,2.396320e+01
45,2000-02-10 06:31:49.358000,7.041000,2.494898e+01,2.642449e+01,2.603393e+01,2.545216e+01,2.439543e+01,2.398380e+01
46,2000-02-10 06:31:49.518000,7.201000,2.494217e+01,2.636398e+01,2.599344e+01,2.549285e+01,2.429945e+01,2.398966e+01
47,2000-02-10 06:31:49.678000,7.361000,2.497624e+01,2.637070e+01,2.610811e+01,2.550641e+01,2.432003e+01,2.400815e+01
48,2000-02-10 06:31:49.838000,7.521000,2.500350e+01,2.641104e+01,2.608788e+01,2.551319e+01,2.432689e+01,2.401451e+01
49,2000-02-10 06:31:49.998000,7.681000,2.496943e+01,2.645137e+01,2.613507e+01,2.554708e+01,2.433374e+01,2.402743e+01
50,2000-02-10 06:31:50.158000,7.841000,2.508521e+01,2.641776e+01,2.620918e+01,2.557419e+01,2.434745e+01,2.403979e+01
51,2000-02-10 06:31:50.318000,8.001000,2.505798e+01,2.650511e+01,2.626978e+01,2.564192e+01,2.431317e+01,2.404573e+01
52,2000-02-10 06:31:50.478000,8.161000,2.510563e+01,2.651855e+01,2.618898e+01,2.562161e+01,2.442968e+01,2.405578e+01
53,2000-02-10 06:31:50.638000,8.321000,2.509202e+01,2.648496e+01,2.620245e+01,2.561483e+01,2.433374e+01,2.405498e+01
54,2000-02-10 06:31:50.798000,8.481000,2.509883e+01,2.653869e+01,2.619571e+01,2.558774e+01,2.436802e+01,2.405127e+01
