frame,abstime,reltime,april10_baselineBoardD_2.seq:Rectangle 1 [C]:max,april10_baselineBoardD_2.seq:Polygon 1 [C]:max,april10_baselineBoardD_2.seq:Rectangle 2 [C]:max,april10_baselineBoardD_2.seq:Rectangle 3 [C]:max,april10_baselineBoardD_2.seq:Rectangle 4 [C]:max,april10_baselineBoardD_2.seq:Rectangle 5 [C]:mean
1,2000-02-10 07:37:38.104000,0.000000,2.430631e+01,2.381137e+01,2.379069e+01,2.368726e+01,2.383892e+01,2.356678e+01
2,2000-02-10 07:37:38.264000,0.160000,2.410037e+01,2.381137e+01,2.380448e+01,2.379069e+01,2.387336e+01,2.355447e+01
3,2000-02-10 07:37:38.424000,0.320000,2.422398e+01,2.381137e+01,2.389402e+01,2.368726e+01,2.382515e+01,2.356092e+01
4,2000-02-10 07:37:38.584000,0.480000,2.413472e+01,2.383204e+01,2.374933e+01,2.373554e+01,2.380448e+01,2.356680e+01
5,2000-02-10 07:37:38.744000,0.640000,2.425143e+01,2.378380e+01,2.383204e+01,2.370795e+01,2.385959e+01,2.356796e+01
6,2000-02-10 07:37:38.904000,0.800000,2.418966e+01,2.379069e+01,2.389402e+01,2.375623e+01,2.382515e+01,2.356904e+01
7,2000-02-10 07:37:39.064000,0.960000,2.413472e+01,2.381137e+01,2.383892e+01,2.372175e+01,2.390779e+01,2.356797e+01
8,2000-02-10 07:37:39.224000,1.120000,2.414159e+01,2.376312e+01,2.380448e+01,2.373554e+01,2.387336e+01,2.357034e+01
9,2000-02-10 07:37:39.384000,1.280000,2.408663e+01,2.383892e+01,2.386648e+01,2.372865e+01,2.390091e+01,2.357206e+01
10,2000-02-10 07:37:39.544000,1.440000,2.425143e+01,2.413472e+01,2.414846e+01,2.382515e+01,2.392844e+01,2.359756e+01
11,2000-02-10 07:37:39.705000,1.601000,2.435431e+01,2.429259e+01,2.444338e+01,2.388713e+01,2.401100e+01,2.361857e+01
12,2000-02-10 07:37:39.865000,1.761000,2.442283e+01,2.444338e+01,2.458027e+01,2.404538e+01,2.410037e+01,2.364786e+01
13,2000-02-10 07:37:40.025000,1.921000,2.442968e+01,2.455975e+01,2.470332e+01,2.423771e+01,2.418966e+01,2.369340e+01
14,2000-02-10 07:37:40.185000,2.081000,2.449131e+01,2.472381e+01,2.484669e+01,2.425143e+01,2.428574e+01,2.372467e+01
15,2000-02-10 07:37:40.345000,2.241000,2.459395e+01,2.484669e+01,2.491490e+01,2.431317e+01,2.425830e+01,2.374259e+01
16,2000-02-10 07:37:40.505000,2.401000,2.449131e+01,2.498987e+01,2.501712e+01,2.440913e+01,2.425143e+01,2.376472e+01
17,2000-02-10 07:37:40.665000,2.561000,2.458711e+01,2.516006e+01,2.524166e+01,2.442283e+01,2.434745e+01,2.378635e+01
18,2000-02-10 07:37:40.825000,2.721000,2.460763e+01,2.521447e+01,2.522807e+01,2.452554e+01,2.436116e+01,2.380863e+01
19,2000-02-10 07:37:40.985000,2.881000,2.473747e+01,2.530282e+01,2.527564e+01,2.456659e+01,2.434745e+01,2.382499e+01
20,2000-02-10 07:37:41.145000,3.041000,2.473064e+01,2.549285e+01,2.538430e+01,2.463498e+01,2.436802e+01,2.383905e+01
21,2000-02-10 07:37:41.305000,3.201000,2.468965e+01,2.543859e+01,2.530282e+01,2.464865e+01,2.436116e+01,2.380000e+01
22,2000-02-10 07:37:41.465000,3.361000,2.466232e+01,2.547251e+01,2.530961e+01,2.467599e+01,2.433374e+01,2.381085e+01
23,2000-02-10 07:37:41.625000,3.521000,2.477844e+01,2.564192e+01,2.539109e+01,2.475113e+01,2.437487e+01,2.383467e+01
24,2000-02-10 07:37:41.785000,3.681000,2.482622e+01,2.566900e+01,2.547929e+01,2.481257e+01,2.445708e+01,2.385119e+01
