frame,abstime,reltime,april10_baselineBoardA_0.seq:Rectangle 1 [C]:max,april10_baselineBoardA_0.seq:Polygon 1 [C]:max,april10_baselineBoardA_0.seq:Rectangle 2 [C]:max,april10_baselineBoardA_0.seq:Rectangle 3 [C]:max,april10_baselineBoardA_0.seq:Rectangle 4 [C]:max,april10_baselineBoardA_0.seq:Rectangle 5 [C]:mean
1,2000-02-10 04:48:36.927000,0.000000,2.328635e+01,2.307837e+01,2.315468e+01,2.310613e+01,2.302979e+01,2.279361e+01
2,2000-02-10 04:48:37.087000,0.160000,2.327250e+01,2.312694e+01,2.318242e+01,2.315468e+01,2.303673e+01,2.279152e+01
3,2000-02-10 04:48:37.247000,0.320000,2.328635e+01,2.308531e+01,2.324479e+01,2.302979e+01,2.300201e+01,2.278536e+01
4,2000-02-10 04:48:37.407000,0.480000,2.318935e+01,2.303673e+01,2.314081e+01,2.299507e+01,2.308531e+01,2.278431e+01
5,2000-02-10 04:48:37.567000,0.640000,2.317548e+01,2.308531e+01,2.315468e+01,2.312694e+01,2.303673e+01,2.278521e+01
6,2000-02-10 04:48:37.727000,0.800000,2.325865e+01,2.304367e+01,2.322400e+01,2.316855e+01,2.297423e+01,2.278332e+01
7,2000-02-10 04:48:37.887000,0.960000,2.325172e+01,2.299507e+01,2.301590e+01,2.296033e+01,2.300201e+01,2.276006e+01
8,2000-02-10 04:48:38.047000,1.120000,2.319628e+01,2.296728e+01,2.315468e+01,2.305061e+01,2.296728e+01,2.275079e+01
9,2000-02-10 04:48:38.207000,1.280000,2.319628e+01,2.316855e+01,2.316855e+01,2.302979e+01,2.298812e+01,2.276665e+01
10,2000-02-10 04:48:38.367000,1.440000,2.329328e+01,2.341094e+01,2.342477e+01,2.314081e+01,2.314081e+01,2.278983e+01
11,2000-02-10 04:48:38.527000,1.600000,2.342477e+01,2.363206e+01,2.365966e+01,2.315468e+01,2.320321e+01,2.281516e+01
12,2000-02-10 04:48:38.687000,1.760000,2.361825e+01,2.374244e+01,2.388713e+01,2.327943e+01,2.334866e+01,2.284199e+01
13,2000-02-10 04:48:38.847000,1.920000,2.364586e+01,2.395597e+01,2.396973e+01,2.337635e+01,2.335559e+01,2.286396e+01
14,2000-02-10 04:48:39.007000,2.080000,2.365966e+01,2.433374e+01,2.407288e+01,2.350773e+01,2.347318e+01,2.287911e+01
15,2000-02-10 04:48:39.167000,2.240000,2.366656e+01,2.433374e+01,2.427202e+01,2.360444e+01,2.352847e+01,2.289697e+01
16,2000-02-10 04:48:39.327000,2.400000,2.361135e+01,2.425830e+01,2.429259e+01,2.361825e+01,2.352155e+01,2.291173e+01
17,2000-02-10 04:48:39.487000,2.560000,2.373554e+01,2.452554e+01,2.442283e+01,2.376312e+01,2.353537e+01,2.293753e+01
18,2000-02-10 04:48:39.647000,2.720000,2.379069e+01,2.448447e+01,2.442968e+01,2.383892e+01,2.356991e+01,2.295291e+01
19,2000-02-10 04:48:39.807000,2.880000,2.376312e+01,2.466915e+01,2.453922e+01,2.392844e+01,2.356991e+01,2.297376e+01
20,2000-02-10 04:48:39.967000,3.040000,2.381826e+01,2.471698e+01,2.457343e+01,2.395597e+01,2.355610e+01,2.298737e+01
21,2000-02-10 04:48:40.129000,3.202000,2.387336e+01,2.488762e+01,2.466232e+01,2.401788e+01,2.363206e+01,2.301296e+01
22,2000-02-10 04:48:40.289000,3.362000,2.401788e+01,2.487398e+01,2.465549e+01,2.406601e+01,2.365966e+01,2.301925e+01
23,2000-02-10 04:48:40.449000,3.522000,2.394221e+01,2.498306e+01,2.473064e+01,2.410037e+01,2.363896e+01,2.303827e+01
24,2000-02-10 04:48:40.609000,3.682000,2.403163e+01,2.512605e+01,2.482622e+01,2.422398e+01,2.366656e+01,2.310724e+01
25,2000-02-10 04:48:40.769000,3.842000,2.404538e+01,2.514646e+01,2.487398e+01,2.425830e+01,2.370795e+01,2.312909e+01
26,2000-02-10 04:48:40.929000,4.002000,2.407288e+01,2.525525e+01,2.491490e+01,2.438172e+01,2.368726e+01,2.314528e+01
27,2000-02-10 04:48:41.089000,4.162000,2.406601e+01,2.534357e+01,2.486716e+01,2.434060e+01,2.374933e+01,2.315361e+01
28,2000-02-10 04:48:41.249000,4.322000,2.415533e+01,2.529602e+01,2.491490e+01,2.439543e+01,2.383892e+01,2.316262e+01
29,2000-02-10 04:48:41.409000,4.482000,2.410037e+01,2.547929e+01,2.492853e+01,2.440913e+01,2.376312e+01,2.317610e+01
30,2000-02-10 04:48:41.569000,4.642000,2.418280e+01,2.535036e+01,2.496261e+01,2.445708e+01,2.379758e+01,2.319240e+01
31,2000-02-10 04:48:41.729000,4.802000,2.415533e+01,2.551997e+01,2.496943e+01,2.451869e+01,2.373554e+01,2.320743e+01
32,2000-02-10 04:48:41.889000,4.962000,2.425143e+01,2.558774e+01,2.499668e+01,2.451185e+01,2.376312e+01,2.321204e+01
33,2000-02-10 04:48:42.049000,5.122000,2.426516e+01,2.555386e+01,2.505117e+01,2.458027e+01,2.372865e+01,2.322354e+01
34,2000-02-10 04:48:42.209000,5.282000,2.421712e+01,2.558097e+01,2.508521e+01,2.456659e+01,2.378380e+01,2.323574e+01
35,2000-02-10 04:48:42.369000,5.442000,2.425143e+01,2.556064e+01,2.510563e+01,2.462130e+01,2.382515e+01,2.324594e+01
36,2000-02-10 04:48:42.529000,5.602000,2.426516e+01,2.562838e+01,2.513966e+01,2.464181e+01,2.381137e+01,2.325719e+01
37,2000-02-10 04:48:42.689000,5.762000,2.425830e+01,2.570285e+01,2.513285e+01,2.475113e+01,2.378380e+01,2.324600e+01
38,2000-02-10 04:48:42.849000,5.922000,2.426516e+01,2.573668e+01,2.517367e+01,2.473064e+01,2.372865e+01,2.322519e+01
39,2000-02-10 04:48:43.009000,6.082000,2.432003e+01,2.565546e+01,2.509202e+01,2.466232e+01,2.368726e+01,2.323154e+01
40,2000-02-10 04:48:43.169000,6.242000,2.432003e+01,2.572991e+01,2.520087e+01,2.465549e+01,2.376312e+01,2.323868e+01
41,2000-02-10 04:48:43.329000,6.402000,2.436116e+01,2.583135e+01,2.523486e+01,2.475113e+01,2.368726e+01,2.325131e+01
42,2000-02-10 04:48:43.489000,6.562000,2.434060e+01,2.575021e+01,2.521447e+01,2.471698e+01,2.376312e+01,2.326029e+01
43,2000-02-10 04:48:43.649000,6.722000,2.444338e+01,2.577050e+01,2.521447e+01,2.486034e+01,2.376312e+01,2.326909e+01
44,2000-02-10 04:48:43.809000,6.882000,2.440228e+01,2.585162e+01,2.520767e+01,2.479210e+01,2.382515e+01,2.327774e+01
45,2000-02-10 04:48:43.969000,7.042000,2.438858e+01,2.581783e+01,2.523486e+01,2.480575e+01,2.393532e+01,2.328804e+01
46,2000-02-10 04:48:44.129000,7.202000,2.446393e+01,2.582459e+01,2.524166e+01,2.481257e+01,2.379758e+01,2.329643e+01
47,2000-02-10 04:48:44.289000,7.362000,2.441598e+01,2.595969e+01,2.529602e+01,2.490126e+01,2.379069e+01,2.331396e+01
48,2000-02-10 04:48:44.449000,7.522000,2.445023e+01,2.595294e+01,2.534357e+01,2.489444e+01,2.385270e+01,2.332593e+01
49,2000-02-10 04:48:44.610000,7.683000,2.446393e+01,2.606091e+01,2.532998e+01,2.483987e+01,2.386648e+01,2.333270e+01
50,2000-02-10 04:48:44.769000,7.842000,2.449816e+01,2.606765e+01,2.545894e+01,2.494217e+01,2.387336e+01,2.337817e+01
51,2000-02-10 04:48:44.930000,8.003000,2.456659e+01,2.609463e+01,2.543180e+01,2.494217e+01,2.392844e+01,2.342774e+01
52,2000-02-10 04:48:45.090000,8.163000,2.466915e+01,2.605416e+01,2.545216e+01,2.505798e+01,2.400413e+01,2.344089e+01
53,2000-02-10 04:48:45.250000,8.323000,2.469649e+01,2.608788e+01,2.542502e+01,2.502393e+01,2.395597e+01,2.345009e+01
54,2000-02-10 04:48:45.410000,8.483000,2.466232e+01,2.610811e+01,2.555386e+01,2.509202e+01,2.390779e+01,2.346275e+01
55,2000-02-10 04:48:45.570000,8.643000,2.466232e+01,2.609463e+01,2.554031e+01,2.516006e+01,2.392844e+01,2.346681e+01
56,2000-02-10 04:48:45.730000,8.803000,2.462130e+01,2.617550e+01,2.556741e+01,2.508521e+01,2.395597e+01,2.347200e+01
57,2000-02-10 04:48:45.890000,8.963000,2.470332e+01,2.612833e+01,2.554031e+01,2.509202e+01,2.390091e+01,2.348886e+01
58,2000-02-10 04:48:46.050000,9.123000,2.465549e+01,2.614181e+01,2.563515e+01,2.515326e+01,2.401100e+01,2.351246e+01
59,2000-02-10 04:48:46.210000,9.283000,2.474430e+01,2.620918e+01,2.562161e+01,2.522807e+01,2.398349e+01,2.352745e+01
60,2000-02-10 04:48:46.370000,9.443000,2.472381e+01,2.622939e+01,2.560806e+01,2.516687e+01,2.408663e+01,2.353874e+01
61,2000-02-10 04:48:46.530000,9.603000,2.474430e+01,2.642449e+01,2.562838e+01,2.516006e+01,2.401100e+01,2.354681e+01
62,2000-02-10 04:48:46.690000,9.763000,2.481257e+01,2.628997e+01,2.564192e+01,2.524846e+01,2.395597e+01,2.354606e+01
63,2000-02-10 04:48:46.850000,9.923000,2.478527e+01,2.620918e+01,2.560129e+01,2.526205e+01,2.402476e+01,2.355286e+01
64,2000-02-10 04:48:47.009000,10.082000,2.477844e+01,2.639760e+01,2.570285e+01,2.522807e+01,2.396973e+01,2.359130e+01
65,2000-02-10 04:48:47.169000,10.242000,2.486034e+01,2.637743e+01,2.575021e+01,2.524166e+01,2.410037e+01,2.362744e+01
66,2000-02-10 04:48:47.329000,10.402000,2.487398e+01,2.630343e+01,2.579078e+01,2.530961e+01,2.410037e+01,2.363192e+01
67,2000-02-10 04:48:47.489000,10.562000,2.483987e+01,2.635052e+01,2.576373e+01,2.539788e+01,2.416220e+01,2.364489e+01
68,2000-02-10 04:48:47.649000,10.722000,2.491490e+01,2.645137e+01,2.572991e+01,2.527564e+01,2.412785e+01,2.365329e+01
69,2000-02-10 04:48:47.809000,10.882000,2.494898e+01,2.639087e+01,2.574344e+01,2.527564e+01,2.421712e+01,2.365523e+01
70,2000-02-10 04:48:47.969000,11.042000,2.488762e+01,2.640432e+01,2.579755e+01,2.532998e+01,2.410037e+01,2.365382e+01
71,2000-02-10 04:48:48.129000,11.202000,2.498306e+01,2.637070e+01,2.580431e+01,2.541145e+01,2.412785e+01,2.366554e+01
72,2000-02-10 04:48:48.289000,11.362000,2.492171e+01,2.645137e+01,2.583811e+01,2.531640e+01,2.403851e+01,2.367399e+01
73,2000-02-10 04:48:48.449000,11.522000,2.498987e+01,2.643793e+01,2.587865e+01,2.540466e+01,2.412785e+01,2.370069e+01
74,2000-02-10 04:48:48.609000,11.682000,2.496261e+01,2.644465e+01,2.586514e+01,2.538430e+01,2.430631e+01,2.371162e+01
75,2000-02-10 04:48:48.769000,11.842000,2.505117e+01,2.645809e+01,2.589216e+01,2.538430e+01,2.418280e+01,2.371983e+01
76,2000-02-10 04:48:48.929000,12.002000,2.511924e+01,2.645809e+01,2.587865e+01,2.541823e+01,2.420339e+01,2.372281e+01
77,2000-02-10 04:48:49.089000,12.162000,2.501031e+01,2.651183e+01,2.591918e+01,2.549963e+01,2.412785e+01,2.372518e+01
78,2000-02-10 04:48:49.249000,12.322000,2.507841e+01,2.651183e+01,2.589216e+01,2.542502e+01,2.412098e+01,2.373800e+01
79,2000-02-10 04:48:49.409000,12.482000,2.508521e+01,2.648496e+01,2.585838e+01,2.548607e+01,2.409350e+01,2.374675e+01
80,2000-02-10 04:48:49.569000,12.642000,2.501712e+01,2.650511e+01,2.594619e+01,2.546572e+01,2.420339e+01,2.374984e+01
81,2000-02-10 04:48:49.729000,12.802000,2.503755e+01,2.649840e+01,2.596644e+01,2.547251e+01,2.414846e+01,2.375988e+01
82,2000-02-10 04:48:49.889000,12.962000,2.507841e+01,2.645809e+01,2.596644e+01,2.551997e+01,2.420339e+01,2.376600e+01
