frame,abstime,reltime,april11_microphoneBoardA_0_1.seq:Rectangle 1 [C]:max,april11_microphoneBoardA_0_1.seq:Polygon 1 [C]:max,april11_microphoneBoardA_0_1.seq:Rectangle 2 [C]:max,april11_microphoneBoardA_0_1.seq:Rectangle 3 [C]:max,april11_microphoneBoardA_0_1.seq:Rectangle 4 [C]:max,april11_microphoneBoardA_0_1.seq:Rectangle 5 [C]:mean
1,2000-02-10 21:57:28.096000,0.000000,2.302284e+01,2.299507e+01,2.291864e+01,2.326557e+01,2.306450e+01,2.274259e+01
2,2000-02-10 21:57:28.256000,0.160000,2.300201e+01,2.303673e+01,2.293254e+01,2.334866e+01,2.299507e+01,2.274544e+01
3,2000-02-10 21:57:28.416000,0.320000,2.302979e+01,2.300201e+01,2.299507e+01,2.327250e+01,2.306450e+01,2.274495e+01
4,2000-02-10 21:57:28.576000,0.480000,2.300896e+01,2.305061e+01,2.305061e+01,2.339018e+01,2.310613e+01,2.273606e+01
5,2000-02-10 21:57:28.736000,0.640000,2.303673e+01,2.296728e+01,2.296033e+01,2.335559e+01,2.310613e+01,2.273624e+01
6,2000-02-10 21:57:28.896000,0.800000,2.300896e+01,2.300896e+01,2.297423e+01,2.330713e+01,2.311307e+01,2.273922e+01
7,2000-02-10 21:57:29.056000,0.960000,2.299507e+01,2.297423e+01,2.295339e+01,2.334174e+01,2.299507e+01,2.271148e+01
8,2000-02-10 21:57:29.216000,1.120000,2.300201e+01,2.296033e+01,2.293254e+01,2.335559e+01,2.292559e+01,2.270718e+01
9,2000-02-10 21:57:29.376000,1.280000,2.298812e+01,2.298118e+01,2.299507e+01,2.330020e+01,2.299507e+01,2.270921e+01
10,2000-02-10 21:57:29.536000,1.440000,2.307144e+01,2.309225e+01,2.366656e+01,2.343169e+01,2.300201e+01,2.272312e+01
11,2000-02-10 21:57:29.696000,1.600000,2.317548e+01,2.329328e+01,2.393532e+01,2.344552e+01,2.334866e+01,2.275428e+01
12,2000-02-10 21:57:29.856000,1.760000,2.332790e+01,2.349391e+01,2.414846e+01,2.350082e+01,2.327943e+01,2.278064e+01
13,2000-02-10 21:57:30.016000,1.920000,2.334866e+01,2.366656e+01,2.445023e+01,2.348009e+01,2.325865e+01,2.280305e+01
14,2000-02-10 21:57:30.176000,2.080000,2.349391e+01,2.374244e+01,2.462130e+01,2.354919e+01,2.328635e+01,2.282352e+01
15,2000-02-10 21:57:30.336000,2.240000,2.345243e+01,2.392844e+01,2.471698e+01,2.348700e+01,2.330713e+01,2.284415e+01
16,2000-02-10 21:57:30.496000,2.400000,2.348700e+01,2.399037e+01,2.477162e+01,2.354919e+01,2.337635e+01,2.286178e+01
17,2000-02-10 21:57:30.656000,2.560000,2.357682e+01,2.412098e+01,2.492171e+01,2.353537e+01,2.340402e+01,2.287585e+01
18,2000-02-10 21:57:30.816000,2.720000,2.352847e+01,2.422398e+01,2.494217e+01,2.365966e+01,2.343860e+01,2.288918e+01
19,2000-02-10 21:57:30.976000,2.880000,2.359754e+01,2.436802e+01,2.505117e+01,2.376312e+01,2.344552e+01,2.291048e+01
20,2000-02-10 21:57:31.136000,3.040000,2.362515e+01,2.443653e+01,2.522127e+01,2.385270e+01,2.349391e+01,2.296880e+01
21,2000-02-10 21:57:31.296000,3.200000,2.371485e+01,2.449131e+01,2.520087e+01,2.386648e+01,2.359754e+01,2.299242e+01
22,2000-02-10 21:57:31.456000,3.360000,2.372175e+01,2.455291e+01,2.530282e+01,2.396973e+01,2.352847e+01,2.301280e+01
23,2000-02-10 21:57:31.616000,3.520000,2.376312e+01,2.459395e+01,2.539788e+01,2.396973e+01,2.359754e+01,2.302641e+01
24,2000-02-10 21:57:31.776000,3.680000,2.381826e+01,2.464865e+01,2.537072e+01,2.401788e+01,2.365966e+01,2.304088e+01
25,2000-02-10 21:57:31.936000,3.840000,2.381137e+01,2.475796e+01,2.543859e+01,2.407975e+01,2.360444e+01,2.306067e+01
26,2000-02-10 21:57:32.096000,4.000000,2.387336e+01,2.477162e+01,2.546572e+01,2.416220e+01,2.359063e+01,2.307018e+01
27,2000-02-10 21:57:32.256000,4.160000,2.393532e+01,2.488762e+01,2.551997e+01,2.418966e+01,2.367346e+01,2.307915e+01
28,2000-02-10 21:57:32.416000,4.320000,2.395597e+01,2.483305e+01,2.560806e+01,2.423085e+01,2.362515e+01,2.310062e+01
29,2000-02-10 21:57:32.576000,4.480000,2.391467e+01,2.489444e+01,2.555386e+01,2.424457e+01,2.361135e+01,2.310144e+01
30,2000-02-10 21:57:32.736000,4.640000,2.401788e+01,2.502393e+01,2.567577e+01,2.428574e+01,2.364586e+01,2.313936e+01
31,2000-02-10 21:57:32.896000,4.800000,2.399725e+01,2.503074e+01,2.566900e+01,2.431317e+01,2.367346e+01,2.314079e+01
32,2000-02-10 21:57:33.056000,4.960000,2.401100e+01,2.499668e+01,2.564869e+01,2.432689e+01,2.366656e+01,2.315280e+01
33,2000-02-10 21:57:33.216000,5.120000,2.406601e+01,2.505117e+01,2.575021e+01,2.436116e+01,2.365966e+01,2.317295e+01
34,2000-02-10 21:57:33.376000,5.280000,2.414159e+01,2.511244e+01,2.568254e+01,2.439543e+01,2.377691e+01,2.319099e+01
35,2000-02-10 21:57:33.536000,5.440000,2.425143e+01,2.507841e+01,2.579078e+01,2.445708e+01,2.373554e+01,2.319394e+01
