frame,abstime,reltime,april15_microphoneBoardB_3.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_3.seq:Polygon 1 [C]:max,april15_microphoneBoardB_3.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_3.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_3.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_3.seq:Rectangle 5 [C]:mean
1,2000-02-14 21:13:01.731000,0.000000,2.327250e+01,2.348700e+01,2.330020e+01,2.345243e+01,2.360444e+01,2.308645e+01
2,2000-02-14 21:13:01.891000,0.160000,2.328635e+01,2.345243e+01,2.324479e+01,2.350773e+01,2.352155e+01,2.308622e+01
3,2000-02-14 21:13:02.051000,0.320000,2.330020e+01,2.346626e+01,2.325865e+01,2.350773e+01,2.362515e+01,2.309508e+01
4,2000-02-14 21:13:02.211000,0.480000,2.329328e+01,2.345935e+01,2.327943e+01,2.339710e+01,2.354228e+01,2.309362e+01
5,2000-02-14 21:13:02.371000,0.640000,2.343860e+01,2.341094e+01,2.337635e+01,2.339710e+01,2.352847e+01,2.308963e+01
6,2000-02-14 21:13:02.531000,0.800000,2.341094e+01,2.341094e+01,2.329328e+01,2.339710e+01,2.351464e+01,2.308889e+01
7,2000-02-14 21:13:02.691000,0.960000,2.333482e+01,2.346626e+01,2.339710e+01,2.348700e+01,2.347318e+01,2.308692e+01
8,2000-02-14 21:13:02.851000,1.120000,2.340402e+01,2.343169e+01,2.343169e+01,2.338326e+01,2.355610e+01,2.308282e+01
9,2000-02-14 21:13:03.011000,1.280000,2.348009e+01,2.348009e+01,2.334866e+01,2.348700e+01,2.358373e+01,2.308389e+01
10,2000-02-14 21:13:03.171000,1.440000,2.345935e+01,2.358373e+01,2.373554e+01,2.348009e+01,2.358373e+01,2.310465e+01
11,2000-02-14 21:13:03.331000,1.600000,2.349391e+01,2.361825e+01,2.385959e+01,2.356991e+01,2.363206e+01,2.313176e+01
12,2000-02-14 21:13:03.491000,1.760000,2.363206e+01,2.385270e+01,2.405913e+01,2.360444e+01,2.368036e+01,2.315033e+01
13,2000-02-14 21:13:03.651000,1.920000,2.368036e+01,2.396973e+01,2.415533e+01,2.362515e+01,2.368726e+01,2.316696e+01
14,2000-02-14 21:13:03.811000,2.080000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
15,2000-02-14 21:13:03.971000,2.240000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
16,2000-02-14 21:13:04.131000,2.400000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
17,2000-02-14 21:13:04.291000,2.560000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
18,2000-02-14 21:13:04.451000,2.720000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
19,2000-02-14 21:13:04.611000,2.880000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
20,2000-02-14 21:13:04.771000,3.040000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
21,2000-02-14 21:13:04.931000,3.200000,2.364586e+01,2.411411e+01,2.426516e+01,2.372865e+01,2.370106e+01,2.319341e+01
22,2000-02-14 21:13:05.091000,3.360000,2.398349e+01,2.483987e+01,2.467599e+01,2.425143e+01,2.377001e+01,2.333042e+01
23,2000-02-14 21:13:05.251000,3.520000,2.403851e+01,2.486034e+01,2.469649e+01,2.434060e+01,2.378380e+01,2.333995e+01
24,2000-02-14 21:13:05.411000,3.680000,2.407288e+01,2.496261e+01,2.475113e+01,2.433374e+01,2.376312e+01,2.335142e+01
25,2000-02-14 21:13:05.571000,3.840000,2.402476e+01,2.506479e+01,2.477162e+01,2.445023e+01,2.378380e+01,2.337230e+01
26,2000-02-14 21:13:05.731000,4.000000,2.408663e+01,2.506479e+01,2.487398e+01,2.438858e+01,2.382515e+01,2.338473e+01
27,2000-02-14 21:13:05.891000,4.160000,2.410724e+01,2.506479e+01,2.486716e+01,2.448447e+01,2.384581e+01,2.340333e+01
28,2000-02-14 21:13:06.051000,4.320000,2.418966e+01,2.512605e+01,2.485351e+01,2.453238e+01,2.394909e+01,2.340920e+01
