frame,abstime,reltime,april3_microphoneBoardD_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardD_4.seq:Polygon 1 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 5 [C]:mean
43,2000-02-03 08:01:23.519000,6.721000,2.578402e+01,2.645809e+01,2.687387e+01,2.613507e+01,2.554708e+01,2.461874e+01
44,2000-02-03 08:01:23.679000,6.881000,2.595294e+01,2.650511e+01,2.680692e+01,2.606091e+01,2.554708e+01,2.462369e+01
45,2000-02-03 08:01:23.839000,7.041000,2.585838e+01,2.655212e+01,2.675333e+01,2.605416e+01,2.563515e+01,2.463228e+01
46,2000-02-03 08:01:23.999000,7.201000,2.586514e+01,2.657897e+01,2.673993e+01,2.621592e+01,2.552675e+01,2.464264e+01
47,2000-02-03 08:01:24.159000,7.361000,2.583811e+01,2.659239e+01,2.675333e+01,2.613507e+01,2.554031e+01,2.465657e+01
48,2000-02-03 08:01:24.319000,7.521000,2.584487e+01,2.656554e+01,2.667289e+01,2.618898e+01,2.551319e+01,2.466831e+01
49,2000-02-03 08:01:24.479000,7.681000,2.593944e+01,2.656554e+01,2.666618e+01,2.616203e+01,2.560806e+01,2.468585e+01
50,2000-02-03 08:01:24.639000,7.841000,2.585838e+01,2.669300e+01,2.684040e+01,2.620918e+01,2.558774e+01,2.469335e+01
51,2000-02-03 08:01:24.799000,8.001000,2.583135e+01,2.662594e+01,2.675333e+01,2.631689e+01,2.554031e+01,2.467808e+01
52,2000-02-03 08:01:24.959000,8.161000,2.585162e+01,2.665277e+01,2.676673e+01,2.622265e+01,2.558774e+01,2.468343e+01
53,2000-02-03 08:01:25.119000,8.321000,2.586514e+01,2.661252e+01,2.674663e+01,2.626305e+01,2.552675e+01,2.469273e+01
54,2000-02-03 08:01:25.279000,8.481000,2.595969e+01,2.676003e+01,2.668630e+01,2.626978e+01,2.553353e+01,2.470799e+01
55,2000-02-03 08:01:25.439000,8.641000,2.593269e+01,2.674663e+01,2.673993e+01,2.629670e+01,2.560806e+01,2.471965e+01
56,2000-02-03 08:01:25.599000,8.801000,2.597319e+01,2.672652e+01,2.678683e+01,2.633707e+01,2.553353e+01,2.472472e+01
57,2000-02-03 08:01:25.759000,8.961000,2.596644e+01,2.682031e+01,2.676673e+01,2.631016e+01,2.559451e+01,2.473074e+01
58,2000-02-03 08:01:25.919000,9.121000,2.596644e+01,2.684710e+01,2.681362e+01,2.634380e+01,2.554031e+01,2.473803e+01
59,2000-02-03 08:01:26.079000,9.281000,2.600019e+01,2.673322e+01,2.679352e+01,2.631016e+01,2.558097e+01,2.475248e+01
60,2000-02-03 08:01:26.239000,9.441000,2.610811e+01,2.684040e+01,2.680692e+01,2.641776e+01,2.559451e+01,2.477385e+01
61,2000-02-03 08:01:26.399000,9.601000,2.619571e+01,2.683371e+01,2.682701e+01,2.650511e+01,2.558097e+01,2.479174e+01
62,2000-02-03 08:01:26.559000,9.761000,2.601369e+01,2.679352e+01,2.686718e+01,2.640432e+01,2.565546e+01,2.480176e+01
63,2000-02-03 08:01:26.719000,9.921000,2.606091e+01,2.681362e+01,2.684710e+01,2.640432e+01,2.562838e+01,2.480927e+01
64,2000-02-03 08:01:26.879000,10.081000,2.620245e+01,2.689395e+01,2.692071e+01,2.643793e+01,2.560806e+01,2.481950e+01
65,2000-02-03 08:01:27.039000,10.241000,2.611485e+01,2.676673e+01,2.687387e+01,2.648496e+01,2.564869e+01,2.482583e+01
66,2000-02-03 08:01:27.199000,10.401000,2.606765e+01,2.679352e+01,2.690733e+01,2.645809e+01,2.562838e+01,2.483071e+01
67,2000-02-03 08:01:27.359000,10.561000,2.606765e+01,2.673993e+01,2.688726e+01,2.643793e+01,2.551997e+01,2.478352e+01
68,2000-02-03 08:01:27.519000,10.721000,2.608788e+01,2.678013e+01,2.679352e+01,2.641104e+01,2.552675e+01,2.476626e+01
69,2000-02-03 08:01:27.679000,10.881000,2.602718e+01,2.675333e+01,2.683371e+01,2.639760e+01,2.552675e+01,2.476777e+01
70,2000-02-03 08:01:27.839000,11.041000,2.602718e+01,2.683371e+01,2.687387e+01,2.647824e+01,2.558097e+01,2.477308e+01
71,2000-02-03 08:01:27.999000,11.201000,2.605416e+01,2.680022e+01,2.687387e+01,2.643121e+01,2.555386e+01,2.478506e+01
72,2000-02-03 08:01:28.159000,11.361000,2.606091e+01,2.680022e+01,2.692071e+01,2.655883e+01,2.558774e+01,2.479446e+01
73,2000-02-03 08:01:28.319000,11.521000,2.604067e+01,2.676673e+01,2.690733e+01,2.655883e+01,2.561483e+01,2.481071e+01
74,2000-02-03 08:01:28.479000,11.681000,2.610137e+01,2.685379e+01,2.688726e+01,2.649168e+01,2.551997e+01,2.481322e+01
75,2000-02-03 08:01:28.640000,11.842000,2.606765e+01,2.676673e+01,2.688726e+01,2.655883e+01,2.554708e+01,2.481610e+01
76,2000-02-03 08:01:28.799000,12.001000,2.616877e+01,2.682701e+01,2.692071e+01,2.659239e+01,2.559451e+01,2.483081e+01
77,2000-02-03 08:01:28.959000,12.161000,2.622939e+01,2.698759e+01,2.695416e+01,2.656554e+01,2.552675e+01,2.483500e+01
78,2000-02-03 08:01:29.119000,12.321000,2.621592e+01,2.685379e+01,2.698759e+01,2.654540e+01,2.560129e+01,2.484264e+01
79,2000-02-03 08:01:29.279000,12.481000,2.612833e+01,2.688726e+01,2.695416e+01,2.660581e+01,2.564192e+01,2.484843e+01
80,2000-02-03 08:01:29.439000,12.641000,2.620245e+01,2.693409e+01,2.704107e+01,2.663935e+01,2.567577e+01,2.491846e+01
