frame,abstime,reltime,april17_baselineBoardB_7.seq:Rectangle 1 [C]:max,april17_baselineBoardB_7.seq:Polygon 1 [C]:max,april17_baselineBoardB_7.seq:Rectangle 2 [C]:max,april17_baselineBoardB_7.seq:Rectangle 3 [C]:max,april17_baselineBoardB_7.seq:Rectangle 4 [C]:max,april17_baselineBoardB_7.seq:Rectangle 5 [C]:mean
1,2000-02-17 01:19:28.845000,0.000000,2.429945e+01,2.352155e+01,2.344552e+01,2.352155e+01,2.518047e+01,2.333227e+01
2,2000-02-17 01:19:29.005000,0.160000,2.427888e+01,2.349391e+01,2.346626e+01,2.344552e+01,2.513285e+01,2.333169e+01
3,2000-02-17 01:19:29.165000,0.320000,2.432003e+01,2.348009e+01,2.351464e+01,2.346626e+01,2.521447e+01,2.332718e+01
4,2000-02-17 01:19:29.325000,0.480000,2.433374e+01,2.352847e+01,2.345243e+01,2.346626e+01,2.522807e+01,2.332461e+01
5,2000-02-17 01:19:29.485000,0.640000,2.423085e+01,2.349391e+01,2.345935e+01,2.347318e+01,2.520087e+01,2.332318e+01
6,2000-02-17 01:19:29.645000,0.800000,2.431317e+01,2.346626e+01,2.346626e+01,2.345935e+01,2.518727e+01,2.332599e+01
7,2000-02-17 01:19:29.805000,0.960000,2.436116e+01,2.345935e+01,2.345243e+01,2.345243e+01,2.525525e+01,2.332381e+01
8,2000-02-17 01:19:29.966000,1.121000,2.429945e+01,2.348009e+01,2.345935e+01,2.350773e+01,2.514646e+01,2.332282e+01
9,2000-02-17 01:19:30.125000,1.280000,2.429259e+01,2.348700e+01,2.362515e+01,2.344552e+01,2.517367e+01,2.332317e+01
10,2000-02-17 01:19:30.286000,1.441000,2.436116e+01,2.370795e+01,2.391467e+01,2.354919e+01,2.518727e+01,2.334832e+01
11,2000-02-17 01:19:30.445000,1.600000,2.435431e+01,2.392156e+01,2.423771e+01,2.374933e+01,2.522807e+01,2.337996e+01
12,2000-02-17 01:19:30.606000,1.761000,2.447077e+01,2.417593e+01,2.442968e+01,2.381137e+01,2.533677e+01,2.340903e+01
13,2000-02-17 01:19:30.766000,1.921000,2.452554e+01,2.426516e+01,2.451185e+01,2.385270e+01,2.528923e+01,2.343733e+01
14,2000-02-17 01:19:30.926000,2.081000,2.455975e+01,2.447762e+01,2.464865e+01,2.386648e+01,2.532998e+01,2.346188e+01
15,2000-02-17 01:19:31.086000,2.241000,2.466915e+01,2.455975e+01,2.472381e+01,2.394221e+01,2.535036e+01,2.348177e+01
16,2000-02-17 01:19:31.246000,2.401000,2.476479e+01,2.466915e+01,2.486716e+01,2.396973e+01,2.535036e+01,2.350502e+01
