frame,abstime,reltime,april17_baselineBoardB_5.seq:Rectangle 1 [C]:max,april17_baselineBoardB_5.seq:Polygon 1 [C]:max,april17_baselineBoardB_5.seq:Rectangle 2 [C]:max,april17_baselineBoardB_5.seq:Rectangle 3 [C]:max,april17_baselineBoardB_5.seq:Rectangle 4 [C]:max,april17_baselineBoardB_5.seq:Rectangle 5 [C]:mean
1,2000-02-17 01:10:52.083000,0.000000,2.392844e+01,2.334866e+01,2.345243e+01,2.324479e+01,2.494898e+01,2.313457e+01
2,2000-02-17 01:10:52.243000,0.160000,2.403851e+01,2.336943e+01,2.336943e+01,2.335559e+01,2.491490e+01,2.313472e+01
3,2000-02-17 01:10:52.403000,0.320000,2.398349e+01,2.341786e+01,2.329328e+01,2.324479e+01,2.490126e+01,2.314050e+01
4,2000-02-17 01:10:52.563000,0.480000,2.406601e+01,2.328635e+01,2.326557e+01,2.325865e+01,2.483305e+01,2.309269e+01
5,2000-02-17 01:10:52.723000,0.640000,2.403163e+01,2.334866e+01,2.330713e+01,2.316855e+01,2.493535e+01,2.305916e+01
6,2000-02-17 01:10:52.883000,0.800000,2.398349e+01,2.330020e+01,2.324479e+01,2.317548e+01,2.484669e+01,2.305934e+01
7,2000-02-17 01:10:53.043000,0.960000,2.398349e+01,2.335559e+01,2.330020e+01,2.328635e+01,2.477162e+01,2.305556e+01
8,2000-02-17 01:10:53.203000,1.120000,2.396285e+01,2.324479e+01,2.336251e+01,2.334866e+01,2.483305e+01,2.305413e+01
9,2000-02-17 01:10:53.363000,1.280000,2.392156e+01,2.328635e+01,2.339710e+01,2.319628e+01,2.484669e+01,2.306345e+01
10,2000-02-17 01:10:53.523000,1.440000,2.402476e+01,2.354919e+01,2.367346e+01,2.329328e+01,2.491490e+01,2.308944e+01
11,2000-02-17 01:10:53.683000,1.600000,2.412785e+01,2.378380e+01,2.395597e+01,2.336943e+01,2.489444e+01,2.310873e+01
12,2000-02-17 01:10:53.843000,1.760000,2.425143e+01,2.394909e+01,2.407975e+01,2.344552e+01,2.502393e+01,2.313983e+01
13,2000-02-17 01:10:54.003000,1.920000,2.437487e+01,2.410724e+01,2.422398e+01,2.352155e+01,2.496943e+01,2.316327e+01
14,2000-02-17 01:10:54.163000,2.080000,2.431317e+01,2.421026e+01,2.449816e+01,2.353537e+01,2.500350e+01,2.319054e+01
15,2000-02-17 01:10:54.323000,2.240000,2.431317e+01,2.429945e+01,2.451185e+01,2.367346e+01,2.496261e+01,2.321278e+01
16,2000-02-17 01:10:54.483000,2.400000,2.434060e+01,2.442968e+01,2.460763e+01,2.377691e+01,2.503074e+01,2.323362e+01
17,2000-02-17 01:10:54.643000,2.560000,2.438858e+01,2.462130e+01,2.464181e+01,2.400413e+01,2.496943e+01,2.326633e+01
18,2000-02-17 01:10:54.805000,2.722000,2.436802e+01,2.466232e+01,2.468282e+01,2.397661e+01,2.503074e+01,2.328182e+01
19,2000-02-17 01:10:54.963000,2.880000,2.459395e+01,2.478527e+01,2.476479e+01,2.403851e+01,2.505798e+01,2.330038e+01
20,2000-02-17 01:10:55.123000,3.040000,2.461447e+01,2.491490e+01,2.484669e+01,2.411411e+01,2.513285e+01,2.332463e+01
21,2000-02-17 01:10:55.284000,3.201000,2.455291e+01,2.494217e+01,2.498987e+01,2.418280e+01,2.511244e+01,2.334248e+01
22,2000-02-17 01:10:55.443000,3.360000,2.449816e+01,2.503074e+01,2.499668e+01,2.416220e+01,2.506479e+01,2.335679e+01
23,2000-02-17 01:10:55.603000,3.520000,2.446393e+01,2.507841e+01,2.504436e+01,2.426516e+01,2.507160e+01,2.337759e+01
24,2000-02-17 01:10:55.764000,3.681000,2.451869e+01,2.512605e+01,2.505798e+01,2.428574e+01,2.508521e+01,2.339354e+01
25,2000-02-17 01:10:55.924000,3.841000,2.444338e+01,2.520087e+01,2.512605e+01,2.442283e+01,2.504436e+01,2.341130e+01
26,2000-02-17 01:10:56.084000,4.001000,2.455975e+01,2.524166e+01,2.523486e+01,2.437487e+01,2.507841e+01,2.342239e+01
27,2000-02-17 01:10:56.244000,4.161000,2.466915e+01,2.528243e+01,2.513285e+01,2.444338e+01,2.521447e+01,2.343714e+01
28,2000-02-17 01:10:56.404000,4.321000,2.465549e+01,2.538430e+01,2.526884e+01,2.447762e+01,2.520087e+01,2.346226e+01
29,2000-02-17 01:10:56.564000,4.481000,2.468965e+01,2.544537e+01,2.530282e+01,2.451185e+01,2.516687e+01,2.347440e+01
30,2000-02-17 01:10:56.724000,4.641000,2.463498e+01,2.554708e+01,2.527564e+01,2.468282e+01,2.509202e+01,2.348712e+01
31,2000-02-17 01:10:56.884000,4.801000,2.476479e+01,2.550641e+01,2.532998e+01,2.460079e+01,2.511924e+01,2.350815e+01
32,2000-02-17 01:10:57.045000,4.962000,2.464181e+01,2.558097e+01,2.538430e+01,2.464181e+01,2.511244e+01,2.352000e+01
33,2000-02-17 01:10:57.205000,5.122000,2.468282e+01,2.564869e+01,2.541823e+01,2.468965e+01,2.508521e+01,2.356505e+01
34,2000-02-17 01:10:57.365000,5.282000,2.469649e+01,2.568254e+01,2.541823e+01,2.481940e+01,2.518047e+01,2.361341e+01
35,2000-02-17 01:10:57.525000,5.442000,2.470332e+01,2.577050e+01,2.551997e+01,2.486034e+01,2.518727e+01,2.364033e+01
36,2000-02-17 01:10:57.685000,5.602000,2.476479e+01,2.583135e+01,2.551997e+01,2.490126e+01,2.519407e+01,2.364603e+01
37,2000-02-17 01:10:57.845000,5.762000,2.481940e+01,2.583135e+01,2.556064e+01,2.497624e+01,2.511244e+01,2.365660e+01
38,2000-02-17 01:10:58.005000,5.922000,2.488080e+01,2.585162e+01,2.561483e+01,2.489444e+01,2.520087e+01,2.366924e+01
39,2000-02-17 01:10:58.165000,6.082000,2.477844e+01,2.584487e+01,2.562838e+01,2.488762e+01,2.523486e+01,2.367797e+01
40,2000-02-17 01:10:58.325000,6.242000,2.477844e+01,2.590567e+01,2.563515e+01,2.497624e+01,2.517367e+01,2.369046e+01
41,2000-02-17 01:10:58.485000,6.402000,2.485351e+01,2.586514e+01,2.566224e+01,2.492171e+01,2.528243e+01,2.369733e+01
42,2000-02-17 01:10:58.645000,6.562000,2.490126e+01,2.592593e+01,2.567577e+01,2.509883e+01,2.526884e+01,2.371204e+01
43,2000-02-17 01:10:58.805000,6.722000,2.482622e+01,2.603393e+01,2.578402e+01,2.502393e+01,2.523486e+01,2.372183e+01
44,2000-02-17 01:10:58.965000,6.882000,2.481940e+01,2.594619e+01,2.571638e+01,2.502393e+01,2.523486e+01,2.373801e+01
45,2000-02-17 01:10:59.125000,7.042000,2.487398e+01,2.610137e+01,2.577050e+01,2.503755e+01,2.529602e+01,2.374508e+01
46,2000-02-17 01:10:59.285000,7.202000,2.486716e+01,2.610137e+01,2.572315e+01,2.511924e+01,2.526205e+01,2.375886e+01
47,2000-02-17 01:10:59.445000,7.362000,2.487398e+01,2.604742e+01,2.583135e+01,2.507160e+01,2.524166e+01,2.376624e+01
48,2000-02-17 01:10:59.605000,7.522000,2.496261e+01,2.608788e+01,2.581783e+01,2.513966e+01,2.520767e+01,2.377330e+01
49,2000-02-17 01:10:59.765000,7.682000,2.496943e+01,2.611485e+01,2.584487e+01,2.514646e+01,2.521447e+01,2.378237e+01
