frame,abstime,reltime,april171_baselineBoardC_7.seq:Rectangle 1 [C]:max,april171_baselineBoardC_7.seq:Polygon 1 [C]:max,april171_baselineBoardC_7.seq:Rectangle 2 [C]:max,april171_baselineBoardC_7.seq:Rectangle 3 [C]:max,april171_baselineBoardC_7.seq:Rectangle 4 [C]:max,april171_baselineBoardC_7.seq:Rectangle 5 [C]:mean
1,2000-02-17 00:35:09.114000,0.000000,2.371485e+01,2.351464e+01,2.336251e+01,2.347318e+01,2.339710e+01,2.322098e+01
2,2000-02-17 00:35:09.274000,0.160000,2.360444e+01,2.357682e+01,2.339018e+01,2.345935e+01,2.340402e+01,2.322605e+01
3,2000-02-17 00:35:09.434000,0.320000,2.351464e+01,2.356991e+01,2.338326e+01,2.347318e+01,2.350773e+01,2.322177e+01
4,2000-02-17 00:35:09.594000,0.480000,2.356301e+01,2.366656e+01,2.332790e+01,2.346626e+01,2.341094e+01,2.322214e+01
5,2000-02-17 00:35:09.754000,0.640000,2.367346e+01,2.358373e+01,2.334866e+01,2.348700e+01,2.337635e+01,2.321712e+01
6,2000-02-17 00:35:09.914000,0.800000,2.364586e+01,2.365966e+01,2.344552e+01,2.350773e+01,2.345243e+01,2.329146e+01
7,2000-02-17 00:35:10.074000,0.960000,2.369416e+01,2.371485e+01,2.349391e+01,2.354228e+01,2.348700e+01,2.331804e+01
8,2000-02-17 00:35:10.234000,1.120000,2.365966e+01,2.368036e+01,2.339710e+01,2.358373e+01,2.343860e+01,2.331810e+01
9,2000-02-17 00:35:10.394000,1.280000,2.371485e+01,2.368726e+01,2.346626e+01,2.357682e+01,2.354228e+01,2.331686e+01
10,2000-02-17 00:35:10.554000,1.440000,2.368726e+01,2.367346e+01,2.388025e+01,2.361135e+01,2.363896e+01,2.333468e+01
11,2000-02-17 00:35:10.714000,1.600000,2.374933e+01,2.398349e+01,2.409350e+01,2.365276e+01,2.373554e+01,2.336164e+01
12,2000-02-17 00:35:10.874000,1.760000,2.386648e+01,2.408663e+01,2.437487e+01,2.380448e+01,2.377001e+01,2.338917e+01
13,2000-02-17 00:35:11.034000,1.920000,2.399037e+01,2.422398e+01,2.446393e+01,2.391467e+01,2.388713e+01,2.341578e+01
14,2000-02-17 00:35:11.194000,2.080000,2.397661e+01,2.438858e+01,2.456659e+01,2.394221e+01,2.384581e+01,2.343363e+01
15,2000-02-17 00:35:11.354000,2.240000,2.402476e+01,2.454607e+01,2.469649e+01,2.396285e+01,2.396973e+01,2.346319e+01
16,2000-02-17 00:35:11.514000,2.400000,2.410724e+01,2.469649e+01,2.482622e+01,2.410037e+01,2.394221e+01,2.347939e+01
17,2000-02-17 00:35:11.674000,2.560000,2.412098e+01,2.471698e+01,2.485351e+01,2.419653e+01,2.410037e+01,2.350616e+01
18,2000-02-17 00:35:11.834000,2.720000,2.418280e+01,2.481940e+01,2.490808e+01,2.432003e+01,2.413472e+01,2.352578e+01
19,2000-02-17 00:35:11.994000,2.880000,2.416906e+01,2.489444e+01,2.507160e+01,2.432003e+01,2.410037e+01,2.350617e+01
20,2000-02-17 00:35:12.154000,3.040000,2.423771e+01,2.500350e+01,2.503755e+01,2.436802e+01,2.404538e+01,2.350347e+01
21,2000-02-17 00:35:12.314000,3.200000,2.429259e+01,2.507841e+01,2.508521e+01,2.441598e+01,2.411411e+01,2.352322e+01
22,2000-02-17 00:35:12.474000,3.360000,2.432689e+01,2.513966e+01,2.514646e+01,2.452554e+01,2.403851e+01,2.354118e+01
23,2000-02-17 00:35:12.634000,3.520000,2.432689e+01,2.517367e+01,2.517367e+01,2.461447e+01,2.411411e+01,2.356038e+01
24,2000-02-17 00:35:12.794000,3.680000,2.437487e+01,2.538430e+01,2.527564e+01,2.462130e+01,2.406601e+01,2.357801e+01
25,2000-02-17 00:35:12.954000,3.840000,2.445023e+01,2.539788e+01,2.529602e+01,2.464181e+01,2.409350e+01,2.359761e+01
26,2000-02-17 00:35:13.114000,4.000000,2.444338e+01,2.537751e+01,2.532998e+01,2.473747e+01,2.408663e+01,2.361024e+01
27,2000-02-17 00:35:13.274000,4.160000,2.447077e+01,2.547251e+01,2.535715e+01,2.475796e+01,2.410037e+01,2.363118e+01
28,2000-02-17 00:35:13.434000,4.320000,2.452554e+01,2.559451e+01,2.544537e+01,2.475796e+01,2.418280e+01,2.364243e+01
29,2000-02-17 00:35:13.594000,4.480000,2.448447e+01,2.560129e+01,2.540466e+01,2.486716e+01,2.416906e+01,2.365057e+01
30,2000-02-17 00:35:13.754000,4.640000,2.457343e+01,2.558097e+01,2.542502e+01,2.490126e+01,2.412785e+01,2.366667e+01
31,2000-02-17 00:35:13.914000,4.800000,2.462814e+01,2.562838e+01,2.550641e+01,2.497624e+01,2.421026e+01,2.368099e+01
32,2000-02-17 00:35:14.074000,4.960000,2.467599e+01,2.568931e+01,2.548607e+01,2.498987e+01,2.415533e+01,2.368650e+01
33,2000-02-17 00:35:14.234000,5.120000,2.464865e+01,2.577050e+01,2.551319e+01,2.503074e+01,2.410724e+01,2.370299e+01
34,2000-02-17 00:35:14.394000,5.280000,2.470332e+01,2.586514e+01,2.556741e+01,2.514646e+01,2.415533e+01,2.373830e+01
35,2000-02-17 00:35:14.554000,5.440000,2.469649e+01,2.587865e+01,2.564869e+01,2.510563e+01,2.418280e+01,2.375921e+01
36,2000-02-17 00:35:14.714000,5.600000,2.470332e+01,2.589892e+01,2.566900e+01,2.516687e+01,2.421712e+01,2.376695e+01
37,2000-02-17 00:35:14.874000,5.760000,2.474430e+01,2.593269e+01,2.568254e+01,2.518047e+01,2.418966e+01,2.377861e+01
38,2000-02-17 00:35:15.034000,5.920000,2.483987e+01,2.596644e+01,2.581783e+01,2.516687e+01,2.427202e+01,2.379618e+01
