frame,abstime,reltime,april15_microphoneBoardC_3.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_3.seq:Polygon 1 [C]:max,april15_microphoneBoardC_3.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_3.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_3.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_3.seq:Rectangle 5 [C]:mean
1,2000-02-14 21:51:21.372000,0.000000,2.343169e+01,2.341094e+01,2.334174e+01,2.348700e+01,2.368726e+01,2.314655e+01
2,2000-02-14 21:51:21.532000,0.160000,2.345935e+01,2.337635e+01,2.337635e+01,2.350773e+01,2.364586e+01,2.314395e+01
3,2000-02-14 21:51:21.692000,0.320000,2.349391e+01,2.336251e+01,2.331405e+01,2.353537e+01,2.365276e+01,2.314334e+01
4,2000-02-14 21:51:21.852000,0.480000,2.339018e+01,2.332790e+01,2.333482e+01,2.351464e+01,2.358373e+01,2.314349e+01
5,2000-02-14 21:51:22.012000,0.640000,2.340402e+01,2.335559e+01,2.332790e+01,2.343860e+01,2.363206e+01,2.314471e+01
6,2000-02-14 21:51:22.172000,0.800000,2.339710e+01,2.341094e+01,2.334866e+01,2.344552e+01,2.374933e+01,2.314071e+01
7,2000-02-14 21:51:22.332000,0.960000,2.338326e+01,2.334866e+01,2.329328e+01,2.352847e+01,2.366656e+01,2.314170e+01
8,2000-02-14 21:51:22.492000,1.120000,2.336943e+01,2.341786e+01,2.334866e+01,2.348009e+01,2.360444e+01,2.314108e+01
9,2000-02-14 21:51:22.652000,1.280000,2.345935e+01,2.339710e+01,2.339710e+01,2.355610e+01,2.374933e+01,2.315195e+01
10,2000-02-14 21:51:22.812000,1.440000,2.351464e+01,2.343169e+01,2.373554e+01,2.363896e+01,2.370795e+01,2.316899e+01
11,2000-02-14 21:51:22.972000,1.600000,2.365276e+01,2.380448e+01,2.390779e+01,2.359754e+01,2.388713e+01,2.318857e+01
12,2000-02-14 21:51:23.132000,1.760000,2.374933e+01,2.392844e+01,2.416220e+01,2.367346e+01,2.383204e+01,2.321807e+01
13,2000-02-14 21:51:23.292000,1.920000,2.377001e+01,2.409350e+01,2.423771e+01,2.370795e+01,2.381826e+01,2.323160e+01
14,2000-02-14 21:51:23.452000,2.080000,2.390091e+01,2.416220e+01,2.430631e+01,2.377691e+01,2.394909e+01,2.324887e+01
15,2000-02-14 21:51:23.612000,2.240000,2.394221e+01,2.442283e+01,2.442283e+01,2.386648e+01,2.390091e+01,2.327658e+01
16,2000-02-14 21:51:23.772000,2.400000,2.389402e+01,2.443653e+01,2.451185e+01,2.395597e+01,2.385270e+01,2.329778e+01
17,2000-02-14 21:51:23.932000,2.560000,2.407975e+01,2.461447e+01,2.464181e+01,2.405226e+01,2.388713e+01,2.331568e+01
18,2000-02-14 21:51:24.092000,2.720000,2.408663e+01,2.462814e+01,2.462130e+01,2.410037e+01,2.384581e+01,2.333930e+01
19,2000-02-14 21:51:24.252000,2.880000,2.405226e+01,2.475796e+01,2.466232e+01,2.416220e+01,2.392844e+01,2.335845e+01
20,2000-02-14 21:51:24.412000,3.040000,2.414159e+01,2.481940e+01,2.476479e+01,2.423771e+01,2.397661e+01,2.338131e+01
21,2000-02-14 21:51:24.572000,3.200000,2.413472e+01,2.484669e+01,2.474430e+01,2.429259e+01,2.393532e+01,2.337054e+01
22,2000-02-14 21:51:24.732000,3.360000,2.416906e+01,2.496261e+01,2.479210e+01,2.432689e+01,2.397661e+01,2.338486e+01
23,2000-02-14 21:51:24.892000,3.520000,2.414846e+01,2.511244e+01,2.485351e+01,2.443653e+01,2.401788e+01,2.339318e+01
24,2000-02-14 21:51:25.052000,3.680000,2.410037e+01,2.505798e+01,2.505117e+01,2.445708e+01,2.394909e+01,2.340076e+01
25,2000-02-14 21:51:25.212000,3.840000,2.418966e+01,2.509202e+01,2.492853e+01,2.458027e+01,2.395597e+01,2.341470e+01
26,2000-02-14 21:51:25.372000,4.000000,2.429945e+01,2.514646e+01,2.497624e+01,2.455291e+01,2.389402e+01,2.342973e+01
27,2000-02-14 21:51:25.532000,4.160000,2.429945e+01,2.527564e+01,2.496943e+01,2.459395e+01,2.392844e+01,2.344394e+01
28,2000-02-14 21:51:25.692000,4.320000,2.427202e+01,2.522127e+01,2.500350e+01,2.461447e+01,2.401100e+01,2.345974e+01
29,2000-02-14 21:51:25.852000,4.480000,2.431317e+01,2.527564e+01,2.505117e+01,2.471698e+01,2.392844e+01,2.347330e+01
30,2000-02-14 21:51:26.013000,4.641000,2.432689e+01,2.547929e+01,2.504436e+01,2.473747e+01,2.392156e+01,2.348639e+01
31,2000-02-14 21:51:26.173000,4.801000,2.430631e+01,2.536394e+01,2.511924e+01,2.480575e+01,2.393532e+01,2.349204e+01
32,2000-02-14 21:51:26.333000,4.961000,2.448447e+01,2.542502e+01,2.511924e+01,2.475113e+01,2.391467e+01,2.350948e+01
33,2000-02-14 21:51:26.493000,5.121000,2.445708e+01,2.545894e+01,2.511924e+01,2.477844e+01,2.390779e+01,2.352174e+01
34,2000-02-14 21:51:26.653000,5.281000,2.435431e+01,2.546572e+01,2.510563e+01,2.482622e+01,2.402476e+01,2.353904e+01
35,2000-02-14 21:51:26.813000,5.441000,2.450500e+01,2.554031e+01,2.518047e+01,2.489444e+01,2.401100e+01,2.358220e+01
36,2000-02-14 21:51:26.973000,5.601000,2.452554e+01,2.562838e+01,2.524166e+01,2.502393e+01,2.403163e+01,2.360698e+01
37,2000-02-14 21:51:27.133000,5.761000,2.453238e+01,2.554031e+01,2.523486e+01,2.500350e+01,2.403851e+01,2.361937e+01
38,2000-02-14 21:51:27.293000,5.921000,2.455975e+01,2.562161e+01,2.531640e+01,2.496943e+01,2.409350e+01,2.362865e+01
39,2000-02-14 21:51:27.453000,6.081000,2.457343e+01,2.558774e+01,2.528243e+01,2.506479e+01,2.408663e+01,2.364000e+01
40,2000-02-14 21:51:27.613000,6.241000,2.451869e+01,2.568254e+01,2.531640e+01,2.501712e+01,2.411411e+01,2.366170e+01
41,2000-02-14 21:51:27.773000,6.401000,2.459395e+01,2.569608e+01,2.538430e+01,2.510563e+01,2.408663e+01,2.366662e+01
42,2000-02-14 21:51:27.933000,6.561000,2.474430e+01,2.578402e+01,2.543180e+01,2.507841e+01,2.406601e+01,2.367707e+01
43,2000-02-14 21:51:28.093000,6.721000,2.474430e+01,2.579078e+01,2.554708e+01,2.507160e+01,2.401788e+01,2.368744e+01
44,2000-02-14 21:51:28.253000,6.881000,2.471015e+01,2.583811e+01,2.558097e+01,2.530961e+01,2.424457e+01,2.370557e+01
45,2000-02-14 21:51:28.413000,7.041000,2.471015e+01,2.588541e+01,2.564869e+01,2.514646e+01,2.410724e+01,2.372154e+01
46,2000-02-14 21:51:28.573000,7.201000,2.479210e+01,2.584487e+01,2.567577e+01,2.516687e+01,2.417593e+01,2.372936e+01
