frame,abstime,reltime,april11_microphoneBoardA_0_0.seq:Rectangle 1 [C]:max,april11_microphoneBoardA_0_0.seq:Polygon 1 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 2 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 3 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 4 [C]:max,april11_microphoneBoardA_0_0.seq:Rectangle 5 [C]:mean
43,2000-02-10 21:48:57.523000,6.721000,2.417593e+01,2.518727e+01,2.581783e+01,2.462130e+01,2.388025e+01,2.321872e+01
44,2000-02-10 21:48:57.683000,6.881000,2.421026e+01,2.525525e+01,2.569608e+01,2.473747e+01,2.383204e+01,2.323027e+01
45,2000-02-10 21:48:57.843000,7.041000,2.423771e+01,2.522807e+01,2.556064e+01,2.465549e+01,2.369416e+01,2.323603e+01
46,2000-02-10 21:48:58.003000,7.201000,2.421026e+01,2.528243e+01,2.565546e+01,2.469649e+01,2.372175e+01,2.324094e+01
47,2000-02-10 21:48:58.163000,7.361000,2.427202e+01,2.534357e+01,2.562161e+01,2.475796e+01,2.382515e+01,2.329093e+01
48,2000-02-10 21:48:58.323000,7.521000,2.432689e+01,2.543859e+01,2.561483e+01,2.480575e+01,2.379758e+01,2.332089e+01
49,2000-02-10 21:48:58.483000,7.681000,2.436116e+01,2.538430e+01,2.558097e+01,2.486034e+01,2.377691e+01,2.333019e+01
50,2000-02-10 21:48:58.643000,7.841000,2.444338e+01,2.537751e+01,2.554031e+01,2.483987e+01,2.381137e+01,2.333380e+01
51,2000-02-10 21:48:58.803000,8.001000,2.432003e+01,2.539788e+01,2.553353e+01,2.492171e+01,2.385959e+01,2.333815e+01
52,2000-02-10 21:48:58.963000,8.161000,2.442283e+01,2.546572e+01,2.553353e+01,2.488762e+01,2.381137e+01,2.333902e+01
53,2000-02-10 21:48:59.123000,8.321000,2.440228e+01,2.546572e+01,2.555386e+01,2.492171e+01,2.379758e+01,2.334463e+01
54,2000-02-10 21:48:59.283000,8.481000,2.440228e+01,2.540466e+01,2.570285e+01,2.489444e+01,2.370106e+01,2.335199e+01
55,2000-02-10 21:48:59.443000,8.641000,2.442283e+01,2.543180e+01,2.558097e+01,2.488762e+01,2.372865e+01,2.335787e+01
56,2000-02-10 21:48:59.603000,8.801000,2.436116e+01,2.545216e+01,2.554708e+01,2.488762e+01,2.370795e+01,2.335397e+01
57,2000-02-10 21:48:59.763000,8.961000,2.444338e+01,2.548607e+01,2.557419e+01,2.494217e+01,2.377001e+01,2.335040e+01
58,2000-02-10 21:48:59.923000,9.121000,2.447077e+01,2.554708e+01,2.564869e+01,2.501031e+01,2.389402e+01,2.342661e+01
59,2000-02-10 21:49:00.083000,9.281000,2.453922e+01,2.556741e+01,2.567577e+01,2.507160e+01,2.382515e+01,2.344180e+01
60,2000-02-10 21:49:00.243000,9.441000,2.455975e+01,2.554031e+01,2.566900e+01,2.517367e+01,2.397661e+01,2.343761e+01
61,2000-02-10 21:49:00.403000,9.601000,2.470332e+01,2.552675e+01,2.570285e+01,2.502393e+01,2.381137e+01,2.343618e+01
62,2000-02-10 21:49:00.563000,9.761000,2.457343e+01,2.558097e+01,2.574344e+01,2.501031e+01,2.379069e+01,2.344339e+01
63,2000-02-10 21:49:00.723000,9.921000,2.464865e+01,2.558097e+01,2.577050e+01,2.508521e+01,2.382515e+01,2.345090e+01
64,2000-02-10 21:49:00.883000,10.081000,2.461447e+01,2.559451e+01,2.577050e+01,2.501712e+01,2.387336e+01,2.345589e+01
65,2000-02-10 21:49:01.043000,10.241000,2.458027e+01,2.562838e+01,2.574344e+01,2.514646e+01,2.381826e+01,2.345039e+01
66,2000-02-10 21:49:01.203000,10.401000,2.463498e+01,2.558097e+01,2.577726e+01,2.508521e+01,2.382515e+01,2.344946e+01
67,2000-02-10 21:49:01.363000,10.561000,2.463498e+01,2.559451e+01,2.575697e+01,2.506479e+01,2.379069e+01,2.344924e+01
68,2000-02-10 21:49:01.523000,10.721000,2.463498e+01,2.555386e+01,2.580431e+01,2.508521e+01,2.384581e+01,2.345143e+01
69,2000-02-10 21:49:01.683000,10.881000,2.458027e+01,2.551319e+01,2.575697e+01,2.509883e+01,2.386648e+01,2.345431e+01
70,2000-02-10 21:49:01.843000,11.041000,2.457343e+01,2.559451e+01,2.575697e+01,2.513285e+01,2.388025e+01,2.345916e+01
71,2000-02-10 21:49:02.003000,11.201000,2.477162e+01,2.554031e+01,2.578402e+01,2.518727e+01,2.385959e+01,2.350101e+01
72,2000-02-10 21:49:02.163000,11.361000,2.467599e+01,2.559451e+01,2.577050e+01,2.513285e+01,2.385959e+01,2.350364e+01
73,2000-02-10 21:49:02.323000,11.521000,2.470332e+01,2.568254e+01,2.583135e+01,2.525525e+01,2.387336e+01,2.350403e+01
74,2000-02-10 21:49:02.483000,11.681000,2.475796e+01,2.559451e+01,2.581107e+01,2.518047e+01,2.385270e+01,2.350664e+01
75,2000-02-10 21:49:02.643000,11.841000,2.477844e+01,2.560129e+01,2.585838e+01,2.526884e+01,2.383892e+01,2.351007e+01
76,2000-02-10 21:49:02.803000,12.001000,2.468965e+01,2.555386e+01,2.579078e+01,2.520087e+01,2.381137e+01,2.351277e+01
77,2000-02-10 21:49:02.963000,12.161000,2.467599e+01,2.585162e+01,2.587865e+01,2.518047e+01,2.382515e+01,2.351609e+01
78,2000-02-10 21:49:03.123000,12.321000,2.476479e+01,2.556064e+01,2.580431e+01,2.517367e+01,2.390779e+01,2.351602e+01
79,2000-02-10 21:49:03.283000,12.481000,2.468282e+01,2.555386e+01,2.581107e+01,2.521447e+01,2.390091e+01,2.351888e+01
80,2000-02-10 21:49:03.443000,12.641000,2.475796e+01,2.560806e+01,2.585838e+01,2.529602e+01,2.388025e+01,2.352106e+01
81,2000-02-10 21:49:03.604000,12.802000,2.482622e+01,2.563515e+01,2.581107e+01,2.525525e+01,2.390779e+01,2.352673e+01
82,2000-02-10 21:49:03.763000,12.961000,2.473747e+01,2.558774e+01,2.578402e+01,2.522127e+01,2.391467e+01,2.353086e+01
83,2000-02-10 21:49:03.924000,13.122000,2.483305e+01,2.559451e+01,2.585838e+01,2.524846e+01,2.387336e+01,2.352765e+01
84,2000-02-10 21:49:04.083000,13.281000,2.476479e+01,2.558774e+01,2.587189e+01,2.518727e+01,2.386648e+01,2.352385e+01
85,2000-02-10 21:49:04.243000,13.441000,2.476479e+01,2.561483e+01,2.582459e+01,2.525525e+01,2.383204e+01,2.355726e+01
86,2000-02-10 21:49:04.404000,13.602000,2.487398e+01,2.560806e+01,2.594619e+01,2.525525e+01,2.389402e+01,2.356394e+01
87,2000-02-10 21:49:04.564000,13.762000,2.480575e+01,2.567577e+01,2.595969e+01,2.528243e+01,2.390779e+01,2.357013e+01
88,2000-02-10 21:49:04.724000,13.922000,2.481940e+01,2.564192e+01,2.591918e+01,2.524166e+01,2.394221e+01,2.356652e+01
89,2000-02-10 21:49:04.884000,14.082000,2.482622e+01,2.562838e+01,2.598669e+01,2.524166e+01,2.386648e+01,2.356725e+01
90,2000-02-10 21:49:05.044000,14.242000,2.483987e+01,2.564869e+01,2.591918e+01,2.526884e+01,2.392156e+01,2.357439e+01
91,2000-02-10 21:49:05.204000,14.402000,2.487398e+01,2.570285e+01,2.602044e+01,2.527564e+01,2.389402e+01,2.357016e+01
92,2000-02-10 21:49:05.364000,14.562000,2.484669e+01,2.568254e+01,2.597319e+01,2.530282e+01,2.392844e+01,2.362277e+01
93,2000-02-10 21:49:05.524000,14.722000,2.486034e+01,2.569608e+01,2.600019e+01,2.538430e+01,2.391467e+01,2.362282e+01
94,2000-02-10 21:49:05.684000,14.882000,2.491490e+01,2.573668e+01,2.606765e+01,2.535715e+01,2.406601e+01,2.363281e+01
95,2000-02-10 21:49:05.844000,15.042000,2.486716e+01,2.579755e+01,2.601369e+01,2.532319e+01,2.393532e+01,2.362963e+01
96,2000-02-10 21:49:06.004000,15.202000,2.493535e+01,2.576373e+01,2.602044e+01,2.531640e+01,2.396285e+01,2.362864e+01
97,2000-02-10 21:49:06.164000,15.362000,2.492171e+01,2.567577e+01,2.604067e+01,2.528243e+01,2.395597e+01,2.362218e+01
98,2000-02-10 21:49:06.324000,15.522000,2.502393e+01,2.567577e+01,2.600694e+01,2.534357e+01,2.402476e+01,2.362692e+01
99,2000-02-10 21:49:06.484000,15.682000,2.507841e+01,2.582459e+01,2.609463e+01,2.542502e+01,2.405226e+01,2.371478e+01
100,2000-02-10 21:49:06.644000,15.842000,2.509883e+01,2.585162e+01,2.614855e+01,2.543859e+01,2.403163e+01,2.372137e+01
101,2000-02-10 21:49:06.804000,16.002000,2.501712e+01,2.579078e+01,2.612833e+01,2.553353e+01,2.405226e+01,2.372682e+01
102,2000-02-10 21:49:06.964000,16.162000,2.497624e+01,2.589892e+01,2.611485e+01,2.545216e+01,2.405913e+01,2.372498e+01
103,2000-02-10 21:49:07.124000,16.322000,2.504436e+01,2.582459e+01,2.612833e+01,2.543180e+01,2.404538e+01,2.372612e+01
