frame,abstime,reltime,april10_baselineBoardB_1.seq:Rectangle 1 [C]:max,april10_baselineBoardB_1.seq:Polygon 1 [C]:max,april10_baselineBoardB_1.seq:Rectangle 2 [C]:max,april10_baselineBoardB_1.seq:Rectangle 3 [C]:max,april10_baselineBoardB_1.seq:Rectangle 4 [C]:max,april10_baselineBoardB_1.seq:Rectangle 5 [C]:mean
1,2000-02-10 05:34:01.111000,0.000000,2.421712e+01,2.356301e+01,2.366656e+01,2.350773e+01,2.353537e+01,2.337065e+01
2,2000-02-10 05:34:01.271000,0.160000,2.428574e+01,2.360444e+01,2.355610e+01,2.350773e+01,2.357682e+01,2.336745e+01
3,2000-02-10 05:34:01.431000,0.320000,2.420339e+01,2.362515e+01,2.353537e+01,2.350773e+01,2.360444e+01,2.337366e+01
4,2000-02-10 05:34:01.591000,0.480000,2.421712e+01,2.368726e+01,2.348700e+01,2.356991e+01,2.358373e+01,2.336960e+01
5,2000-02-10 05:34:01.751000,0.640000,2.427202e+01,2.365276e+01,2.362515e+01,2.349391e+01,2.356991e+01,2.336946e+01
6,2000-02-10 05:34:01.911000,0.800000,2.432003e+01,2.358373e+01,2.358373e+01,2.351464e+01,2.363896e+01,2.337150e+01
7,2000-02-10 05:34:02.071000,0.960000,2.423085e+01,2.359063e+01,2.360444e+01,2.356301e+01,2.360444e+01,2.337141e+01
8,2000-02-10 05:34:02.231000,1.120000,2.425143e+01,2.359063e+01,2.352847e+01,2.355610e+01,2.357682e+01,2.337258e+01
9,2000-02-10 05:34:02.391000,1.280000,2.419653e+01,2.374244e+01,2.390779e+01,2.352155e+01,2.377001e+01,2.338852e+01
10,2000-02-10 05:34:02.551000,1.440000,2.426516e+01,2.398349e+01,2.412098e+01,2.366656e+01,2.372865e+01,2.341604e+01
11,2000-02-10 05:34:02.711000,1.600000,2.444338e+01,2.417593e+01,2.432003e+01,2.365276e+01,2.377001e+01,2.344104e+01
12,2000-02-10 05:34:02.871000,1.760000,2.446393e+01,2.428574e+01,2.453922e+01,2.375623e+01,2.387336e+01,2.346506e+01
13,2000-02-10 05:34:03.031000,1.920000,2.442283e+01,2.447077e+01,2.466232e+01,2.385959e+01,2.396973e+01,2.349271e+01
14,2000-02-10 05:34:03.191000,2.080000,2.455291e+01,2.460079e+01,2.471015e+01,2.399725e+01,2.397661e+01,2.351442e+01
15,2000-02-10 05:34:03.351000,2.240000,2.451869e+01,2.479892e+01,2.487398e+01,2.403163e+01,2.401100e+01,2.353571e+01
16,2000-02-10 05:34:03.511000,2.400000,2.460763e+01,2.484669e+01,2.488762e+01,2.415533e+01,2.401788e+01,2.355323e+01
17,2000-02-10 05:34:03.671000,2.560000,2.470332e+01,2.494217e+01,2.502393e+01,2.418966e+01,2.403851e+01,2.357924e+01
18,2000-02-10 05:34:03.831000,2.720000,2.465549e+01,2.507160e+01,2.505798e+01,2.430631e+01,2.411411e+01,2.359360e+01
19,2000-02-10 05:34:03.991000,2.880000,2.469649e+01,2.509202e+01,2.511244e+01,2.440228e+01,2.414159e+01,2.361913e+01
20,2000-02-10 05:34:04.151000,3.040000,2.475113e+01,2.524166e+01,2.517367e+01,2.446393e+01,2.420339e+01,2.363294e+01
21,2000-02-10 05:34:04.311000,3.200000,2.479210e+01,2.522807e+01,2.516687e+01,2.451185e+01,2.421712e+01,2.365223e+01
22,2000-02-10 05:34:04.471000,3.360000,2.480575e+01,2.532319e+01,2.528923e+01,2.463498e+01,2.419653e+01,2.366749e+01
23,2000-02-10 05:34:04.631000,3.520000,2.487398e+01,2.535036e+01,2.524846e+01,2.469649e+01,2.421026e+01,2.367512e+01
24,2000-02-10 05:34:04.791000,3.680000,2.484669e+01,2.553353e+01,2.543859e+01,2.466915e+01,2.427202e+01,2.370526e+01
25,2000-02-10 05:34:04.951000,3.840000,2.479210e+01,2.566224e+01,2.549285e+01,2.480575e+01,2.421026e+01,2.369030e+01
26,2000-02-10 05:34:05.111000,4.000000,2.482622e+01,2.559451e+01,2.537072e+01,2.479892e+01,2.423085e+01,2.369549e+01
27,2000-02-10 05:34:05.271000,4.160000,2.481257e+01,2.559451e+01,2.549285e+01,2.490126e+01,2.418966e+01,2.371005e+01
28,2000-02-10 05:34:05.431000,4.320000,2.489444e+01,2.564192e+01,2.545216e+01,2.492853e+01,2.438172e+01,2.371912e+01
29,2000-02-10 05:34:05.591000,4.480000,2.484669e+01,2.589216e+01,2.546572e+01,2.492171e+01,2.428574e+01,2.373476e+01
30,2000-02-10 05:34:05.751000,4.640000,2.479892e+01,2.587865e+01,2.551319e+01,2.488762e+01,2.427202e+01,2.374716e+01
31,2000-02-10 05:34:05.911000,4.800000,2.486716e+01,2.591918e+01,2.557419e+01,2.499668e+01,2.422398e+01,2.375609e+01
32,2000-02-10 05:34:06.071000,4.960000,2.491490e+01,2.586514e+01,2.553353e+01,2.498987e+01,2.426516e+01,2.376658e+01
33,2000-02-10 05:34:06.231000,5.120000,2.487398e+01,2.597319e+01,2.556064e+01,2.501031e+01,2.428574e+01,2.377998e+01
34,2000-02-10 05:34:06.391000,5.280000,2.486716e+01,2.589892e+01,2.560806e+01,2.501031e+01,2.432003e+01,2.379847e+01
35,2000-02-10 05:34:06.551000,5.440000,2.486034e+01,2.596644e+01,2.560129e+01,2.503074e+01,2.432689e+01,2.380359e+01
36,2000-02-10 05:34:06.711000,5.600000,2.490808e+01,2.606091e+01,2.569608e+01,2.504436e+01,2.426516e+01,2.381597e+01
37,2000-02-10 05:34:06.872000,5.761000,2.504436e+01,2.604742e+01,2.575697e+01,2.507841e+01,2.429945e+01,2.383373e+01
38,2000-02-10 05:34:07.032000,5.921000,2.494898e+01,2.612159e+01,2.572315e+01,2.507160e+01,2.435431e+01,2.383669e+01
39,2000-02-10 05:34:07.192000,6.081000,2.505117e+01,2.615529e+01,2.572315e+01,2.510563e+01,2.429945e+01,2.384834e+01
40,2000-02-10 05:34:07.352000,6.241000,2.497624e+01,2.616203e+01,2.571638e+01,2.523486e+01,2.444338e+01,2.386335e+01
41,2000-02-10 05:34:07.512000,6.401000,2.487398e+01,2.611485e+01,2.579755e+01,2.522127e+01,2.432003e+01,2.387555e+01
42,2000-02-10 05:34:07.672000,6.561000,2.492171e+01,2.622265e+01,2.572991e+01,2.521447e+01,2.438172e+01,2.388551e+01
