frame,abstime,reltime,april16_microphoneBoardE_2.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_2.seq:Polygon 1 [C]:max,april16_microphoneBoardE_2.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_2.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_2.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_2.seq:Rectangle 5 [C]:mean
1,2000-02-16 06:11:23.412000,0.000000,2.374933e+01,2.392156e+01,2.365276e+01,2.377001e+01,2.392844e+01,2.348144e+01
2,2000-02-16 06:11:23.572000,0.160000,2.370795e+01,2.394909e+01,2.372175e+01,2.388025e+01,2.402476e+01,2.348618e+01
3,2000-02-16 06:11:23.732000,0.320000,2.377691e+01,2.404538e+01,2.370106e+01,2.376312e+01,2.393532e+01,2.348274e+01
4,2000-02-16 06:11:23.892000,0.480000,2.377001e+01,2.400413e+01,2.370106e+01,2.377691e+01,2.391467e+01,2.346473e+01
5,2000-02-16 06:11:24.052000,0.640000,2.379069e+01,2.406601e+01,2.373554e+01,2.384581e+01,2.392844e+01,2.346454e+01
6,2000-02-16 06:11:24.212000,0.800000,2.375623e+01,2.396285e+01,2.363206e+01,2.370106e+01,2.385959e+01,2.346382e+01
7,2000-02-16 06:11:24.372000,0.960000,2.367346e+01,2.399725e+01,2.367346e+01,2.377001e+01,2.394909e+01,2.345500e+01
8,2000-02-16 06:11:24.532000,1.120000,2.369416e+01,2.393532e+01,2.369416e+01,2.379069e+01,2.400413e+01,2.345635e+01
9,2000-02-16 06:11:24.692000,1.280000,2.375623e+01,2.407975e+01,2.378380e+01,2.388025e+01,2.400413e+01,2.347148e+01
10,2000-02-16 06:11:24.852000,1.440000,2.388025e+01,2.407288e+01,2.419653e+01,2.390091e+01,2.412785e+01,2.349014e+01
11,2000-02-16 06:11:25.012000,1.600000,2.399037e+01,2.410724e+01,2.426516e+01,2.399037e+01,2.412785e+01,2.352455e+01
12,2000-02-16 06:11:25.172000,1.760000,2.415533e+01,2.416220e+01,2.433374e+01,2.393532e+01,2.416906e+01,2.354896e+01
13,2000-02-16 06:11:25.332000,1.920000,2.427202e+01,2.434060e+01,2.449131e+01,2.397661e+01,2.431317e+01,2.357755e+01
14,2000-02-16 06:11:25.492000,2.080000,2.424457e+01,2.446393e+01,2.455975e+01,2.404538e+01,2.425830e+01,2.359595e+01
15,2000-02-16 06:11:25.652000,2.240000,2.429259e+01,2.458711e+01,2.471698e+01,2.407975e+01,2.430631e+01,2.361804e+01
16,2000-02-16 06:11:25.812000,2.400000,2.435431e+01,2.475796e+01,2.472381e+01,2.418966e+01,2.435431e+01,2.364393e+01
17,2000-02-16 06:11:25.972000,2.560000,2.435431e+01,2.482622e+01,2.492853e+01,2.429945e+01,2.439543e+01,2.366996e+01
18,2000-02-16 06:11:26.132000,2.720000,2.439543e+01,2.498987e+01,2.492853e+01,2.442283e+01,2.432689e+01,2.369414e+01
19,2000-02-16 06:11:26.292000,2.880000,2.444338e+01,2.498306e+01,2.502393e+01,2.453922e+01,2.431317e+01,2.371966e+01
20,2000-02-16 06:11:26.452000,3.040000,2.454607e+01,2.508521e+01,2.507841e+01,2.460079e+01,2.432003e+01,2.373419e+01
21,2000-02-16 06:11:26.612000,3.200000,2.464865e+01,2.519407e+01,2.517367e+01,2.459395e+01,2.447762e+01,2.375246e+01
22,2000-02-16 06:11:26.772000,3.360000,2.458027e+01,2.526205e+01,2.525525e+01,2.479210e+01,2.432003e+01,2.376468e+01
