frame,abstime,reltime,april3_baselineBoardE_4.seq:Rectangle 1 [C]:max,april3_baselineBoardE_4.seq:Polygon 1 [C]:max,april3_baselineBoardE_4.seq:Rectangle 2 [C]:max,april3_baselineBoardE_4.seq:Rectangle 3 [C]:max,april3_baselineBoardE_4.seq:Rectangle 4 [C]:max,april3_baselineBoardE_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 07:15:06.085000,0.000000,2.412098e+01,2.395597e+01,2.374244e+01,2.379758e+01,2.409350e+01,2.365716e+01
2,2000-02-03 07:15:06.245000,0.160000,2.421712e+01,2.394221e+01,2.375623e+01,2.387336e+01,2.402476e+01,2.365000e+01
3,2000-02-03 07:15:06.405000,0.320000,2.416220e+01,2.390091e+01,2.376312e+01,2.382515e+01,2.401100e+01,2.365442e+01
4,2000-02-03 07:15:06.565000,0.480000,2.420339e+01,2.402476e+01,2.385959e+01,2.387336e+01,2.427202e+01,2.370717e+01
5,2000-02-03 07:15:06.725000,0.640000,2.421712e+01,2.399037e+01,2.381137e+01,2.388713e+01,2.403163e+01,2.371648e+01
6,2000-02-03 07:15:06.885000,0.800000,2.415533e+01,2.392844e+01,2.383204e+01,2.390779e+01,2.409350e+01,2.371464e+01
7,2000-02-03 07:15:07.045000,0.960000,2.419653e+01,2.399725e+01,2.391467e+01,2.387336e+01,2.412098e+01,2.370451e+01
8,2000-02-03 07:15:07.205000,1.120000,2.421026e+01,2.393532e+01,2.384581e+01,2.396973e+01,2.407288e+01,2.370956e+01
9,2000-02-03 07:15:07.366000,1.281000,2.411411e+01,2.393532e+01,2.387336e+01,2.390091e+01,2.414159e+01,2.371538e+01
10,2000-02-03 07:15:07.525000,1.440000,2.423771e+01,2.422398e+01,2.419653e+01,2.395597e+01,2.422398e+01,2.373582e+01
11,2000-02-03 07:15:07.685000,1.600000,2.434745e+01,2.438172e+01,2.442968e+01,2.407975e+01,2.424457e+01,2.376049e+01
12,2000-02-03 07:15:07.845000,1.760000,2.444338e+01,2.460763e+01,2.456659e+01,2.416906e+01,2.427202e+01,2.377308e+01
13,2000-02-03 07:15:08.006000,1.921000,2.447762e+01,2.476479e+01,2.472381e+01,2.416906e+01,2.435431e+01,2.379646e+01
14,2000-02-03 07:15:08.165000,2.080000,2.456659e+01,2.482622e+01,2.484669e+01,2.425143e+01,2.441598e+01,2.381464e+01
15,2000-02-03 07:15:08.326000,2.241000,2.454607e+01,2.511924e+01,2.491490e+01,2.437487e+01,2.442968e+01,2.383221e+01
16,2000-02-03 07:15:08.486000,2.401000,2.466915e+01,2.505117e+01,2.504436e+01,2.447762e+01,2.449131e+01,2.386011e+01
17,2000-02-03 07:15:08.645000,2.560000,2.467599e+01,2.509202e+01,2.506479e+01,2.465549e+01,2.451869e+01,2.387557e+01
18,2000-02-03 07:15:08.806000,2.721000,2.473064e+01,2.535036e+01,2.518727e+01,2.469649e+01,2.448447e+01,2.390133e+01
19,2000-02-03 07:15:08.966000,2.881000,2.475113e+01,2.536394e+01,2.518047e+01,2.481940e+01,2.452554e+01,2.391771e+01
20,2000-02-03 07:15:09.126000,3.041000,2.475796e+01,2.540466e+01,2.526205e+01,2.484669e+01,2.456659e+01,2.393136e+01
21,2000-02-03 07:15:09.286000,3.201000,2.471015e+01,2.551997e+01,2.532319e+01,2.490126e+01,2.458027e+01,2.395111e+01
22,2000-02-03 07:15:09.446000,3.361000,2.484669e+01,2.564869e+01,2.537751e+01,2.499668e+01,2.459395e+01,2.396823e+01
23,2000-02-03 07:15:09.606000,3.521000,2.486716e+01,2.572315e+01,2.545894e+01,2.496261e+01,2.458711e+01,2.398894e+01
24,2000-02-03 07:15:09.766000,3.681000,2.494217e+01,2.575021e+01,2.539109e+01,2.510563e+01,2.466232e+01,2.399892e+01
25,2000-02-03 07:15:09.926000,3.841000,2.494217e+01,2.586514e+01,2.553353e+01,2.521447e+01,2.461447e+01,2.401975e+01
26,2000-02-03 07:15:10.086000,4.001000,2.496943e+01,2.582459e+01,2.548607e+01,2.526205e+01,2.462130e+01,2.403074e+01
27,2000-02-03 07:15:10.246000,4.161000,2.496943e+01,2.591243e+01,2.558774e+01,2.520087e+01,2.466915e+01,2.404751e+01
28,2000-02-03 07:15:10.406000,4.321000,2.499668e+01,2.600694e+01,2.570961e+01,2.523486e+01,2.468282e+01,2.406493e+01
29,2000-02-03 07:15:10.566000,4.481000,2.505798e+01,2.602044e+01,2.566900e+01,2.531640e+01,2.466232e+01,2.407738e+01
30,2000-02-03 07:15:10.726000,4.641000,2.508521e+01,2.610811e+01,2.567577e+01,2.533677e+01,2.470332e+01,2.409108e+01
31,2000-02-03 07:15:10.886000,4.801000,2.508521e+01,2.619571e+01,2.585838e+01,2.535036e+01,2.473064e+01,2.411361e+01
32,2000-02-03 07:15:11.046000,4.961000,2.511924e+01,2.628324e+01,2.570961e+01,2.541823e+01,2.473747e+01,2.412599e+01
33,2000-02-03 07:15:11.206000,5.121000,2.519407e+01,2.624959e+01,2.577050e+01,2.547251e+01,2.466915e+01,2.413316e+01
34,2000-02-03 07:15:11.366000,5.281000,2.518727e+01,2.628324e+01,2.583811e+01,2.548607e+01,2.467599e+01,2.414436e+01
35,2000-02-03 07:15:11.526000,5.441000,2.517367e+01,2.638415e+01,2.586514e+01,2.551319e+01,2.477844e+01,2.416451e+01
36,2000-02-03 07:15:11.686000,5.601000,2.519407e+01,2.639760e+01,2.580431e+01,2.561483e+01,2.474430e+01,2.417912e+01
37,2000-02-03 07:15:11.846000,5.761000,2.524846e+01,2.640432e+01,2.579078e+01,2.564869e+01,2.470332e+01,2.417826e+01
38,2000-02-03 07:15:12.006000,5.921000,2.520767e+01,2.642449e+01,2.591918e+01,2.564192e+01,2.476479e+01,2.419273e+01
39,2000-02-03 07:15:12.166000,6.081000,2.528923e+01,2.650511e+01,2.605416e+01,2.571638e+01,2.474430e+01,2.420843e+01
40,2000-02-03 07:15:12.326000,6.241000,2.540466e+01,2.645809e+01,2.591918e+01,2.576373e+01,2.477162e+01,2.422054e+01
41,2000-02-03 07:15:12.486000,6.401000,2.544537e+01,2.651183e+01,2.597994e+01,2.568931e+01,2.481940e+01,2.422767e+01
42,2000-02-03 07:15:12.646000,6.561000,2.532998e+01,2.660581e+01,2.600019e+01,2.577726e+01,2.477844e+01,2.423911e+01
43,2000-02-03 07:15:12.806000,6.721000,2.541145e+01,2.653869e+01,2.600019e+01,2.573668e+01,2.478527e+01,2.424805e+01
