frame,abstime,reltime,april10_baselineBoardD_3.seq:Rectangle 1 [C]:max,april10_baselineBoardD_3.seq:Polygon 1 [C]:max,april10_baselineBoardD_3.seq:Rectangle 2 [C]:max,april10_baselineBoardD_3.seq:Rectangle 3 [C]:max,april10_baselineBoardD_3.seq:Rectangle 4 [C]:max,april10_baselineBoardD_3.seq:Rectangle 5 [C]:mean
1,2000-02-10 07:46:14.827000,0.000000,2.451869e+01,2.388025e+01,2.385270e+01,2.381826e+01,2.394221e+01,2.362142e+01
2,2000-02-10 07:46:14.987000,0.160000,2.458027e+01,2.388025e+01,2.386648e+01,2.382515e+01,2.386648e+01,2.362130e+01
3,2000-02-10 07:46:15.147000,0.320000,2.455291e+01,2.396285e+01,2.385959e+01,2.384581e+01,2.392844e+01,2.361375e+01
4,2000-02-10 07:46:15.307000,0.480000,2.447762e+01,2.383204e+01,2.383204e+01,2.388025e+01,2.393532e+01,2.359164e+01
5,2000-02-10 07:46:15.467000,0.640000,2.455291e+01,2.389402e+01,2.383892e+01,2.379758e+01,2.390091e+01,2.359723e+01
6,2000-02-10 07:46:15.627000,0.800000,2.461447e+01,2.387336e+01,2.392844e+01,2.385270e+01,2.396973e+01,2.359748e+01
7,2000-02-10 07:46:15.787000,0.960000,2.457343e+01,2.390779e+01,2.382515e+01,2.388713e+01,2.383892e+01,2.359769e+01
8,2000-02-10 07:46:15.947000,1.120000,2.468965e+01,2.386648e+01,2.379069e+01,2.376312e+01,2.384581e+01,2.359294e+01
9,2000-02-10 07:46:16.107000,1.280000,2.462814e+01,2.399725e+01,2.400413e+01,2.385959e+01,2.388025e+01,2.360728e+01
10,2000-02-10 07:46:16.267000,1.440000,2.464865e+01,2.425143e+01,2.427202e+01,2.390779e+01,2.399725e+01,2.363285e+01
11,2000-02-10 07:46:16.427000,1.600000,2.470332e+01,2.440913e+01,2.455975e+01,2.397661e+01,2.403851e+01,2.366509e+01
12,2000-02-10 07:46:16.587000,1.760000,2.490808e+01,2.469649e+01,2.470332e+01,2.407975e+01,2.427888e+01,2.369298e+01
13,2000-02-10 07:46:16.747000,1.920000,2.496943e+01,2.474430e+01,2.497624e+01,2.408663e+01,2.421712e+01,2.371880e+01
