frame,abstime,reltime,april3_microphoneBoardB_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardB_4.seq:Polygon 1 [C]:max,april3_microphoneBoardB_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardB_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardB_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardB_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 07:40:50.688000,0.000000,2.455291e+01,2.433374e+01,2.444338e+01,2.438172e+01,2.451185e+01,2.404045e+01
2,2000-02-03 07:40:50.848000,0.160000,2.460079e+01,2.429259e+01,2.429945e+01,2.434745e+01,2.445708e+01,2.404166e+01
3,2000-02-03 07:40:51.008000,0.320000,2.449816e+01,2.434745e+01,2.444338e+01,2.434060e+01,2.453238e+01,2.403981e+01
4,2000-02-03 07:40:51.168000,0.480000,2.462130e+01,2.442968e+01,2.438858e+01,2.436116e+01,2.446393e+01,2.403876e+01
5,2000-02-03 07:40:51.328000,0.640000,2.451869e+01,2.432003e+01,2.434060e+01,2.433374e+01,2.445708e+01,2.403455e+01
6,2000-02-03 07:40:51.488000,0.800000,2.445708e+01,2.436802e+01,2.436802e+01,2.440913e+01,2.443653e+01,2.403071e+01
7,2000-02-03 07:40:51.648000,0.960000,2.457343e+01,2.434745e+01,2.442968e+01,2.432689e+01,2.452554e+01,2.403961e+01
8,2000-02-03 07:40:51.808000,1.120000,2.451869e+01,2.432003e+01,2.436116e+01,2.427888e+01,2.438172e+01,2.403873e+01
9,2000-02-03 07:40:51.968000,1.280000,2.454607e+01,2.436116e+01,2.428574e+01,2.430631e+01,2.440228e+01,2.404371e+01
10,2000-02-03 07:40:52.128000,1.440000,2.461447e+01,2.432003e+01,2.436802e+01,2.439543e+01,2.447762e+01,2.405533e+01
11,2000-02-03 07:40:52.288000,1.600000,2.461447e+01,2.449131e+01,2.458027e+01,2.439543e+01,2.457343e+01,2.407596e+01
12,2000-02-03 07:40:52.448000,1.760000,2.465549e+01,2.468965e+01,2.475796e+01,2.445023e+01,2.464865e+01,2.409097e+01
13,2000-02-03 07:40:52.608000,1.920000,2.475113e+01,2.483987e+01,2.501712e+01,2.460079e+01,2.469649e+01,2.411626e+01
14,2000-02-03 07:40:52.768000,2.080000,2.477162e+01,2.507160e+01,2.501031e+01,2.471015e+01,2.469649e+01,2.413696e+01
15,2000-02-03 07:40:52.928000,2.240000,2.481257e+01,2.518727e+01,2.510563e+01,2.469649e+01,2.478527e+01,2.415503e+01
16,2000-02-03 07:40:53.088000,2.400000,2.484669e+01,2.518727e+01,2.523486e+01,2.461447e+01,2.479892e+01,2.414697e+01
17,2000-02-03 07:40:53.248000,2.560000,2.487398e+01,2.538430e+01,2.526884e+01,2.467599e+01,2.482622e+01,2.416035e+01
18,2000-02-03 07:40:53.408000,2.720000,2.494217e+01,2.543180e+01,2.527564e+01,2.479210e+01,2.487398e+01,2.418685e+01
19,2000-02-03 07:40:53.568000,2.880000,2.496943e+01,2.555386e+01,2.532998e+01,2.485351e+01,2.490126e+01,2.419741e+01
20,2000-02-03 07:40:53.728000,3.040000,2.499668e+01,2.564192e+01,2.533677e+01,2.490808e+01,2.483987e+01,2.420910e+01
21,2000-02-03 07:40:53.888000,3.200000,2.501712e+01,2.571638e+01,2.555386e+01,2.501712e+01,2.478527e+01,2.422055e+01
22,2000-02-03 07:40:54.048000,3.360000,2.511244e+01,2.568254e+01,2.541823e+01,2.503755e+01,2.482622e+01,2.423589e+01
23,2000-02-03 07:40:54.208000,3.520000,2.507160e+01,2.577050e+01,2.552675e+01,2.513966e+01,2.489444e+01,2.425006e+01
24,2000-02-03 07:40:54.368000,3.680000,2.513966e+01,2.582459e+01,2.551997e+01,2.516687e+01,2.486716e+01,2.427460e+01
25,2000-02-03 07:40:54.528000,3.840000,2.508521e+01,2.602718e+01,2.558774e+01,2.527564e+01,2.489444e+01,2.428979e+01
26,2000-02-03 07:40:54.688000,4.000000,2.518047e+01,2.599344e+01,2.563515e+01,2.527564e+01,2.490126e+01,2.430901e+01
27,2000-02-03 07:40:54.848000,4.160000,2.521447e+01,2.595294e+01,2.565546e+01,2.529602e+01,2.492853e+01,2.431381e+01
28,2000-02-03 07:40:55.009000,4.321000,2.538430e+01,2.600694e+01,2.568254e+01,2.538430e+01,2.498987e+01,2.433222e+01
29,2000-02-03 07:40:55.168000,4.480000,2.549285e+01,2.615529e+01,2.571638e+01,2.541145e+01,2.494898e+01,2.436626e+01
30,2000-02-03 07:40:55.328000,4.640000,2.538430e+01,2.610137e+01,2.579078e+01,2.547251e+01,2.497624e+01,2.437471e+01
31,2000-02-03 07:40:55.489000,4.801000,2.549285e+01,2.615529e+01,2.579755e+01,2.547251e+01,2.496261e+01,2.438065e+01
32,2000-02-03 07:40:55.649000,4.961000,2.541145e+01,2.614855e+01,2.575021e+01,2.549285e+01,2.499668e+01,2.439964e+01
33,2000-02-03 07:40:55.809000,5.121000,2.537751e+01,2.622265e+01,2.578402e+01,2.556741e+01,2.492171e+01,2.440170e+01
34,2000-02-03 07:40:55.969000,5.281000,2.539788e+01,2.624959e+01,2.583811e+01,2.562161e+01,2.494217e+01,2.440864e+01
35,2000-02-03 07:40:56.129000,5.441000,2.544537e+01,2.621592e+01,2.586514e+01,2.558774e+01,2.496943e+01,2.442025e+01
