frame,abstime,reltime,april17_microphoneBoardE_0.seq:Rectangle 1 [C]:max,april17_microphoneBoardE_0.seq:Polygon 1 [C]:max,april17_microphoneBoardE_0.seq:Rectangle 2 [C]:max,april17_microphoneBoardE_0.seq:Rectangle 3 [C]:max,april17_microphoneBoardE_0.seq:Rectangle 4 [C]:max,april17_microphoneBoardE_0.seq:Rectangle 5 [C]:mean
1,2000-02-16 23:39:57.091000,0.000000,2.330020e+01,2.332097e+01,2.321707e+01,2.332097e+01,2.317548e+01,2.296993e+01
2,2000-02-16 23:39:57.251000,0.160000,2.341786e+01,2.331405e+01,2.325172e+01,2.325865e+01,2.325172e+01,2.298224e+01
3,2000-02-16 23:39:57.411000,0.320000,2.331405e+01,2.329328e+01,2.328635e+01,2.325865e+01,2.322400e+01,2.297593e+01
4,2000-02-16 23:39:57.571000,0.480000,2.334866e+01,2.329328e+01,2.324479e+01,2.320321e+01,2.325172e+01,2.297024e+01
5,2000-02-16 23:39:57.731000,0.640000,2.327250e+01,2.324479e+01,2.317548e+01,2.329328e+01,2.324479e+01,2.296809e+01
6,2000-02-16 23:39:57.891000,0.800000,2.322400e+01,2.327943e+01,2.325172e+01,2.321707e+01,2.321707e+01,2.296405e+01
7,2000-02-16 23:39:58.051000,0.960000,2.320321e+01,2.323093e+01,2.323093e+01,2.325865e+01,2.318242e+01,2.295635e+01
8,2000-02-16 23:39:58.212000,1.121000,2.324479e+01,2.330020e+01,2.322400e+01,2.318242e+01,2.327250e+01,2.295144e+01
9,2000-02-16 23:39:58.371000,1.280000,2.323786e+01,2.321014e+01,2.323093e+01,2.320321e+01,2.320321e+01,2.294352e+01
10,2000-02-16 23:39:58.532000,1.441000,2.330020e+01,2.343860e+01,2.359754e+01,2.325172e+01,2.327943e+01,2.296578e+01
11,2000-02-16 23:39:58.691000,1.600000,2.348700e+01,2.366656e+01,2.379758e+01,2.327943e+01,2.334174e+01,2.298554e+01
12,2000-02-16 23:39:58.851000,1.760000,2.355610e+01,2.372865e+01,2.423085e+01,2.342477e+01,2.341786e+01,2.300674e+01
13,2000-02-16 23:39:59.011000,1.920000,2.360444e+01,2.392156e+01,2.422398e+01,2.345935e+01,2.346626e+01,2.302635e+01
14,2000-02-16 23:39:59.171000,2.080000,2.361135e+01,2.405226e+01,2.423771e+01,2.355610e+01,2.349391e+01,2.302639e+01
15,2000-02-16 23:39:59.332000,2.241000,2.365966e+01,2.416906e+01,2.428574e+01,2.366656e+01,2.348009e+01,2.302996e+01
16,2000-02-16 23:39:59.492000,2.401000,2.373554e+01,2.429945e+01,2.431317e+01,2.372865e+01,2.358373e+01,2.304444e+01
17,2000-02-16 23:39:59.652000,2.561000,2.368036e+01,2.434060e+01,2.447077e+01,2.399037e+01,2.352847e+01,2.306876e+01
18,2000-02-16 23:39:59.812000,2.721000,2.383204e+01,2.456659e+01,2.454607e+01,2.392844e+01,2.358373e+01,2.308513e+01
19,2000-02-16 23:39:59.972000,2.881000,2.379069e+01,2.454607e+01,2.468965e+01,2.397661e+01,2.358373e+01,2.309975e+01
20,2000-02-16 23:40:00.382000,3.291000,2.384581e+01,2.463498e+01,2.468282e+01,2.406601e+01,2.358373e+01,2.310810e+01
21,2000-02-16 23:40:00.542000,3.451000,2.381826e+01,2.476479e+01,2.469649e+01,2.425143e+01,2.356991e+01,2.312637e+01
22,2000-02-16 23:40:00.702000,3.611000,2.389402e+01,2.468965e+01,2.481257e+01,2.417593e+01,2.355610e+01,2.313547e+01
23,2000-02-16 23:40:00.862000,3.771000,2.383204e+01,2.493535e+01,2.474430e+01,2.429259e+01,2.368036e+01,2.315241e+01
24,2000-02-16 23:40:00.999000,3.908000,2.399725e+01,2.484669e+01,2.483305e+01,2.433374e+01,2.371485e+01,2.318677e+01
25,2000-02-16 23:40:00.999000,3.908000,2.399725e+01,2.509202e+01,2.500350e+01,2.436802e+01,2.365966e+01,2.322086e+01
26,2000-02-16 23:40:01.147000,4.056000,2.401100e+01,2.502393e+01,2.496943e+01,2.438858e+01,2.372175e+01,2.322467e+01
27,2000-02-16 23:40:01.307000,4.216000,2.405226e+01,2.505798e+01,2.485351e+01,2.457343e+01,2.369416e+01,2.323535e+01
28,2000-02-16 23:40:01.467000,4.376000,2.410037e+01,2.507160e+01,2.489444e+01,2.464181e+01,2.379069e+01,2.324652e+01
29,2000-02-16 23:40:01.627000,4.536000,2.411411e+01,2.510563e+01,2.496943e+01,2.468282e+01,2.381137e+01,2.325752e+01
30,2000-02-16 23:40:01.787000,4.696000,2.407288e+01,2.511924e+01,2.489444e+01,2.462130e+01,2.370795e+01,2.327205e+01
31,2000-02-16 23:40:01.947000,4.856000,2.408663e+01,2.516687e+01,2.494898e+01,2.472381e+01,2.377001e+01,2.327689e+01
32,2000-02-16 23:40:02.093000,5.002000,2.408663e+01,2.526205e+01,2.516006e+01,2.477162e+01,2.375623e+01,2.328397e+01
33,2000-02-16 23:40:02.253000,5.162000,2.415533e+01,2.522807e+01,2.508521e+01,2.481257e+01,2.370795e+01,2.328836e+01
34,2000-02-16 23:40:02.413000,5.322000,2.421712e+01,2.539109e+01,2.509202e+01,2.482622e+01,2.373554e+01,2.329299e+01
35,2000-02-16 23:40:02.573000,5.482000,2.417593e+01,2.539109e+01,2.505798e+01,2.481940e+01,2.373554e+01,2.330394e+01
36,2000-02-16 23:40:02.733000,5.642000,2.418966e+01,2.532998e+01,2.505117e+01,2.481940e+01,2.384581e+01,2.330770e+01
37,2000-02-16 23:40:02.893000,5.802000,2.425143e+01,2.535036e+01,2.511244e+01,2.479892e+01,2.379069e+01,2.331745e+01
38,2000-02-16 23:40:03.033000,5.942000,2.420339e+01,2.538430e+01,2.507841e+01,2.482622e+01,2.368726e+01,2.332307e+01
39,2000-02-16 23:40:03.193000,6.102000,2.432003e+01,2.560806e+01,2.515326e+01,2.490126e+01,2.386648e+01,2.335761e+01
40,2000-02-16 23:40:03.353000,6.262000,2.427202e+01,2.541145e+01,2.516687e+01,2.501031e+01,2.388713e+01,2.336450e+01
41,2000-02-16 23:40:03.513000,6.422000,2.423771e+01,2.547929e+01,2.528243e+01,2.501712e+01,2.383892e+01,2.337210e+01
42,2000-02-16 23:40:03.674000,6.583000,2.432689e+01,2.551997e+01,2.530282e+01,2.502393e+01,2.375623e+01,2.339277e+01
43,2000-02-16 23:40:03.834000,6.743000,2.440913e+01,2.555386e+01,2.525525e+01,2.498987e+01,2.375623e+01,2.339076e+01
44,2000-02-16 23:40:03.994000,6.903000,2.438172e+01,2.562161e+01,2.533677e+01,2.505117e+01,2.383892e+01,2.339799e+01
45,2000-02-16 23:40:04.152000,7.061000,2.442283e+01,2.561483e+01,2.542502e+01,2.505117e+01,2.379758e+01,2.340353e+01
46,2000-02-16 23:40:04.312000,7.221000,2.445708e+01,2.572315e+01,2.549285e+01,2.509883e+01,2.383204e+01,2.346256e+01
47,2000-02-16 23:40:04.472000,7.381000,2.449131e+01,2.575021e+01,2.543859e+01,2.518047e+01,2.394221e+01,2.348033e+01
48,2000-02-16 23:40:04.632000,7.541000,2.449131e+01,2.575697e+01,2.550641e+01,2.517367e+01,2.390779e+01,2.348771e+01
49,2000-02-16 23:40:04.792000,7.701000,2.447762e+01,2.573668e+01,2.549285e+01,2.530961e+01,2.407288e+01,2.349972e+01
50,2000-02-16 23:40:04.952000,7.861000,2.451185e+01,2.575697e+01,2.559451e+01,2.520087e+01,2.388025e+01,2.350347e+01
