frame,abstime,reltime,april3_baselineBoardD_4.seq:Rectangle 1 [C]:max,april3_baselineBoardD_4.seq:Polygon 1 [C]:max,april3_baselineBoardD_4.seq:Rectangle 2 [C]:max,april3_baselineBoardD_4.seq:Rectangle 3 [C]:max,april3_baselineBoardD_4.seq:Rectangle 4 [C]:max,april3_baselineBoardD_4.seq:Rectangle 5 [C]:mean
43,2000-02-03 07:02:06.480000,6.721000,2.547929e+01,2.676673e+01,2.624959e+01,2.568254e+01,2.493535e+01,2.437118e+01
44,2000-02-03 07:02:06.640000,6.881000,2.551997e+01,2.673322e+01,2.620918e+01,2.575021e+01,2.487398e+01,2.437958e+01
45,2000-02-03 07:02:06.800000,7.041000,2.549285e+01,2.669971e+01,2.616203e+01,2.567577e+01,2.491490e+01,2.432463e+01
46,2000-02-03 07:02:06.960000,7.201000,2.544537e+01,2.670641e+01,2.615529e+01,2.565546e+01,2.485351e+01,2.432036e+01
47,2000-02-03 07:02:07.120000,7.361000,2.551997e+01,2.668630e+01,2.612833e+01,2.570285e+01,2.479210e+01,2.432334e+01
48,2000-02-03 07:02:07.280000,7.521000,2.553353e+01,2.676003e+01,2.615529e+01,2.576373e+01,2.490808e+01,2.433815e+01
49,2000-02-03 07:02:07.440000,7.681000,2.544537e+01,2.676003e+01,2.622265e+01,2.572315e+01,2.483987e+01,2.434508e+01
50,2000-02-03 07:02:07.600000,7.841000,2.545216e+01,2.686049e+01,2.619571e+01,2.580431e+01,2.488080e+01,2.435479e+01
51,2000-02-03 07:02:07.760000,8.001000,2.548607e+01,2.680692e+01,2.626305e+01,2.576373e+01,2.481257e+01,2.436180e+01
52,2000-02-03 07:02:07.920000,8.161000,2.552675e+01,2.677343e+01,2.622265e+01,2.584487e+01,2.485351e+01,2.437144e+01
53,2000-02-03 07:02:08.080000,8.321000,2.557419e+01,2.676673e+01,2.620918e+01,2.577726e+01,2.486716e+01,2.437824e+01
54,2000-02-03 07:02:08.240000,8.481000,2.552675e+01,2.688056e+01,2.627651e+01,2.587865e+01,2.484669e+01,2.438872e+01
55,2000-02-03 07:02:08.400000,8.641000,2.552675e+01,2.681362e+01,2.624285e+01,2.591918e+01,2.482622e+01,2.438445e+01
56,2000-02-03 07:02:08.560000,8.801000,2.554708e+01,2.688056e+01,2.627651e+01,2.590567e+01,2.496261e+01,2.439504e+01
57,2000-02-03 07:02:08.720000,8.961000,2.554708e+01,2.686049e+01,2.623612e+01,2.582459e+01,2.486716e+01,2.439991e+01
58,2000-02-03 07:02:08.880000,9.121000,2.561483e+01,2.700097e+01,2.629670e+01,2.608788e+01,2.481257e+01,2.440205e+01
59,2000-02-03 07:02:09.040000,9.281000,2.568254e+01,2.687387e+01,2.628997e+01,2.601369e+01,2.486716e+01,2.441756e+01
60,2000-02-03 07:02:09.200000,9.441000,2.559451e+01,2.689395e+01,2.626305e+01,2.597319e+01,2.484669e+01,2.442680e+01
61,2000-02-03 07:02:09.360000,9.601000,2.564869e+01,2.695416e+01,2.631016e+01,2.598669e+01,2.490126e+01,2.444382e+01
62,2000-02-03 07:02:09.520000,9.761000,2.562838e+01,2.690733e+01,2.635052e+01,2.595969e+01,2.489444e+01,2.445038e+01
63,2000-02-03 07:02:09.680000,9.921000,2.568931e+01,2.694747e+01,2.636398e+01,2.596644e+01,2.488080e+01,2.446066e+01
64,2000-02-03 07:02:09.840000,10.081000,2.587865e+01,2.694078e+01,2.640432e+01,2.595969e+01,2.486034e+01,2.446964e+01
65,2000-02-03 07:02:10.000000,10.241000,2.583811e+01,2.692071e+01,2.641776e+01,2.598669e+01,2.489444e+01,2.447992e+01
66,2000-02-03 07:02:10.160000,10.401000,2.568254e+01,2.701433e+01,2.645137e+01,2.600019e+01,2.492853e+01,2.448520e+01
67,2000-02-03 07:02:10.320000,10.561000,2.589892e+01,2.701433e+01,2.645137e+01,2.593944e+01,2.494217e+01,2.448903e+01
68,2000-02-03 07:02:10.480000,10.721000,2.570961e+01,2.697422e+01,2.633707e+01,2.593269e+01,2.481940e+01,2.444848e+01
69,2000-02-03 07:02:10.640000,10.881000,2.569608e+01,2.693409e+01,2.634380e+01,2.591243e+01,2.488080e+01,2.442666e+01
70,2000-02-03 07:02:10.800000,11.041000,2.570961e+01,2.696085e+01,2.637070e+01,2.590567e+01,2.484669e+01,2.442726e+01
71,2000-02-03 07:02:10.960000,11.201000,2.568254e+01,2.696085e+01,2.645809e+01,2.592593e+01,2.494217e+01,2.443669e+01
72,2000-02-03 07:02:11.120000,11.361000,2.571638e+01,2.700097e+01,2.644465e+01,2.595969e+01,2.487398e+01,2.444731e+01
73,2000-02-03 07:02:11.280000,11.521000,2.583811e+01,2.694747e+01,2.644465e+01,2.607440e+01,2.482622e+01,2.445345e+01
74,2000-02-03 07:02:11.440000,11.681000,2.571638e+01,2.697422e+01,2.639087e+01,2.603393e+01,2.488762e+01,2.445611e+01
75,2000-02-03 07:02:11.600000,11.841000,2.572991e+01,2.695416e+01,2.644465e+01,2.602044e+01,2.502393e+01,2.447013e+01
76,2000-02-03 07:02:11.760000,12.001000,2.581107e+01,2.701433e+01,2.644465e+01,2.610811e+01,2.490126e+01,2.447450e+01
77,2000-02-03 07:02:11.920000,12.161000,2.573668e+01,2.701433e+01,2.654540e+01,2.614855e+01,2.492171e+01,2.449023e+01
78,2000-02-03 07:02:12.080000,12.321000,2.577726e+01,2.702770e+01,2.650511e+01,2.614181e+01,2.496943e+01,2.449199e+01
79,2000-02-03 07:02:12.240000,12.481000,2.578402e+01,2.712123e+01,2.649840e+01,2.607440e+01,2.493535e+01,2.449934e+01
80,2000-02-03 07:02:12.400000,12.641000,2.581783e+01,2.705443e+01,2.649840e+01,2.606091e+01,2.496943e+01,2.451123e+01
81,2000-02-03 07:02:12.560000,12.801000,2.589892e+01,2.706111e+01,2.653869e+01,2.606091e+01,2.498987e+01,2.452924e+01
82,2000-02-03 07:02:12.720000,12.961000,2.587865e+01,2.699428e+01,2.653197e+01,2.610811e+01,2.495580e+01,2.453779e+01
83,2000-02-03 07:02:12.880000,13.121000,2.590567e+01,2.708116e+01,2.665277e+01,2.612833e+01,2.494898e+01,2.453922e+01
84,2000-02-03 07:02:13.040000,13.281000,2.585838e+01,2.706111e+01,2.655883e+01,2.607440e+01,2.498306e+01,2.454657e+01
85,2000-02-03 07:02:13.200000,13.441000,2.588541e+01,2.708116e+01,2.662594e+01,2.614181e+01,2.498306e+01,2.455769e+01
86,2000-02-03 07:02:13.360000,13.601000,2.588541e+01,2.722135e+01,2.662594e+01,2.613507e+01,2.492853e+01,2.457578e+01
87,2000-02-03 07:02:13.520000,13.761000,2.606091e+01,2.721468e+01,2.670641e+01,2.624285e+01,2.501031e+01,2.458126e+01
88,2000-02-03 07:02:13.680000,13.921000,2.595969e+01,2.711455e+01,2.666618e+01,2.619571e+01,2.501031e+01,2.459287e+01
89,2000-02-03 07:02:13.841000,14.082000,2.601369e+01,2.719466e+01,2.671312e+01,2.616203e+01,2.498306e+01,2.460566e+01
90,2000-02-03 07:02:14.000000,14.241000,2.617550e+01,2.722135e+01,2.664606e+01,2.622939e+01,2.505117e+01,2.461206e+01
91,2000-02-03 07:02:14.160000,14.401000,2.599344e+01,2.724136e+01,2.668630e+01,2.631016e+01,2.496261e+01,2.462029e+01
92,2000-02-03 07:02:14.320000,14.561000,2.608114e+01,2.730804e+01,2.665948e+01,2.617550e+01,2.500350e+01,2.462460e+01
93,2000-02-03 07:02:14.480000,14.721000,2.612833e+01,2.728804e+01,2.665948e+01,2.620918e+01,2.502393e+01,2.462467e+01
94,2000-02-03 07:02:14.641000,14.882000,2.602044e+01,2.718131e+01,2.676673e+01,2.626305e+01,2.500350e+01,2.463706e+01
95,2000-02-03 07:02:14.800000,15.041000,2.606091e+01,2.722802e+01,2.664606e+01,2.633035e+01,2.510563e+01,2.465751e+01
96,2000-02-03 07:02:14.960000,15.201000,2.616203e+01,2.726804e+01,2.667959e+01,2.638415e+01,2.502393e+01,2.466131e+01
97,2000-02-03 07:02:15.121000,15.362000,2.611485e+01,2.729471e+01,2.673322e+01,2.637070e+01,2.507160e+01,2.466908e+01
98,2000-02-03 07:02:15.281000,15.522000,2.616203e+01,2.728804e+01,2.665948e+01,2.636398e+01,2.502393e+01,2.467648e+01
99,2000-02-03 07:02:15.441000,15.682000,2.618898e+01,2.724136e+01,2.674663e+01,2.626978e+01,2.500350e+01,2.467521e+01
100,2000-02-03 07:02:15.601000,15.842000,2.620918e+01,2.726804e+01,2.676003e+01,2.627651e+01,2.506479e+01,2.468664e+01
101,2000-02-03 07:02:15.761000,16.002000,2.614855e+01,2.725470e+01,2.681362e+01,2.628997e+01,2.507160e+01,2.469680e+01
102,2000-02-03 07:02:15.921000,16.162000,2.608788e+01,2.732804e+01,2.673993e+01,2.635725e+01,2.500350e+01,2.469600e+01
103,2000-02-03 07:02:16.081000,16.322000,2.610811e+01,2.728137e+01,2.677343e+01,2.643793e+01,2.507841e+01,2.470419e+01
104,2000-02-03 07:02:16.241000,16.482000,2.616203e+01,2.736135e+01,2.677343e+01,2.641104e+01,2.511924e+01,2.471837e+01
105,2000-02-03 07:02:16.401000,16.642000,2.612833e+01,2.736135e+01,2.679352e+01,2.647153e+01,2.507841e+01,2.472352e+01
106,2000-02-03 07:02:16.561000,16.802000,2.618224e+01,2.742130e+01,2.680692e+01,2.646481e+01,2.526205e+01,2.473494e+01
107,2000-02-03 07:02:16.721000,16.962000,2.629670e+01,2.740132e+01,2.690064e+01,2.649840e+01,2.507841e+01,2.476956e+01
108,2000-02-03 07:02:16.881000,17.122000,2.618224e+01,2.741464e+01,2.697422e+01,2.640432e+01,2.509883e+01,2.477686e+01
109,2000-02-03 07:02:17.041000,17.282000,2.622939e+01,2.738800e+01,2.696753e+01,2.647824e+01,2.510563e+01,2.478632e+01
110,2000-02-03 07:02:17.201000,17.442000,2.621592e+01,2.738134e+01,2.688726e+01,2.647824e+01,2.507841e+01,2.478906e+01
111,2000-02-03 07:02:17.361000,17.602000,2.616203e+01,2.740798e+01,2.691402e+01,2.647824e+01,2.510563e+01,2.479909e+01
112,2000-02-03 07:02:17.521000,17.762000,2.616877e+01,2.737468e+01,2.694747e+01,2.649168e+01,2.511244e+01,2.480643e+01
113,2000-02-03 07:02:17.681000,17.922000,2.627651e+01,2.737468e+01,2.692071e+01,2.649840e+01,2.516687e+01,2.481085e+01
114,2000-02-03 07:02:17.841000,18.082000,2.627651e+01,2.740132e+01,2.694078e+01,2.649840e+01,2.521447e+01,2.482124e+01
115,2000-02-03 07:02:18.001000,18.242000,2.626978e+01,2.746790e+01,2.700097e+01,2.651183e+01,2.513285e+01,2.482748e+01
116,2000-02-03 07:02:18.161000,18.402000,2.625632e+01,2.747456e+01,2.700097e+01,2.660581e+01,2.513966e+01,2.482510e+01
117,2000-02-03 07:02:18.321000,18.562000,2.629670e+01,2.742130e+01,2.707448e+01,2.655212e+01,2.524166e+01,2.483702e+01
118,2000-02-03 07:02:18.481000,18.722000,2.632362e+01,2.742796e+01,2.702770e+01,2.655212e+01,2.517367e+01,2.483671e+01
119,2000-02-03 07:02:18.641000,18.882000,2.623612e+01,2.742130e+01,2.696085e+01,2.655212e+01,2.515326e+01,2.483789e+01
120,2000-02-03 07:02:18.801000,19.042000,2.623612e+01,2.742130e+01,2.702102e+01,2.652526e+01,2.514646e+01,2.486424e+01
121,2000-02-03 07:02:18.961000,19.202000,2.626978e+01,2.747456e+01,2.698759e+01,2.667289e+01,2.520767e+01,2.487126e+01
122,2000-02-03 07:02:19.121000,19.362000,2.633035e+01,2.742130e+01,2.704775e+01,2.658568e+01,2.522807e+01,2.487404e+01
123,2000-02-03 07:02:19.281000,19.522000,2.633707e+01,2.745459e+01,2.706779e+01,2.660581e+01,2.522807e+01,2.487630e+01
124,2000-02-03 07:02:19.441000,19.682000,2.635725e+01,2.751449e+01,2.701433e+01,2.661923e+01,2.526884e+01,2.488459e+01
125,2000-02-03 07:02:19.601000,19.842000,2.636398e+01,2.754775e+01,2.701433e+01,2.656554e+01,2.525525e+01,2.489152e+01
126,2000-02-03 07:02:19.761000,20.002000,2.660581e+01,2.750118e+01,2.702102e+01,2.663935e+01,2.520767e+01,2.489944e+01
127,2000-02-03 07:02:19.921000,20.162000,2.635052e+01,2.760094e+01,2.711455e+01,2.653869e+01,2.517367e+01,2.489525e+01
128,2000-02-03 07:02:20.081000,20.322000,2.635052e+01,2.752114e+01,2.711455e+01,2.662594e+01,2.519407e+01,2.490652e+01
129,2000-02-03 07:02:20.241000,20.482000,2.640432e+01,2.767404e+01,2.707448e+01,2.655883e+01,2.522127e+01,2.491568e+01
130,2000-02-03 07:02:20.401000,20.642000,2.643793e+01,2.762753e+01,2.712123e+01,2.667959e+01,2.523486e+01,2.492466e+01
131,2000-02-03 07:02:20.561000,20.802000,2.634380e+01,2.756770e+01,2.715461e+01,2.662594e+01,2.523486e+01,2.492634e+01
132,2000-02-03 07:02:20.721000,20.962000,2.637743e+01,2.760094e+01,2.709451e+01,2.672652e+01,2.528243e+01,2.493436e+01
133,2000-02-03 07:02:20.881000,21.122000,2.645809e+01,2.756770e+01,2.708116e+01,2.675333e+01,2.530961e+01,2.493588e+01
134,2000-02-03 07:02:21.041000,21.282000,2.647824e+01,2.760759e+01,2.718798e+01,2.663935e+01,2.520087e+01,2.494315e+01
135,2000-02-03 07:02:21.201000,21.442000,2.647153e+01,2.765411e+01,2.714794e+01,2.673993e+01,2.524846e+01,2.495687e+01
136,2000-02-03 07:02:21.361000,21.602000,2.653197e+01,2.756105e+01,2.721468e+01,2.667959e+01,2.526205e+01,2.495601e+01
137,2000-02-03 07:02:21.521000,21.762000,2.641104e+01,2.763418e+01,2.715461e+01,2.678683e+01,2.524846e+01,2.496340e+01
138,2000-02-03 07:02:21.681000,21.922000,2.645809e+01,2.764747e+01,2.720133e+01,2.685379e+01,2.528243e+01,2.497676e+01
139,2000-02-03 07:02:21.841000,22.082000,2.650511e+01,2.766740e+01,2.718131e+01,2.676003e+01,2.528923e+01,2.500109e+01
140,2000-02-03 07:02:22.001000,22.242000,2.655212e+01,2.770725e+01,2.728137e+01,2.682031e+01,2.536394e+01,2.502427e+01
141,2000-02-03 07:02:22.161000,22.402000,2.661923e+01,2.768069e+01,2.724803e+01,2.688056e+01,2.536394e+01,2.503367e+01
142,2000-02-03 07:02:22.321000,22.562000,2.649168e+01,2.768733e+01,2.717464e+01,2.676003e+01,2.531640e+01,2.503235e+01
143,2000-02-03 07:02:22.481000,22.722000,2.649840e+01,2.765411e+01,2.722802e+01,2.684710e+01,2.538430e+01,2.504328e+01
144,2000-02-03 07:02:22.641000,22.882000,2.649168e+01,2.771390e+01,2.724803e+01,2.683371e+01,2.534357e+01,2.505102e+01
145,2000-02-03 07:02:22.801000,23.042000,2.658568e+01,2.770061e+01,2.728137e+01,2.673322e+01,2.535036e+01,2.505313e+01
146,2000-02-03 07:02:22.961000,23.202000,2.658568e+01,2.784000e+01,2.729471e+01,2.688056e+01,2.545894e+01,2.510666e+01
147,2000-02-03 07:02:23.121000,23.362000,2.670641e+01,2.784000e+01,2.730804e+01,2.688056e+01,2.556064e+01,2.513128e+01
148,2000-02-03 07:02:23.281000,23.522000,2.665277e+01,2.790631e+01,2.732137e+01,2.702102e+01,2.551319e+01,2.513962e+01
