frame,abstime,reltime,april16_microphoneBoardE_3.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_3.seq:Polygon 1 [C]:max,april16_microphoneBoardE_3.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_3.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_3.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_3.seq:Rectangle 5 [C]:mean
1,2000-02-16 06:20:00.655000,0.000000,2.392844e+01,2.409350e+01,2.383892e+01,2.410037e+01,2.399037e+01,2.364298e+01
2,2000-02-16 06:20:00.815000,0.160000,2.393532e+01,2.407975e+01,2.385959e+01,2.403851e+01,2.395597e+01,2.364180e+01
3,2000-02-16 06:20:00.975000,0.320000,2.391467e+01,2.396973e+01,2.379758e+01,2.401788e+01,2.398349e+01,2.360235e+01
4,2000-02-16 06:20:01.135000,0.480000,2.388025e+01,2.394909e+01,2.374244e+01,2.403851e+01,2.401788e+01,2.359480e+01
5,2000-02-16 06:20:01.295000,0.640000,2.388713e+01,2.407288e+01,2.374933e+01,2.398349e+01,2.396285e+01,2.359591e+01
6,2000-02-16 06:20:01.455000,0.800000,2.389402e+01,2.409350e+01,2.377001e+01,2.407288e+01,2.404538e+01,2.360015e+01
7,2000-02-16 06:20:01.615000,0.960000,2.388025e+01,2.399725e+01,2.379069e+01,2.398349e+01,2.387336e+01,2.359179e+01
8,2000-02-16 06:20:01.775000,1.120000,2.385270e+01,2.402476e+01,2.378380e+01,2.405226e+01,2.395597e+01,2.359340e+01
9,2000-02-16 06:20:01.935000,1.280000,2.385270e+01,2.397661e+01,2.388025e+01,2.401788e+01,2.394221e+01,2.359882e+01
10,2000-02-16 06:20:02.095000,1.440000,2.401788e+01,2.405913e+01,2.414846e+01,2.407975e+01,2.396285e+01,2.361635e+01
11,2000-02-16 06:20:02.255000,1.600000,2.415533e+01,2.408663e+01,2.425830e+01,2.407288e+01,2.409350e+01,2.363741e+01
12,2000-02-16 06:20:02.415000,1.760000,2.429945e+01,2.436802e+01,2.447762e+01,2.427202e+01,2.421026e+01,2.366162e+01
13,2000-02-16 06:20:02.575000,1.920000,2.434060e+01,2.436116e+01,2.460763e+01,2.418966e+01,2.430631e+01,2.368588e+01
14,2000-02-16 06:20:02.735000,2.080000,2.432689e+01,2.447762e+01,2.484669e+01,2.437487e+01,2.421712e+01,2.370801e+01
15,2000-02-16 06:20:02.895000,2.240000,2.445708e+01,2.463498e+01,2.498987e+01,2.441598e+01,2.426516e+01,2.373874e+01
16,2000-02-16 06:20:03.055000,2.400000,2.442968e+01,2.483305e+01,2.487398e+01,2.439543e+01,2.425830e+01,2.376195e+01
17,2000-02-16 06:20:03.215000,2.560000,2.462130e+01,2.489444e+01,2.503755e+01,2.441598e+01,2.432003e+01,2.378306e+01
18,2000-02-16 06:20:03.375000,2.720000,2.460079e+01,2.500350e+01,2.505117e+01,2.457343e+01,2.437487e+01,2.381076e+01
19,2000-02-16 06:20:03.535000,2.880000,2.461447e+01,2.511244e+01,2.514646e+01,2.460079e+01,2.442968e+01,2.382653e+01
20,2000-02-16 06:20:03.696000,3.041000,2.469649e+01,2.516687e+01,2.516006e+01,2.472381e+01,2.440913e+01,2.385023e+01
21,2000-02-16 06:20:03.856000,3.201000,2.473747e+01,2.524166e+01,2.520087e+01,2.473064e+01,2.441598e+01,2.385958e+01
22,2000-02-16 06:20:04.014000,3.359000,2.479210e+01,2.539788e+01,2.530961e+01,2.473064e+01,2.440228e+01,2.387695e+01
23,2000-02-16 06:20:04.174000,3.519000,2.481257e+01,2.537072e+01,2.530282e+01,2.483305e+01,2.444338e+01,2.389468e+01
24,2000-02-16 06:20:04.334000,3.679000,2.477162e+01,2.545216e+01,2.530282e+01,2.486034e+01,2.451869e+01,2.391330e+01
25,2000-02-16 06:20:04.494000,3.839000,2.483305e+01,2.551997e+01,2.531640e+01,2.498306e+01,2.452554e+01,2.392711e+01
26,2000-02-16 06:20:04.654000,3.999000,2.481940e+01,2.558774e+01,2.533677e+01,2.501712e+01,2.454607e+01,2.394938e+01
27,2000-02-16 06:20:04.814000,4.159000,2.487398e+01,2.568931e+01,2.545894e+01,2.505117e+01,2.454607e+01,2.397869e+01
28,2000-02-16 06:20:04.974000,4.319000,2.487398e+01,2.568254e+01,2.543180e+01,2.515326e+01,2.449816e+01,2.399069e+01
29,2000-02-16 06:20:05.134000,4.479000,2.492171e+01,2.570285e+01,2.558774e+01,2.516006e+01,2.454607e+01,2.400429e+01
30,2000-02-16 06:20:05.294000,4.639000,2.499668e+01,2.577050e+01,2.550641e+01,2.522807e+01,2.457343e+01,2.401881e+01
31,2000-02-16 06:20:05.454000,4.799000,2.494898e+01,2.583135e+01,2.560129e+01,2.524846e+01,2.453922e+01,2.402992e+01
32,2000-02-16 06:20:05.614000,4.959000,2.509883e+01,2.579755e+01,2.558097e+01,2.526884e+01,2.455291e+01,2.404880e+01
33,2000-02-16 06:20:05.774000,5.119000,2.511244e+01,2.585162e+01,2.564192e+01,2.535036e+01,2.468282e+01,2.405816e+01
34,2000-02-16 06:20:05.934000,5.279000,2.501712e+01,2.591243e+01,2.570961e+01,2.532319e+01,2.462814e+01,2.406723e+01
35,2000-02-16 06:20:06.094000,5.439000,2.505117e+01,2.605416e+01,2.566224e+01,2.535036e+01,2.464865e+01,2.407822e+01
36,2000-02-16 06:20:06.254000,5.599000,2.507160e+01,2.593269e+01,2.569608e+01,2.539109e+01,2.460079e+01,2.409423e+01
37,2000-02-16 06:20:06.414000,5.759000,2.507841e+01,2.592593e+01,2.575697e+01,2.547251e+01,2.462814e+01,2.410124e+01
38,2000-02-16 06:20:06.574000,5.919000,2.511924e+01,2.595969e+01,2.584487e+01,2.543859e+01,2.458027e+01,2.411485e+01
39,2000-02-16 06:20:06.734000,6.079000,2.513285e+01,2.606765e+01,2.581783e+01,2.545894e+01,2.455975e+01,2.412261e+01
40,2000-02-16 06:20:06.894000,6.239000,2.509883e+01,2.609463e+01,2.578402e+01,2.545216e+01,2.455291e+01,2.413372e+01
41,2000-02-16 06:20:07.054000,6.399000,2.512605e+01,2.606091e+01,2.571638e+01,2.550641e+01,2.458027e+01,2.412254e+01
42,2000-02-16 06:20:07.214000,6.559000,2.511244e+01,2.610811e+01,2.581783e+01,2.558774e+01,2.460079e+01,2.413130e+01
43,2000-02-16 06:20:07.374000,6.719000,2.516687e+01,2.605416e+01,2.589216e+01,2.556741e+01,2.463498e+01,2.413480e+01
44,2000-02-16 06:20:07.534000,6.879000,2.518047e+01,2.614855e+01,2.585162e+01,2.558774e+01,2.455291e+01,2.415196e+01
45,2000-02-16 06:20:07.694000,7.039000,2.525525e+01,2.614181e+01,2.599344e+01,2.565546e+01,2.459395e+01,2.415981e+01
46,2000-02-16 06:20:07.854000,7.199000,2.526884e+01,2.621592e+01,2.603393e+01,2.571638e+01,2.467599e+01,2.417938e+01
47,2000-02-16 06:20:08.014000,7.359000,2.526205e+01,2.622265e+01,2.605416e+01,2.570961e+01,2.460079e+01,2.418641e+01
48,2000-02-16 06:20:08.174000,7.519000,2.522127e+01,2.621592e+01,2.596644e+01,2.567577e+01,2.468282e+01,2.419366e+01
49,2000-02-16 06:20:08.334000,7.679000,2.530961e+01,2.620918e+01,2.605416e+01,2.567577e+01,2.462130e+01,2.419971e+01
50,2000-02-16 06:20:08.494000,7.839000,2.530961e+01,2.630343e+01,2.607440e+01,2.575697e+01,2.475113e+01,2.422075e+01
51,2000-02-16 06:20:08.654000,7.999000,2.534357e+01,2.626978e+01,2.605416e+01,2.574344e+01,2.462814e+01,2.423116e+01
52,2000-02-16 06:20:08.814000,8.159000,2.543180e+01,2.628997e+01,2.610811e+01,2.574344e+01,2.465549e+01,2.424340e+01
53,2000-02-16 06:20:08.974000,8.319000,2.539109e+01,2.646481e+01,2.606091e+01,2.579755e+01,2.478527e+01,2.424453e+01
54,2000-02-16 06:20:09.136000,8.481000,2.547929e+01,2.628997e+01,2.611485e+01,2.575021e+01,2.468965e+01,2.426317e+01
55,2000-02-16 06:20:09.296000,8.641000,2.544537e+01,2.629670e+01,2.610137e+01,2.579755e+01,2.468282e+01,2.424987e+01
56,2000-02-16 06:20:09.456000,8.801000,2.543859e+01,2.633707e+01,2.615529e+01,2.579755e+01,2.470332e+01,2.425781e+01
57,2000-02-16 06:20:09.616000,8.961000,2.542502e+01,2.634380e+01,2.612159e+01,2.579755e+01,2.468282e+01,2.426313e+01
58,2000-02-16 06:20:09.776000,9.121000,2.544537e+01,2.637070e+01,2.619571e+01,2.584487e+01,2.466232e+01,2.426927e+01
59,2000-02-16 06:20:09.936000,9.281000,2.553353e+01,2.635052e+01,2.620918e+01,2.596644e+01,2.465549e+01,2.427673e+01
60,2000-02-16 06:20:10.095000,9.440000,2.547251e+01,2.640432e+01,2.622265e+01,2.583135e+01,2.466232e+01,2.428853e+01
61,2000-02-16 06:20:10.255000,9.600000,2.556741e+01,2.640432e+01,2.622265e+01,2.593269e+01,2.471698e+01,2.432322e+01
62,2000-02-16 06:20:10.415000,9.760000,2.560129e+01,2.642449e+01,2.633707e+01,2.593269e+01,2.473747e+01,2.434222e+01
63,2000-02-16 06:20:10.575000,9.920000,2.564869e+01,2.642449e+01,2.634380e+01,2.599344e+01,2.468282e+01,2.435330e+01
64,2000-02-16 06:20:10.735000,10.080000,2.557419e+01,2.645809e+01,2.631689e+01,2.599344e+01,2.481940e+01,2.436841e+01
65,2000-02-16 06:20:10.895000,10.240000,2.559451e+01,2.645137e+01,2.632362e+01,2.599344e+01,2.479892e+01,2.438029e+01
66,2000-02-16 06:20:11.055000,10.400000,2.568931e+01,2.647824e+01,2.637743e+01,2.604742e+01,2.475796e+01,2.438647e+01
67,2000-02-16 06:20:11.215000,10.560000,2.566900e+01,2.661252e+01,2.631016e+01,2.604742e+01,2.481257e+01,2.439321e+01
68,2000-02-16 06:20:11.375000,10.720000,2.565546e+01,2.647824e+01,2.640432e+01,2.616877e+01,2.478527e+01,2.439846e+01
69,2000-02-16 06:20:11.535000,10.880000,2.577726e+01,2.650511e+01,2.637070e+01,2.606765e+01,2.481940e+01,2.441302e+01
70,2000-02-16 06:20:11.695000,11.040000,2.570961e+01,2.655883e+01,2.643793e+01,2.604742e+01,2.477844e+01,2.442210e+01
71,2000-02-16 06:20:11.855000,11.200000,2.563515e+01,2.650511e+01,2.645809e+01,2.606091e+01,2.479892e+01,2.443553e+01
72,2000-02-16 06:20:12.015000,11.360000,2.570961e+01,2.656554e+01,2.649840e+01,2.616203e+01,2.486034e+01,2.443916e+01
73,2000-02-16 06:20:12.175000,11.520000,2.570961e+01,2.652526e+01,2.651183e+01,2.614181e+01,2.477162e+01,2.445312e+01
74,2000-02-16 06:20:12.335000,11.680000,2.577726e+01,2.655883e+01,2.650511e+01,2.614181e+01,2.478527e+01,2.445391e+01
75,2000-02-16 06:20:12.496000,11.841000,2.574344e+01,2.657226e+01,2.651183e+01,2.617550e+01,2.486034e+01,2.446854e+01
76,2000-02-16 06:20:12.655000,12.000000,2.577050e+01,2.666618e+01,2.650511e+01,2.622265e+01,2.482622e+01,2.448058e+01
77,2000-02-16 06:20:12.815000,12.160000,2.575021e+01,2.655212e+01,2.645137e+01,2.612159e+01,2.477162e+01,2.440767e+01
78,2000-02-16 06:20:12.976000,12.321000,2.563515e+01,2.651855e+01,2.645809e+01,2.609463e+01,2.483305e+01,2.438964e+01
79,2000-02-16 06:20:13.135000,12.480000,2.566224e+01,2.648496e+01,2.646481e+01,2.608114e+01,2.476479e+01,2.439433e+01
80,2000-02-16 06:20:13.296000,12.641000,2.570961e+01,2.653197e+01,2.644465e+01,2.613507e+01,2.471698e+01,2.439866e+01
81,2000-02-16 06:20:13.456000,12.801000,2.566900e+01,2.651855e+01,2.642449e+01,2.615529e+01,2.478527e+01,2.441195e+01
82,2000-02-16 06:20:13.616000,12.961000,2.568931e+01,2.652526e+01,2.660581e+01,2.616203e+01,2.473064e+01,2.441663e+01
