frame,abstime,reltime,april10_baselineBoardE_0.seq:Rectangle 1 [C]:max,april10_baselineBoardE_0.seq:Polygon 1 [C]:max,april10_baselineBoardE_0.seq:Rectangle 2 [C]:max,april10_baselineBoardE_0.seq:Rectangle 3 [C]:max,april10_baselineBoardE_0.seq:Rectangle 4 [C]:max,april10_baselineBoardE_0.seq:Rectangle 5 [C]:mean
1,2000-02-10 07:58:48.700000,0.000000,2.451185e+01,2.401100e+01,2.391467e+01,2.401100e+01,2.424457e+01,2.380172e+01
2,2000-02-10 07:58:48.860000,0.160000,2.449131e+01,2.396973e+01,2.398349e+01,2.400413e+01,2.436802e+01,2.379935e+01
3,2000-02-10 07:58:49.018000,0.318000,2.446393e+01,2.401100e+01,2.396285e+01,2.407288e+01,2.433374e+01,2.380850e+01
4,2000-02-10 07:58:49.178000,0.478000,2.441598e+01,2.394221e+01,2.394909e+01,2.398349e+01,2.438172e+01,2.381222e+01
5,2000-02-10 07:58:49.338000,0.638000,2.445708e+01,2.403163e+01,2.399725e+01,2.398349e+01,2.434745e+01,2.381415e+01
6,2000-02-10 07:58:49.498000,0.798000,2.455975e+01,2.401100e+01,2.396285e+01,2.397661e+01,2.440913e+01,2.380995e+01
7,2000-02-10 07:58:49.658000,0.958000,2.451869e+01,2.399725e+01,2.392156e+01,2.396973e+01,2.434060e+01,2.380309e+01
8,2000-02-10 07:58:49.818000,1.118000,2.458711e+01,2.395597e+01,2.398349e+01,2.407288e+01,2.434060e+01,2.379635e+01
9,2000-02-10 07:58:49.979000,1.279000,2.468965e+01,2.399037e+01,2.405226e+01,2.399725e+01,2.445708e+01,2.379789e+01
10,2000-02-10 07:58:50.138000,1.438000,2.462814e+01,2.430631e+01,2.455975e+01,2.410724e+01,2.446393e+01,2.382015e+01
11,2000-02-10 07:58:50.299000,1.599000,2.469649e+01,2.451869e+01,2.462814e+01,2.415533e+01,2.455291e+01,2.384984e+01
12,2000-02-10 07:58:50.458000,1.758000,2.470332e+01,2.458027e+01,2.485351e+01,2.417593e+01,2.455975e+01,2.387336e+01
13,2000-02-10 07:58:50.619000,1.919000,2.475113e+01,2.488080e+01,2.492853e+01,2.429259e+01,2.458027e+01,2.389392e+01
14,2000-02-10 07:58:50.779000,2.079000,2.475796e+01,2.496943e+01,2.502393e+01,2.451869e+01,2.464865e+01,2.391017e+01
15,2000-02-10 07:58:50.939000,2.239000,2.484669e+01,2.503755e+01,2.515326e+01,2.447762e+01,2.461447e+01,2.393560e+01
16,2000-02-10 07:58:51.099000,2.399000,2.490126e+01,2.513285e+01,2.528243e+01,2.458711e+01,2.471698e+01,2.396701e+01
17,2000-02-10 07:58:51.259000,2.559000,2.492853e+01,2.527564e+01,2.534357e+01,2.471698e+01,2.475796e+01,2.398612e+01
18,2000-02-10 07:58:51.419000,2.719000,2.500350e+01,2.539788e+01,2.538430e+01,2.481940e+01,2.466232e+01,2.400864e+01
19,2000-02-10 07:58:51.579000,2.879000,2.490808e+01,2.549285e+01,2.554708e+01,2.486034e+01,2.469649e+01,2.402910e+01
