frame,abstime,reltime,april171_baselineBoardC_6.seq:Rectangle 1 [C]:max,april171_baselineBoardC_6.seq:Polygon 1 [C]:max,april171_baselineBoardC_6.seq:Rectangle 2 [C]:max,april171_baselineBoardC_6.seq:Rectangle 3 [C]:max,april171_baselineBoardC_6.seq:Rectangle 4 [C]:max,april171_baselineBoardC_6.seq:Rectangle 5 [C]:mean
1,2000-02-17 00:17:55.777000,0.000000,2.345935e+01,2.332097e+01,2.317548e+01,2.335559e+01,2.336943e+01,2.304819e+01
2,2000-02-17 00:17:55.937000,0.160000,2.336943e+01,2.334174e+01,2.316162e+01,2.323093e+01,2.325865e+01,2.304765e+01
3,2000-02-17 00:17:56.097000,0.320000,2.341786e+01,2.330020e+01,2.327250e+01,2.339710e+01,2.338326e+01,2.310060e+01
4,2000-02-17 00:17:56.257000,0.480000,2.338326e+01,2.333482e+01,2.329328e+01,2.333482e+01,2.331405e+01,2.310681e+01
5,2000-02-17 00:17:56.417000,0.640000,2.338326e+01,2.330713e+01,2.326557e+01,2.336251e+01,2.332790e+01,2.310468e+01
6,2000-02-17 00:17:56.577000,0.800000,2.337635e+01,2.332790e+01,2.330713e+01,2.338326e+01,2.332097e+01,2.310903e+01
7,2000-02-17 00:17:56.737000,0.960000,2.333482e+01,2.328635e+01,2.332097e+01,2.340402e+01,2.337635e+01,2.311526e+01
8,2000-02-17 00:17:56.897000,1.120000,2.334866e+01,2.330713e+01,2.330713e+01,2.337635e+01,2.334866e+01,2.311141e+01
9,2000-02-17 00:17:57.057000,1.280000,2.340402e+01,2.362515e+01,2.358373e+01,2.345243e+01,2.345243e+01,2.313204e+01
10,2000-02-17 00:17:57.217000,1.440000,2.354919e+01,2.372865e+01,2.390091e+01,2.343860e+01,2.347318e+01,2.315043e+01
11,2000-02-17 00:17:57.377000,1.600000,2.364586e+01,2.401788e+01,2.407975e+01,2.354228e+01,2.365276e+01,2.317777e+01
12,2000-02-17 00:17:57.537000,1.760000,2.373554e+01,2.415533e+01,2.421026e+01,2.358373e+01,2.366656e+01,2.320081e+01
13,2000-02-17 00:17:57.697000,1.920000,2.383204e+01,2.421026e+01,2.440228e+01,2.370795e+01,2.367346e+01,2.322717e+01
14,2000-02-17 00:17:57.857000,2.080000,2.394909e+01,2.442283e+01,2.444338e+01,2.378380e+01,2.370795e+01,2.324836e+01
15,2000-02-17 00:17:58.017000,2.240000,2.389402e+01,2.466232e+01,2.460763e+01,2.383892e+01,2.375623e+01,2.327022e+01
16,2000-02-17 00:17:58.177000,2.400000,2.388713e+01,2.451185e+01,2.465549e+01,2.388713e+01,2.381137e+01,2.322801e+01
17,2000-02-17 00:17:58.337000,2.560000,2.396973e+01,2.464181e+01,2.467599e+01,2.394221e+01,2.386648e+01,2.324208e+01
18,2000-02-17 00:17:58.497000,2.720000,2.399037e+01,2.471015e+01,2.473064e+01,2.407288e+01,2.379069e+01,2.325869e+01
19,2000-02-17 00:17:58.657000,2.880000,2.412785e+01,2.478527e+01,2.482622e+01,2.424457e+01,2.384581e+01,2.327263e+01
20,2000-02-17 00:17:58.817000,3.040000,2.409350e+01,2.495580e+01,2.487398e+01,2.434745e+01,2.385959e+01,2.329514e+01
21,2000-02-17 00:17:58.977000,3.200000,2.414846e+01,2.494217e+01,2.496261e+01,2.425143e+01,2.391467e+01,2.330634e+01
22,2000-02-17 00:17:59.137000,3.360000,2.419653e+01,2.498987e+01,2.498306e+01,2.439543e+01,2.391467e+01,2.332776e+01
23,2000-02-17 00:17:59.297000,3.520000,2.420339e+01,2.510563e+01,2.501031e+01,2.443653e+01,2.386648e+01,2.334445e+01
24,2000-02-17 00:17:59.457000,3.680000,2.412785e+01,2.523486e+01,2.505798e+01,2.442283e+01,2.403851e+01,2.334329e+01
25,2000-02-17 00:17:59.617000,3.840000,2.421026e+01,2.516006e+01,2.505798e+01,2.447762e+01,2.403163e+01,2.334691e+01
26,2000-02-17 00:17:59.777000,4.000000,2.424457e+01,2.522807e+01,2.511924e+01,2.458711e+01,2.388713e+01,2.335734e+01
27,2000-02-17 00:17:59.937000,4.160000,2.425143e+01,2.524166e+01,2.516006e+01,2.451869e+01,2.402476e+01,2.337251e+01
28,2000-02-17 00:18:00.097000,4.320000,2.434060e+01,2.535715e+01,2.513285e+01,2.459395e+01,2.392844e+01,2.339094e+01
29,2000-02-17 00:18:00.257000,4.480000,2.439543e+01,2.538430e+01,2.522807e+01,2.471698e+01,2.398349e+01,2.339913e+01
30,2000-02-17 00:18:00.417000,4.640000,2.432689e+01,2.543180e+01,2.520087e+01,2.474430e+01,2.405913e+01,2.341190e+01
31,2000-02-17 00:18:00.577000,4.800000,2.434745e+01,2.547929e+01,2.526884e+01,2.472381e+01,2.392156e+01,2.342894e+01
32,2000-02-17 00:18:00.737000,4.960000,2.443653e+01,2.551997e+01,2.526884e+01,2.473747e+01,2.392844e+01,2.344921e+01
33,2000-02-17 00:18:00.897000,5.120000,2.445708e+01,2.556741e+01,2.535715e+01,2.489444e+01,2.399037e+01,2.345964e+01
34,2000-02-17 00:18:01.057000,5.280000,2.444338e+01,2.558774e+01,2.532998e+01,2.484669e+01,2.398349e+01,2.347074e+01
35,2000-02-17 00:18:01.217000,5.440000,2.456659e+01,2.559451e+01,2.532319e+01,2.483987e+01,2.398349e+01,2.348208e+01
36,2000-02-17 00:18:01.377000,5.600000,2.445023e+01,2.570285e+01,2.539109e+01,2.494898e+01,2.403163e+01,2.348802e+01
37,2000-02-17 00:18:01.537000,5.760000,2.452554e+01,2.566224e+01,2.541823e+01,2.491490e+01,2.403163e+01,2.347691e+01
38,2000-02-17 00:18:01.698000,5.921000,2.451869e+01,2.564869e+01,2.541823e+01,2.501712e+01,2.398349e+01,2.348158e+01
39,2000-02-17 00:18:01.858000,6.081000,2.456659e+01,2.567577e+01,2.547251e+01,2.501712e+01,2.403851e+01,2.349097e+01
40,2000-02-17 00:18:02.018000,6.241000,2.449131e+01,2.570961e+01,2.546572e+01,2.505798e+01,2.399725e+01,2.349888e+01
41,2000-02-17 00:18:02.178000,6.401000,2.452554e+01,2.575021e+01,2.552675e+01,2.497624e+01,2.397661e+01,2.350850e+01
42,2000-02-17 00:18:02.338000,6.561000,2.461447e+01,2.579078e+01,2.553353e+01,2.505117e+01,2.401100e+01,2.352285e+01
43,2000-02-17 00:18:02.498000,6.721000,2.454607e+01,2.582459e+01,2.550641e+01,2.513285e+01,2.396973e+01,2.352981e+01
44,2000-02-17 00:18:02.658000,6.881000,2.464865e+01,2.585838e+01,2.551319e+01,2.509202e+01,2.401100e+01,2.354430e+01
45,2000-02-17 00:18:02.818000,7.041000,2.462814e+01,2.590567e+01,2.553353e+01,2.513285e+01,2.407288e+01,2.356407e+01
46,2000-02-17 00:18:02.978000,7.201000,2.462814e+01,2.588541e+01,2.556064e+01,2.509883e+01,2.415533e+01,2.357147e+01
47,2000-02-17 00:18:03.138000,7.361000,2.464865e+01,2.589892e+01,2.556064e+01,2.515326e+01,2.407288e+01,2.357747e+01
48,2000-02-17 00:18:03.298000,7.521000,2.468965e+01,2.600019e+01,2.564869e+01,2.512605e+01,2.404538e+01,2.358394e+01
49,2000-02-17 00:18:03.458000,7.681000,2.469649e+01,2.596644e+01,2.560806e+01,2.520087e+01,2.412098e+01,2.359532e+01
50,2000-02-17 00:18:03.618000,7.841000,2.473064e+01,2.612833e+01,2.564869e+01,2.518727e+01,2.412785e+01,2.360510e+01
