frame,abstime,reltime,april10_baselineBoardA_2.seq:Rectangle 1 [C]:max,april10_baselineBoardA_2.seq:Polygon 1 [C]:max,april10_baselineBoardA_2.seq:Rectangle 2 [C]:max,april10_baselineBoardA_2.seq:Rectangle 3 [C]:max,april10_baselineBoardA_2.seq:Rectangle 4 [C]:max,april10_baselineBoardA_2.seq:Rectangle 5 [C]:mean
1,2000-02-10 05:05:50.837000,0.000000,2.357682e+01,2.343169e+01,2.351464e+01,2.355610e+01,2.350082e+01,2.324380e+01
2,2000-02-10 05:05:50.997000,0.160000,2.357682e+01,2.346626e+01,2.351464e+01,2.352155e+01,2.355610e+01,2.324668e+01
3,2000-02-10 05:05:51.157000,0.320000,2.352155e+01,2.344552e+01,2.353537e+01,2.345935e+01,2.348700e+01,2.324379e+01
4,2000-02-10 05:05:51.317000,0.480000,2.355610e+01,2.341786e+01,2.345935e+01,2.347318e+01,2.348700e+01,2.324356e+01
5,2000-02-10 05:05:51.477000,0.640000,2.363206e+01,2.341786e+01,2.344552e+01,2.348009e+01,2.356301e+01,2.324102e+01
6,2000-02-10 05:05:51.637000,0.800000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
7,2000-02-10 05:05:51.798000,0.961000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
8,2000-02-10 05:05:51.958000,1.121000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
9,2000-02-10 05:05:52.118000,1.281000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
10,2000-02-10 05:05:52.278000,1.441000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
11,2000-02-10 05:05:52.438000,1.601000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
12,2000-02-10 05:05:52.598000,1.761000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
13,2000-02-10 05:05:52.758000,1.921000,2.356991e+01,2.349391e+01,2.345243e+01,2.345935e+01,2.358373e+01,2.323685e+01
14,2000-02-10 05:05:52.918000,2.081000,2.371485e+01,2.412785e+01,2.428574e+01,2.363896e+01,2.359063e+01,2.315464e+01
15,2000-02-10 05:05:53.078000,2.241000,2.379758e+01,2.429259e+01,2.438172e+01,2.373554e+01,2.370106e+01,2.318284e+01
16,2000-02-10 05:05:53.238000,2.401000,2.388713e+01,2.440228e+01,2.454607e+01,2.379758e+01,2.371485e+01,2.321023e+01
17,2000-02-10 05:05:53.398000,2.561000,2.392844e+01,2.460079e+01,2.456659e+01,2.387336e+01,2.388713e+01,2.323006e+01
18,2000-02-10 05:05:53.558000,2.721000,2.397661e+01,2.474430e+01,2.463498e+01,2.405226e+01,2.381137e+01,2.324734e+01
19,2000-02-10 05:05:53.718000,2.881000,2.394221e+01,2.488762e+01,2.468282e+01,2.412098e+01,2.380448e+01,2.326751e+01
20,2000-02-10 05:05:53.878000,3.041000,2.401788e+01,2.486034e+01,2.476479e+01,2.409350e+01,2.377691e+01,2.328262e+01
21,2000-02-10 05:05:54.038000,3.201000,2.401100e+01,2.496943e+01,2.483987e+01,2.412785e+01,2.383204e+01,2.329477e+01
22,2000-02-10 05:05:54.198000,3.361000,2.407288e+01,2.500350e+01,2.488762e+01,2.427202e+01,2.382515e+01,2.331037e+01
23,2000-02-10 05:05:54.358000,3.521000,2.410037e+01,2.507841e+01,2.486716e+01,2.429945e+01,2.384581e+01,2.334722e+01
24,2000-02-10 05:05:54.518000,3.681000,2.417593e+01,2.514646e+01,2.496261e+01,2.438172e+01,2.383204e+01,2.336581e+01
25,2000-02-10 05:05:54.678000,3.841000,2.417593e+01,2.524166e+01,2.494898e+01,2.446393e+01,2.389402e+01,2.338512e+01
26,2000-02-10 05:05:54.838000,4.001000,2.423771e+01,2.533677e+01,2.508521e+01,2.443653e+01,2.391467e+01,2.339603e+01
27,2000-02-10 05:05:54.998000,4.161000,2.418280e+01,2.541145e+01,2.505798e+01,2.453922e+01,2.394221e+01,2.341148e+01
28,2000-02-10 05:05:55.158000,4.321000,2.428574e+01,2.542502e+01,2.509883e+01,2.454607e+01,2.389402e+01,2.342353e+01
29,2000-02-10 05:05:55.318000,4.481000,2.427888e+01,2.545894e+01,2.517367e+01,2.459395e+01,2.393532e+01,2.343370e+01
30,2000-02-10 05:05:55.478000,4.641000,2.438172e+01,2.558097e+01,2.523486e+01,2.480575e+01,2.401788e+01,2.348590e+01
31,2000-02-10 05:05:55.638000,4.801000,2.438858e+01,2.556741e+01,2.521447e+01,2.483987e+01,2.402476e+01,2.350447e+01
32,2000-02-10 05:05:55.798000,4.961000,2.436116e+01,2.568931e+01,2.521447e+01,2.471698e+01,2.403851e+01,2.351869e+01
33,2000-02-10 05:05:55.958000,5.121000,2.438858e+01,2.566900e+01,2.533677e+01,2.478527e+01,2.405226e+01,2.353302e+01
34,2000-02-10 05:05:56.118000,5.281000,2.447077e+01,2.579078e+01,2.542502e+01,2.481940e+01,2.411411e+01,2.354565e+01
35,2000-02-10 05:05:56.278000,5.441000,2.445023e+01,2.588541e+01,2.535036e+01,2.490126e+01,2.410037e+01,2.356093e+01
36,2000-02-10 05:05:56.438000,5.601000,2.451869e+01,2.579078e+01,2.536394e+01,2.491490e+01,2.405226e+01,2.357230e+01
37,2000-02-10 05:05:56.598000,5.761000,2.449131e+01,2.587189e+01,2.548607e+01,2.490126e+01,2.404538e+01,2.358223e+01
38,2000-02-10 05:05:56.758000,5.921000,2.451185e+01,2.583811e+01,2.539109e+01,2.493535e+01,2.416220e+01,2.359015e+01
39,2000-02-10 05:05:56.918000,6.081000,2.451185e+01,2.590567e+01,2.545894e+01,2.494898e+01,2.405226e+01,2.360274e+01
40,2000-02-10 05:05:57.078000,6.241000,2.453922e+01,2.598669e+01,2.545894e+01,2.494898e+01,2.403851e+01,2.361728e+01
41,2000-02-10 05:05:57.238000,6.401000,2.457343e+01,2.592593e+01,2.542502e+01,2.502393e+01,2.403851e+01,2.361801e+01
42,2000-02-10 05:05:57.398000,6.561000,2.455975e+01,2.602044e+01,2.548607e+01,2.498306e+01,2.408663e+01,2.361443e+01
43,2000-02-10 05:05:57.558000,6.721000,2.459395e+01,2.597994e+01,2.547251e+01,2.502393e+01,2.409350e+01,2.360698e+01
44,2000-02-10 05:05:57.718000,6.881000,2.454607e+01,2.601369e+01,2.554708e+01,2.503074e+01,2.402476e+01,2.362138e+01
45,2000-02-10 05:05:57.878000,7.041000,2.460079e+01,2.608788e+01,2.554031e+01,2.505798e+01,2.403851e+01,2.363701e+01
46,2000-02-10 05:05:58.038000,7.201000,2.463498e+01,2.613507e+01,2.557419e+01,2.507160e+01,2.413472e+01,2.364288e+01
47,2000-02-10 05:05:58.198000,7.361000,2.462814e+01,2.607440e+01,2.551997e+01,2.519407e+01,2.410724e+01,2.364825e+01
48,2000-02-10 05:05:58.358000,7.521000,2.468282e+01,2.606091e+01,2.555386e+01,2.510563e+01,2.405226e+01,2.365604e+01
49,2000-02-10 05:05:58.518000,7.681000,2.466915e+01,2.609463e+01,2.561483e+01,2.517367e+01,2.411411e+01,2.367507e+01
50,2000-02-10 05:05:58.678000,7.841000,2.471698e+01,2.620245e+01,2.569608e+01,2.521447e+01,2.410037e+01,2.369259e+01
51,2000-02-10 05:05:58.838000,8.001000,2.472381e+01,2.622939e+01,2.569608e+01,2.522807e+01,2.407975e+01,2.370567e+01
52,2000-02-10 05:05:58.998000,8.161000,2.471015e+01,2.624285e+01,2.570961e+01,2.517367e+01,2.414846e+01,2.370474e+01
53,2000-02-10 05:05:59.158000,8.321000,2.491490e+01,2.626978e+01,2.567577e+01,2.522127e+01,2.410037e+01,2.371890e+01
54,2000-02-10 05:05:59.318000,8.481000,2.475113e+01,2.628324e+01,2.570961e+01,2.531640e+01,2.419653e+01,2.373214e+01
55,2000-02-10 05:05:59.478000,8.641000,2.473747e+01,2.630343e+01,2.572991e+01,2.525525e+01,2.412785e+01,2.373173e+01
56,2000-02-10 05:05:59.638000,8.801000,2.486716e+01,2.624285e+01,2.569608e+01,2.526884e+01,2.406601e+01,2.372562e+01
57,2000-02-10 05:05:59.798000,8.961000,2.478527e+01,2.628324e+01,2.585162e+01,2.532319e+01,2.412098e+01,2.372666e+01
58,2000-02-10 05:05:59.958000,9.121000,2.483305e+01,2.630343e+01,2.578402e+01,2.526884e+01,2.411411e+01,2.372997e+01
59,2000-02-10 05:06:00.118000,9.281000,2.478527e+01,2.632362e+01,2.583135e+01,2.526884e+01,2.409350e+01,2.373944e+01
60,2000-02-10 05:06:00.278000,9.441000,2.476479e+01,2.628324e+01,2.579078e+01,2.530961e+01,2.412098e+01,2.373991e+01
61,2000-02-10 05:06:00.438000,9.601000,2.477162e+01,2.631689e+01,2.579078e+01,2.528923e+01,2.418280e+01,2.374838e+01
62,2000-02-10 05:06:00.599000,9.762000,2.492171e+01,2.633035e+01,2.586514e+01,2.535715e+01,2.418966e+01,2.375967e+01
63,2000-02-10 05:06:00.758000,9.921000,2.492853e+01,2.637070e+01,2.591243e+01,2.539788e+01,2.410037e+01,2.376885e+01
64,2000-02-10 05:06:00.919000,10.082000,2.484669e+01,2.637743e+01,2.581107e+01,2.534357e+01,2.413472e+01,2.378089e+01
65,2000-02-10 05:06:01.078000,10.241000,2.488080e+01,2.639760e+01,2.585838e+01,2.536394e+01,2.413472e+01,2.378467e+01
66,2000-02-10 05:06:01.239000,10.402000,2.490808e+01,2.641776e+01,2.597994e+01,2.539109e+01,2.414159e+01,2.379447e+01
67,2000-02-10 05:06:01.399000,10.562000,2.487398e+01,2.649168e+01,2.590567e+01,2.537072e+01,2.421026e+01,2.380295e+01
68,2000-02-10 05:06:01.559000,10.722000,2.498987e+01,2.652526e+01,2.587865e+01,2.545894e+01,2.414846e+01,2.381601e+01
69,2000-02-10 05:06:01.719000,10.882000,2.501031e+01,2.647153e+01,2.589216e+01,2.547251e+01,2.416906e+01,2.382270e+01
70,2000-02-10 05:06:01.879000,11.042000,2.492171e+01,2.642449e+01,2.598669e+01,2.543859e+01,2.423085e+01,2.383456e+01
71,2000-02-10 05:06:02.039000,11.202000,2.502393e+01,2.643793e+01,2.595969e+01,2.544537e+01,2.426516e+01,2.383935e+01
72,2000-02-10 05:06:02.199000,11.362000,2.515326e+01,2.659239e+01,2.598669e+01,2.553353e+01,2.430631e+01,2.389698e+01
73,2000-02-10 05:06:02.359000,11.522000,2.503074e+01,2.652526e+01,2.595294e+01,2.554708e+01,2.426516e+01,2.391342e+01
74,2000-02-10 05:06:02.519000,11.682000,2.505117e+01,2.661252e+01,2.594619e+01,2.560806e+01,2.423085e+01,2.391549e+01
75,2000-02-10 05:06:02.679000,11.842000,2.509883e+01,2.657897e+01,2.605416e+01,2.560129e+01,2.432689e+01,2.392280e+01
76,2000-02-10 05:06:02.839000,12.002000,2.509202e+01,2.661252e+01,2.606765e+01,2.554708e+01,2.428574e+01,2.393522e+01
77,2000-02-10 05:06:02.999000,12.162000,2.516687e+01,2.657897e+01,2.614855e+01,2.556064e+01,2.429945e+01,2.394339e+01
78,2000-02-10 05:06:03.159000,12.322000,2.509883e+01,2.659239e+01,2.610811e+01,2.556741e+01,2.429945e+01,2.394878e+01
79,2000-02-10 05:06:03.319000,12.482000,2.516006e+01,2.671312e+01,2.606765e+01,2.558097e+01,2.432003e+01,2.395300e+01
80,2000-02-10 05:06:03.479000,12.642000,2.512605e+01,2.669300e+01,2.608788e+01,2.560806e+01,2.446393e+01,2.396017e+01
81,2000-02-10 05:06:03.639000,12.802000,2.521447e+01,2.662594e+01,2.612159e+01,2.562838e+01,2.438172e+01,2.396831e+01
82,2000-02-10 05:06:03.799000,12.962000,2.509883e+01,2.664606e+01,2.610137e+01,2.567577e+01,2.438858e+01,2.397116e+01
83,2000-02-10 05:06:03.959000,13.122000,2.513966e+01,2.668630e+01,2.616203e+01,2.570285e+01,2.430631e+01,2.398282e+01
84,2000-02-10 05:06:04.119000,13.282000,2.514646e+01,2.667959e+01,2.622265e+01,2.569608e+01,2.437487e+01,2.398937e+01
85,2000-02-10 05:06:04.279000,13.442000,2.523486e+01,2.669300e+01,2.620245e+01,2.570285e+01,2.433374e+01,2.400610e+01
86,2000-02-10 05:06:04.439000,13.602000,2.523486e+01,2.673322e+01,2.624959e+01,2.570285e+01,2.437487e+01,2.403704e+01
87,2000-02-10 05:06:04.599000,13.762000,2.522127e+01,2.673993e+01,2.624285e+01,2.576373e+01,2.448447e+01,2.404992e+01
88,2000-02-10 05:06:04.759000,13.922000,2.528923e+01,2.680022e+01,2.626305e+01,2.577726e+01,2.449816e+01,2.406318e+01
89,2000-02-10 05:06:04.919000,14.082000,2.525525e+01,2.671982e+01,2.628997e+01,2.575021e+01,2.436802e+01,2.407298e+01
90,2000-02-10 05:06:05.079000,14.242000,2.528923e+01,2.671982e+01,2.627651e+01,2.575021e+01,2.439543e+01,2.408207e+01
91,2000-02-10 05:06:05.239000,14.402000,2.526884e+01,2.678013e+01,2.625632e+01,2.574344e+01,2.449816e+01,2.408298e+01
92,2000-02-10 05:06:05.400000,14.563000,2.528923e+01,2.680022e+01,2.621592e+01,2.578402e+01,2.439543e+01,2.410357e+01
93,2000-02-10 05:06:05.559000,14.722000,2.533677e+01,2.676673e+01,2.631689e+01,2.579755e+01,2.451869e+01,2.411645e+01
94,2000-02-10 05:06:05.719000,14.882000,2.537751e+01,2.684710e+01,2.629670e+01,2.584487e+01,2.442283e+01,2.413284e+01
95,2000-02-10 05:06:05.879000,15.042000,2.532319e+01,2.685379e+01,2.637743e+01,2.581107e+01,2.445023e+01,2.413159e+01
96,2000-02-10 05:06:06.039000,15.202000,2.543180e+01,2.681362e+01,2.644465e+01,2.584487e+01,2.446393e+01,2.414187e+01
97,2000-02-10 05:06:06.199000,15.362000,2.541823e+01,2.692740e+01,2.647824e+01,2.595294e+01,2.445708e+01,2.415573e+01
98,2000-02-10 05:06:06.359000,15.522000,2.539109e+01,2.691402e+01,2.628324e+01,2.587189e+01,2.445708e+01,2.416092e+01
99,2000-02-10 05:06:06.519000,15.682000,2.540466e+01,2.691402e+01,2.649840e+01,2.587189e+01,2.447077e+01,2.416483e+01
100,2000-02-10 05:06:06.679000,15.842000,2.539788e+01,2.686718e+01,2.646481e+01,2.589892e+01,2.453238e+01,2.416915e+01
101,2000-02-10 05:06:06.839000,16.002000,2.545894e+01,2.689395e+01,2.643793e+01,2.588541e+01,2.449131e+01,2.418243e+01
102,2000-02-10 05:06:06.999000,16.162000,2.552675e+01,2.691402e+01,2.636398e+01,2.589892e+01,2.449131e+01,2.418623e+01
103,2000-02-10 05:06:07.159000,16.322000,2.556741e+01,2.686718e+01,2.639087e+01,2.589216e+01,2.453238e+01,2.419692e+01
104,2000-02-10 05:06:07.319000,16.482000,2.554031e+01,2.692740e+01,2.637070e+01,2.611485e+01,2.449816e+01,2.419974e+01
105,2000-02-10 05:06:07.479000,16.642000,2.543859e+01,2.688726e+01,2.644465e+01,2.592593e+01,2.451185e+01,2.419554e+01
106,2000-02-10 05:06:07.639000,16.802000,2.542502e+01,2.692071e+01,2.635052e+01,2.590567e+01,2.452554e+01,2.420140e+01
107,2000-02-10 05:06:07.799000,16.962000,2.545216e+01,2.697422e+01,2.637070e+01,2.589892e+01,2.448447e+01,2.419849e+01
108,2000-02-10 05:06:07.959000,17.122000,2.546572e+01,2.690733e+01,2.642449e+01,2.594619e+01,2.450500e+01,2.420817e+01
109,2000-02-10 05:06:08.119000,17.282000,2.550641e+01,2.692740e+01,2.645137e+01,2.592593e+01,2.447762e+01,2.421051e+01
110,2000-02-10 05:06:08.279000,17.442000,2.545894e+01,2.694747e+01,2.646481e+01,2.589892e+01,2.455291e+01,2.422102e+01
111,2000-02-10 05:06:08.439000,17.602000,2.551319e+01,2.697422e+01,2.645809e+01,2.593944e+01,2.462130e+01,2.423071e+01
112,2000-02-10 05:06:08.599000,17.762000,2.551319e+01,2.696085e+01,2.641776e+01,2.595294e+01,2.455291e+01,2.423606e+01
113,2000-02-10 05:06:08.759000,17.922000,2.554708e+01,2.703439e+01,2.648496e+01,2.595969e+01,2.453238e+01,2.425241e+01
114,2000-02-10 05:06:08.919000,18.082000,2.553353e+01,2.706779e+01,2.647153e+01,2.608114e+01,2.453922e+01,2.425733e+01
115,2000-02-10 05:06:09.079000,18.242000,2.555386e+01,2.698091e+01,2.649168e+01,2.608788e+01,2.457343e+01,2.426001e+01
116,2000-02-10 05:06:09.239000,18.402000,2.551997e+01,2.695416e+01,2.646481e+01,2.606765e+01,2.457343e+01,2.426542e+01
117,2000-02-10 05:06:09.399000,18.562000,2.561483e+01,2.703439e+01,2.642449e+01,2.599344e+01,2.451869e+01,2.426889e+01
118,2000-02-10 05:06:09.559000,18.722000,2.564192e+01,2.700765e+01,2.648496e+01,2.601369e+01,2.460763e+01,2.427682e+01
119,2000-02-10 05:06:09.719000,18.882000,2.560806e+01,2.708116e+01,2.655883e+01,2.606091e+01,2.451185e+01,2.428725e+01
120,2000-02-10 05:06:09.880000,19.043000,2.564192e+01,2.700765e+01,2.652526e+01,2.606765e+01,2.459395e+01,2.428681e+01
121,2000-02-10 05:06:10.039000,19.202000,2.556064e+01,2.708116e+01,2.665277e+01,2.608788e+01,2.458711e+01,2.429366e+01
122,2000-02-10 05:06:10.199000,19.362000,2.560806e+01,2.707448e+01,2.649840e+01,2.600694e+01,2.455975e+01,2.426335e+01
123,2000-02-10 05:06:10.359000,19.522000,2.572315e+01,2.722135e+01,2.648496e+01,2.604742e+01,2.457343e+01,2.426936e+01
124,2000-02-10 05:06:10.520000,19.683000,2.557419e+01,2.697422e+01,2.652526e+01,2.597994e+01,2.454607e+01,2.426929e+01
125,2000-02-10 05:06:10.680000,19.843000,2.556741e+01,2.707448e+01,2.650511e+01,2.600694e+01,2.457343e+01,2.427329e+01
126,2000-02-10 05:06:10.840000,20.003000,2.560806e+01,2.713458e+01,2.665277e+01,2.605416e+01,2.460763e+01,2.429019e+01
127,2000-02-10 05:06:10.999000,20.162000,2.564869e+01,2.720133e+01,2.654540e+01,2.601369e+01,2.460763e+01,2.429045e+01
128,2000-02-10 05:06:11.159000,20.322000,2.562161e+01,2.716129e+01,2.673322e+01,2.606765e+01,2.460763e+01,2.429706e+01
129,2000-02-10 05:06:11.319000,20.482000,2.561483e+01,2.704775e+01,2.664606e+01,2.601369e+01,2.460763e+01,2.430570e+01
130,2000-02-10 05:06:11.479000,20.642000,2.561483e+01,2.709451e+01,2.651855e+01,2.604742e+01,2.464865e+01,2.430465e+01
131,2000-02-10 05:06:11.639000,20.802000,2.562838e+01,2.704775e+01,2.654540e+01,2.608788e+01,2.459395e+01,2.430910e+01
132,2000-02-10 05:06:11.799000,20.962000,2.562838e+01,2.712791e+01,2.656554e+01,2.606765e+01,2.456659e+01,2.431808e+01
