frame,abstime,reltime,april10_baselineBoardB_3.seq:Rectangle 1 [C]:max,april10_baselineBoardB_3.seq:Polygon 1 [C]:max,april10_baselineBoardB_3.seq:Rectangle 2 [C]:max,april10_baselineBoardB_3.seq:Rectangle 3 [C]:max,april10_baselineBoardB_3.seq:Rectangle 4 [C]:max,april10_baselineBoardB_3.seq:Rectangle 5 [C]:mean
43,2000-02-10 05:51:21.293000,6.720000,2.506479e+01,2.631689e+01,2.589892e+01,2.532319e+01,2.466915e+01,2.399061e+01
44,2000-02-10 05:51:21.453000,6.880000,2.511924e+01,2.632362e+01,2.595294e+01,2.533677e+01,2.470332e+01,2.400751e+01
45,2000-02-10 05:51:21.613000,7.040000,2.504436e+01,2.641104e+01,2.596644e+01,2.537072e+01,2.471015e+01,2.402457e+01
46,2000-02-10 05:51:21.773000,7.200000,2.505798e+01,2.639087e+01,2.596644e+01,2.543180e+01,2.473064e+01,2.403050e+01
47,2000-02-10 05:51:21.933000,7.360000,2.507841e+01,2.634380e+01,2.607440e+01,2.547929e+01,2.475113e+01,2.404484e+01
48,2000-02-10 05:51:22.093000,7.520000,2.506479e+01,2.640432e+01,2.600694e+01,2.547929e+01,2.476479e+01,2.405768e+01
49,2000-02-10 05:51:22.253000,7.680000,2.507160e+01,2.635725e+01,2.600019e+01,2.545216e+01,2.479210e+01,2.406258e+01
50,2000-02-10 05:51:22.414000,7.841000,2.517367e+01,2.643793e+01,2.604742e+01,2.557419e+01,2.476479e+01,2.407383e+01
51,2000-02-10 05:51:22.573000,8.000000,2.516687e+01,2.650511e+01,2.612159e+01,2.550641e+01,2.472381e+01,2.408442e+01
52,2000-02-10 05:51:22.733000,8.160000,2.501712e+01,2.652526e+01,2.605416e+01,2.543180e+01,2.479210e+01,2.407311e+01
53,2000-02-10 05:51:22.894000,8.321000,2.498987e+01,2.644465e+01,2.606765e+01,2.549285e+01,2.462814e+01,2.403627e+01
54,2000-02-10 05:51:23.054000,8.481000,2.501031e+01,2.651855e+01,2.606765e+01,2.551997e+01,2.468282e+01,2.403909e+01
55,2000-02-10 05:51:23.214000,8.641000,2.501031e+01,2.655212e+01,2.624285e+01,2.543180e+01,2.462814e+01,2.405395e+01
56,2000-02-10 05:51:23.374000,8.801000,2.514646e+01,2.655212e+01,2.613507e+01,2.545216e+01,2.475113e+01,2.406368e+01
57,2000-02-10 05:51:23.534000,8.961000,2.508521e+01,2.652526e+01,2.621592e+01,2.547929e+01,2.470332e+01,2.407423e+01
58,2000-02-10 05:51:23.694000,9.121000,2.512605e+01,2.655883e+01,2.622939e+01,2.551997e+01,2.468282e+01,2.407786e+01
59,2000-02-10 05:51:23.854000,9.281000,2.513285e+01,2.653197e+01,2.616203e+01,2.556064e+01,2.471698e+01,2.409159e+01
60,2000-02-10 05:51:24.014000,9.441000,2.522127e+01,2.653197e+01,2.610137e+01,2.554031e+01,2.475113e+01,2.410015e+01
