frame,abstime,reltime,april16_microphoneBoardD_2.seq:Rectangle 1 [C]:max,april16_microphoneBoardD_2.seq:Polygon 1 [C]:max,april16_microphoneBoardD_2.seq:Rectangle 2 [C]:max,april16_microphoneBoardD_2.seq:Rectangle 3 [C]:max,april16_microphoneBoardD_2.seq:Rectangle 4 [C]:max,april16_microphoneBoardD_2.seq:Rectangle 5 [C]:mean
1,2000-02-16 05:34:20.719000,0.000000,2.332790e+01,2.351464e+01,2.329328e+01,2.336943e+01,2.399725e+01,2.309465e+01
2,2000-02-16 05:34:20.879000,0.160000,2.334174e+01,2.345935e+01,2.336251e+01,2.339018e+01,2.396285e+01,2.309241e+01
3,2000-02-16 05:34:21.039000,0.320000,2.327250e+01,2.361825e+01,2.334866e+01,2.356301e+01,2.392156e+01,2.309882e+01
4,2000-02-16 05:34:21.199000,0.480000,2.334866e+01,2.348700e+01,2.329328e+01,2.345243e+01,2.392156e+01,2.309557e+01
5,2000-02-16 05:34:21.359000,0.640000,2.334174e+01,2.347318e+01,2.336251e+01,2.341786e+01,2.399037e+01,2.309297e+01
6,2000-02-16 05:34:21.519000,0.800000,2.334866e+01,2.353537e+01,2.336251e+01,2.345243e+01,2.400413e+01,2.309645e+01
7,2000-02-16 05:34:21.679000,0.960000,2.330020e+01,2.348700e+01,2.326557e+01,2.343860e+01,2.399037e+01,2.309049e+01
8,2000-02-16 05:34:21.839000,1.120000,2.335559e+01,2.349391e+01,2.334174e+01,2.350082e+01,2.395597e+01,2.309133e+01
9,2000-02-16 05:34:21.999000,1.280000,2.334866e+01,2.351464e+01,2.365966e+01,2.348009e+01,2.412785e+01,2.310324e+01
10,2000-02-16 05:34:22.159000,1.440000,2.351464e+01,2.363206e+01,2.418966e+01,2.356991e+01,2.406601e+01,2.312955e+01
11,2000-02-16 05:34:22.319000,1.600000,2.355610e+01,2.373554e+01,2.444338e+01,2.350082e+01,2.412785e+01,2.315121e+01
12,2000-02-16 05:34:22.479000,1.760000,2.366656e+01,2.390779e+01,2.458027e+01,2.359063e+01,2.414846e+01,2.317655e+01
13,2000-02-16 05:34:22.639000,1.920000,2.374933e+01,2.403851e+01,2.481257e+01,2.370106e+01,2.423085e+01,2.321758e+01
14,2000-02-16 05:34:22.799000,2.080000,2.379758e+01,2.428574e+01,2.498306e+01,2.384581e+01,2.432689e+01,2.329005e+01
15,2000-02-16 05:34:22.959000,2.240000,2.383892e+01,2.432689e+01,2.512605e+01,2.399725e+01,2.435431e+01,2.331187e+01
16,2000-02-16 05:34:23.121000,2.402000,2.387336e+01,2.440913e+01,2.522807e+01,2.398349e+01,2.442968e+01,2.332711e+01
17,2000-02-16 05:34:23.281000,2.562000,2.396973e+01,2.457343e+01,2.534357e+01,2.405226e+01,2.438858e+01,2.334249e+01
18,2000-02-16 05:34:23.441000,2.722000,2.399037e+01,2.469649e+01,2.542502e+01,2.411411e+01,2.437487e+01,2.336735e+01
19,2000-02-16 05:34:23.601000,2.882000,2.406601e+01,2.464865e+01,2.548607e+01,2.418966e+01,2.436116e+01,2.338377e+01
20,2000-02-16 05:34:23.761000,3.042000,2.406601e+01,2.477162e+01,2.560129e+01,2.424457e+01,2.449816e+01,2.339429e+01
21,2000-02-16 05:34:23.921000,3.202000,2.412098e+01,2.480575e+01,2.559451e+01,2.431317e+01,2.435431e+01,2.341891e+01
22,2000-02-16 05:34:24.081000,3.362000,2.414846e+01,2.503074e+01,2.570961e+01,2.440913e+01,2.439543e+01,2.343633e+01
23,2000-02-16 05:34:24.241000,3.522000,2.418966e+01,2.495580e+01,2.568254e+01,2.442968e+01,2.442283e+01,2.342369e+01
24,2000-02-16 05:34:24.401000,3.682000,2.419653e+01,2.504436e+01,2.575697e+01,2.455291e+01,2.446393e+01,2.347329e+01
25,2000-02-16 05:34:24.561000,3.842000,2.429945e+01,2.506479e+01,2.582459e+01,2.459395e+01,2.445023e+01,2.349953e+01
26,2000-02-16 05:34:24.721000,4.002000,2.427202e+01,2.517367e+01,2.584487e+01,2.460763e+01,2.455291e+01,2.351329e+01
27,2000-02-16 05:34:24.881000,4.162000,2.433374e+01,2.518727e+01,2.592593e+01,2.477162e+01,2.448447e+01,2.352552e+01
28,2000-02-16 05:34:25.041000,4.322000,2.436802e+01,2.524166e+01,2.588541e+01,2.480575e+01,2.453922e+01,2.354571e+01
29,2000-02-16 05:34:25.201000,4.482000,2.435431e+01,2.526205e+01,2.595969e+01,2.483305e+01,2.455975e+01,2.355659e+01
30,2000-02-16 05:34:25.361000,4.642000,2.442968e+01,2.532319e+01,2.604742e+01,2.482622e+01,2.455291e+01,2.357043e+01
31,2000-02-16 05:34:25.521000,4.802000,2.440913e+01,2.531640e+01,2.604067e+01,2.486034e+01,2.451185e+01,2.358118e+01
32,2000-02-16 05:34:25.681000,4.962000,2.452554e+01,2.533677e+01,2.604742e+01,2.487398e+01,2.449131e+01,2.359879e+01
33,2000-02-16 05:34:25.841000,5.122000,2.453238e+01,2.536394e+01,2.608788e+01,2.489444e+01,2.449131e+01,2.361485e+01
34,2000-02-16 05:34:26.001000,5.282000,2.451869e+01,2.537751e+01,2.611485e+01,2.489444e+01,2.451869e+01,2.362740e+01
35,2000-02-16 05:34:26.161000,5.442000,2.455975e+01,2.540466e+01,2.612833e+01,2.501712e+01,2.449816e+01,2.364187e+01
36,2000-02-16 05:34:26.321000,5.602000,2.457343e+01,2.547929e+01,2.614855e+01,2.499668e+01,2.449816e+01,2.364952e+01
37,2000-02-16 05:34:26.481000,5.762000,2.456659e+01,2.546572e+01,2.620245e+01,2.507841e+01,2.451185e+01,2.366123e+01
38,2000-02-16 05:34:26.641000,5.922000,2.466915e+01,2.554031e+01,2.618224e+01,2.509883e+01,2.450500e+01,2.366834e+01
39,2000-02-16 05:34:26.801000,6.082000,2.462814e+01,2.547929e+01,2.623612e+01,2.512605e+01,2.451869e+01,2.367848e+01
40,2000-02-16 05:34:26.961000,6.242000,2.464181e+01,2.553353e+01,2.621592e+01,2.511924e+01,2.450500e+01,2.369284e+01
41,2000-02-16 05:34:27.121000,6.402000,2.468965e+01,2.558097e+01,2.612833e+01,2.515326e+01,2.450500e+01,2.370526e+01
42,2000-02-16 05:34:27.281000,6.562000,2.477844e+01,2.564192e+01,2.610137e+01,2.521447e+01,2.464181e+01,2.371557e+01
43,2000-02-16 05:34:27.441000,6.722000,2.471015e+01,2.564192e+01,2.608788e+01,2.535715e+01,2.469649e+01,2.372420e+01
44,2000-02-16 05:34:27.601000,6.882000,2.471015e+01,2.565546e+01,2.600694e+01,2.519407e+01,2.470332e+01,2.373924e+01
45,2000-02-16 05:34:27.761000,7.042000,2.479210e+01,2.567577e+01,2.595969e+01,2.522127e+01,2.468965e+01,2.375041e+01
46,2000-02-16 05:34:27.921000,7.202000,2.480575e+01,2.570285e+01,2.592593e+01,2.526884e+01,2.454607e+01,2.375906e+01
47,2000-02-16 05:34:28.081000,7.362000,2.490126e+01,2.575021e+01,2.595294e+01,2.543180e+01,2.465549e+01,2.377818e+01
48,2000-02-16 05:34:28.241000,7.522000,2.481257e+01,2.579755e+01,2.593269e+01,2.534357e+01,2.465549e+01,2.378804e+01
