frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
43,2000-02-10 05:14:34.772000,6.721000,2.461447e+01,2.605416e+01,2.554031e+01,2.520767e+01,2.411411e+01,2.366600e+01
44,2000-02-10 05:14:34.932000,6.881000,2.475113e+01,2.609463e+01,2.560129e+01,2.517367e+01,2.419653e+01,2.370269e+01
45,2000-02-10 05:14:35.092000,7.041000,2.475796e+01,2.612159e+01,2.572315e+01,2.525525e+01,2.418280e+01,2.374396e+01
46,2000-02-10 05:14:35.252000,7.201000,2.483305e+01,2.615529e+01,2.575021e+01,2.523486e+01,2.424457e+01,2.375763e+01
47,2000-02-10 05:14:35.412000,7.361000,2.483987e+01,2.622939e+01,2.570961e+01,2.521447e+01,2.420339e+01,2.376384e+01
48,2000-02-10 05:14:35.572000,7.521000,2.477844e+01,2.618224e+01,2.571638e+01,2.527564e+01,2.418280e+01,2.376946e+01
49,2000-02-10 05:14:35.732000,7.681000,2.482622e+01,2.626978e+01,2.575697e+01,2.529602e+01,2.423771e+01,2.377841e+01
50,2000-02-10 05:14:35.892000,7.841000,2.479210e+01,2.627651e+01,2.571638e+01,2.535036e+01,2.419653e+01,2.378888e+01
51,2000-02-10 05:14:36.050000,7.999000,2.480575e+01,2.628997e+01,2.572991e+01,2.529602e+01,2.425143e+01,2.380211e+01
52,2000-02-10 05:14:36.210000,8.159000,2.481940e+01,2.625632e+01,2.586514e+01,2.530961e+01,2.426516e+01,2.381453e+01
53,2000-02-10 05:14:36.370000,8.319000,2.481257e+01,2.630343e+01,2.583811e+01,2.533677e+01,2.423085e+01,2.382561e+01
54,2000-02-10 05:14:36.530000,8.479000,2.495580e+01,2.636398e+01,2.583135e+01,2.535036e+01,2.422398e+01,2.383485e+01
55,2000-02-10 05:14:36.690000,8.639000,2.494898e+01,2.640432e+01,2.577726e+01,2.539788e+01,2.426516e+01,2.384982e+01
56,2000-02-10 05:14:36.850000,8.799000,2.493535e+01,2.640432e+01,2.587865e+01,2.545216e+01,2.430631e+01,2.385664e+01
57,2000-02-10 05:14:37.010000,8.959000,2.505798e+01,2.640432e+01,2.590567e+01,2.554708e+01,2.427202e+01,2.387151e+01
58,2000-02-10 05:14:37.170000,9.119000,2.487398e+01,2.643793e+01,2.583811e+01,2.545216e+01,2.431317e+01,2.387160e+01
