frame,abstime,reltime,april10_baselineBoardE_3.seq:Rectangle 1 [C]:max,april10_baselineBoardE_3.seq:Polygon 1 [C]:max,april10_baselineBoardE_3.seq:Rectangle 2 [C]:max,april10_baselineBoardE_3.seq:Rectangle 3 [C]:max,april10_baselineBoardE_3.seq:Rectangle 4 [C]:max,april10_baselineBoardE_3.seq:Rectangle 5 [C]:mean
1,2000-02-10 08:41:01.133000,0.000000,2.404538e+01,2.385270e+01,2.374933e+01,2.383892e+01,2.387336e+01,2.365384e+01
2,2000-02-10 08:41:01.293000,0.160000,2.392156e+01,2.388025e+01,2.390091e+01,2.383892e+01,2.391467e+01,2.365165e+01
3,2000-02-10 08:41:01.453000,0.320000,2.401100e+01,2.383892e+01,2.376312e+01,2.374933e+01,2.382515e+01,2.365194e+01
4,2000-02-10 08:41:01.613000,0.480000,2.400413e+01,2.373554e+01,2.376312e+01,2.379758e+01,2.390091e+01,2.364494e+01
5,2000-02-10 08:41:01.773000,0.640000,2.399037e+01,2.382515e+01,2.379758e+01,2.375623e+01,2.385959e+01,2.365341e+01
6,2000-02-10 08:41:01.933000,0.800000,2.396973e+01,2.379069e+01,2.377001e+01,2.382515e+01,2.394221e+01,2.365046e+01
7,2000-02-10 08:41:02.093000,0.960000,2.407975e+01,2.386648e+01,2.389402e+01,2.380448e+01,2.389402e+01,2.365145e+01
8,2000-02-10 08:41:02.253000,1.120000,2.401100e+01,2.381137e+01,2.379069e+01,2.390091e+01,2.389402e+01,2.365104e+01
9,2000-02-10 08:41:02.413000,1.280000,2.402476e+01,2.407975e+01,2.408663e+01,2.385270e+01,2.394221e+01,2.367554e+01
10,2000-02-10 08:41:02.573000,1.440000,2.411411e+01,2.425830e+01,2.432689e+01,2.391467e+01,2.402476e+01,2.369151e+01
11,2000-02-10 08:41:02.733000,1.600000,2.407975e+01,2.445023e+01,2.455291e+01,2.396285e+01,2.412785e+01,2.370985e+01
12,2000-02-10 08:41:02.893000,1.760000,2.433374e+01,2.459395e+01,2.466915e+01,2.412785e+01,2.421026e+01,2.373304e+01
13,2000-02-10 08:41:03.053000,1.920000,2.424457e+01,2.479210e+01,2.484669e+01,2.413472e+01,2.426516e+01,2.375869e+01
14,2000-02-10 08:41:03.213000,2.080000,2.426516e+01,2.483987e+01,2.492171e+01,2.421712e+01,2.426516e+01,2.377754e+01
15,2000-02-10 08:41:03.373000,2.240000,2.437487e+01,2.503074e+01,2.511244e+01,2.434060e+01,2.432003e+01,2.380484e+01
16,2000-02-10 08:41:03.533000,2.400000,2.445023e+01,2.521447e+01,2.516687e+01,2.442283e+01,2.438172e+01,2.383430e+01
17,2000-02-10 08:41:03.693000,2.560000,2.445023e+01,2.518047e+01,2.518727e+01,2.450500e+01,2.434745e+01,2.384974e+01
18,2000-02-10 08:41:03.853000,2.720000,2.450500e+01,2.531640e+01,2.522807e+01,2.473747e+01,2.450500e+01,2.387586e+01
19,2000-02-10 08:41:04.013000,2.880000,2.455291e+01,2.535036e+01,2.534357e+01,2.469649e+01,2.443653e+01,2.389315e+01
20,2000-02-10 08:41:04.173000,3.040000,2.462814e+01,2.545894e+01,2.534357e+01,2.482622e+01,2.447762e+01,2.391972e+01
21,2000-02-10 08:41:04.333000,3.200000,2.460079e+01,2.551997e+01,2.541145e+01,2.488080e+01,2.451185e+01,2.393707e+01
22,2000-02-10 08:41:04.493000,3.360000,2.464181e+01,2.565546e+01,2.540466e+01,2.493535e+01,2.447762e+01,2.395268e+01
23,2000-02-10 08:41:04.653000,3.520000,2.471698e+01,2.571638e+01,2.547929e+01,2.505117e+01,2.451869e+01,2.396961e+01
24,2000-02-10 08:41:04.814000,3.681000,2.474430e+01,2.575021e+01,2.550641e+01,2.495580e+01,2.458027e+01,2.398834e+01
25,2000-02-10 08:41:04.973000,3.840000,2.477162e+01,2.582459e+01,2.562838e+01,2.508521e+01,2.449816e+01,2.401076e+01
26,2000-02-10 08:41:05.133000,4.000000,2.478527e+01,2.589892e+01,2.562161e+01,2.509202e+01,2.456659e+01,2.402377e+01
27,2000-02-10 08:41:05.293000,4.160000,2.481257e+01,2.606091e+01,2.564869e+01,2.503755e+01,2.452554e+01,2.403271e+01
28,2000-02-10 08:41:05.454000,4.321000,2.476479e+01,2.601369e+01,2.570285e+01,2.512605e+01,2.454607e+01,2.404702e+01
29,2000-02-10 08:41:05.614000,4.481000,2.482622e+01,2.606091e+01,2.572991e+01,2.516687e+01,2.455291e+01,2.406699e+01
30,2000-02-10 08:41:05.773000,4.640000,2.488080e+01,2.607440e+01,2.575697e+01,2.520767e+01,2.460079e+01,2.408562e+01
31,2000-02-10 08:41:05.934000,4.801000,2.490808e+01,2.608788e+01,2.573668e+01,2.525525e+01,2.458711e+01,2.410447e+01
32,2000-02-10 08:41:06.094000,4.961000,2.486716e+01,2.620918e+01,2.575697e+01,2.530282e+01,2.479210e+01,2.411356e+01
33,2000-02-10 08:41:06.254000,5.121000,2.495580e+01,2.622265e+01,2.583135e+01,2.534357e+01,2.461447e+01,2.412628e+01
34,2000-02-10 08:41:06.414000,5.281000,2.495580e+01,2.618898e+01,2.593944e+01,2.533677e+01,2.459395e+01,2.414026e+01
35,2000-02-10 08:41:06.574000,5.441000,2.496261e+01,2.626305e+01,2.588541e+01,2.535036e+01,2.464865e+01,2.415244e+01
36,2000-02-10 08:41:06.734000,5.601000,2.507841e+01,2.638415e+01,2.586514e+01,2.540466e+01,2.463498e+01,2.416651e+01
37,2000-02-10 08:41:06.894000,5.761000,2.505117e+01,2.648496e+01,2.591243e+01,2.545216e+01,2.460079e+01,2.417545e+01
38,2000-02-10 08:41:07.052000,5.919000,2.514646e+01,2.631689e+01,2.601369e+01,2.554708e+01,2.462814e+01,2.419520e+01
39,2000-02-10 08:41:07.212000,6.079000,2.503755e+01,2.642449e+01,2.600019e+01,2.562838e+01,2.471698e+01,2.422208e+01
40,2000-02-10 08:41:07.372000,6.239000,2.505117e+01,2.648496e+01,2.606765e+01,2.568254e+01,2.470332e+01,2.423738e+01
41,2000-02-10 08:41:07.532000,6.399000,2.511244e+01,2.642449e+01,2.606091e+01,2.550641e+01,2.470332e+01,2.425073e+01
42,2000-02-10 08:41:07.692000,6.559000,2.509883e+01,2.649168e+01,2.612159e+01,2.566900e+01,2.469649e+01,2.426098e+01
43,2000-02-10 08:41:07.852000,6.719000,2.509883e+01,2.650511e+01,2.615529e+01,2.570285e+01,2.481940e+01,2.427596e+01
44,2000-02-10 08:41:08.012000,6.879000,2.513966e+01,2.655212e+01,2.608114e+01,2.558774e+01,2.475113e+01,2.428222e+01
45,2000-02-10 08:41:08.172000,7.039000,2.516006e+01,2.652526e+01,2.610811e+01,2.562838e+01,2.473064e+01,2.429158e+01
46,2000-02-10 08:41:08.332000,7.199000,2.518047e+01,2.656554e+01,2.618224e+01,2.563515e+01,2.473747e+01,2.430333e+01
47,2000-02-10 08:41:08.492000,7.359000,2.535715e+01,2.659910e+01,2.620918e+01,2.570285e+01,2.474430e+01,2.431263e+01
48,2000-02-10 08:41:08.652000,7.519000,2.522127e+01,2.657226e+01,2.618898e+01,2.568254e+01,2.473747e+01,2.432224e+01
49,2000-02-10 08:41:08.812000,7.679000,2.529602e+01,2.661252e+01,2.621592e+01,2.572991e+01,2.485351e+01,2.433542e+01
50,2000-02-10 08:41:08.972000,7.839000,2.529602e+01,2.661252e+01,2.615529e+01,2.574344e+01,2.483987e+01,2.434738e+01
51,2000-02-10 08:41:09.132000,7.999000,2.530282e+01,2.673322e+01,2.625632e+01,2.579755e+01,2.480575e+01,2.435582e+01
52,2000-02-10 08:41:09.292000,8.159000,2.532998e+01,2.671312e+01,2.626305e+01,2.583135e+01,2.479892e+01,2.436372e+01
53,2000-02-10 08:41:09.452000,8.319000,2.543859e+01,2.670641e+01,2.624959e+01,2.579755e+01,2.488762e+01,2.437190e+01
54,2000-02-10 08:41:09.612000,8.479000,2.535036e+01,2.671312e+01,2.629670e+01,2.588541e+01,2.477162e+01,2.438977e+01
55,2000-02-10 08:41:09.772000,8.639000,2.531640e+01,2.672652e+01,2.635052e+01,2.582459e+01,2.472381e+01,2.434647e+01
56,2000-02-10 08:41:09.932000,8.799000,2.528243e+01,2.671312e+01,2.628324e+01,2.599344e+01,2.473747e+01,2.435278e+01
57,2000-02-10 08:41:10.092000,8.959000,2.535715e+01,2.676003e+01,2.637743e+01,2.587865e+01,2.477844e+01,2.436369e+01
58,2000-02-10 08:41:10.252000,9.119000,2.532319e+01,2.678683e+01,2.635052e+01,2.583811e+01,2.477844e+01,2.437293e+01
59,2000-02-10 08:41:10.412000,9.279000,2.543859e+01,2.677343e+01,2.626978e+01,2.589216e+01,2.475796e+01,2.438330e+01
60,2000-02-10 08:41:10.572000,9.439000,2.537072e+01,2.679352e+01,2.635725e+01,2.589216e+01,2.477844e+01,2.439244e+01
61,2000-02-10 08:41:10.732000,9.599000,2.542502e+01,2.681362e+01,2.634380e+01,2.585838e+01,2.481257e+01,2.440329e+01
62,2000-02-10 08:41:10.892000,9.759000,2.544537e+01,2.678013e+01,2.631689e+01,2.603393e+01,2.484669e+01,2.442164e+01
63,2000-02-10 08:41:11.052000,9.919000,2.549963e+01,2.686049e+01,2.639087e+01,2.597994e+01,2.483987e+01,2.442945e+01
64,2000-02-10 08:41:11.212000,10.079000,2.549963e+01,2.685379e+01,2.638415e+01,2.591918e+01,2.483987e+01,2.443679e+01
65,2000-02-10 08:41:11.372000,10.239000,2.544537e+01,2.703439e+01,2.649168e+01,2.604067e+01,2.479892e+01,2.444480e+01
66,2000-02-10 08:41:11.532000,10.399000,2.557419e+01,2.690733e+01,2.645137e+01,2.594619e+01,2.478527e+01,2.446080e+01
67,2000-02-10 08:41:11.692000,10.559000,2.549963e+01,2.684710e+01,2.650511e+01,2.603393e+01,2.479210e+01,2.447074e+01
68,2000-02-10 08:41:11.852000,10.719000,2.556064e+01,2.684040e+01,2.645137e+01,2.604067e+01,2.488762e+01,2.447857e+01
69,2000-02-10 08:41:12.012000,10.879000,2.570285e+01,2.706779e+01,2.659239e+01,2.620918e+01,2.492171e+01,2.454991e+01
70,2000-02-10 08:41:12.172000,11.039000,2.558097e+01,2.695416e+01,2.667959e+01,2.621592e+01,2.496261e+01,2.456162e+01
71,2000-02-10 08:41:12.332000,11.199000,2.562838e+01,2.701433e+01,2.665948e+01,2.613507e+01,2.497624e+01,2.457199e+01
72,2000-02-10 08:41:12.492000,11.359000,2.562838e+01,2.702102e+01,2.672652e+01,2.620918e+01,2.497624e+01,2.458281e+01
73,2000-02-10 08:41:12.652000,11.519000,2.566224e+01,2.706779e+01,2.663935e+01,2.622265e+01,2.491490e+01,2.459319e+01
74,2000-02-10 08:41:12.812000,11.679000,2.568254e+01,2.696753e+01,2.661923e+01,2.626978e+01,2.490808e+01,2.460466e+01
75,2000-02-10 08:41:12.972000,11.839000,2.571638e+01,2.702770e+01,2.667959e+01,2.618898e+01,2.494217e+01,2.460861e+01
76,2000-02-10 08:41:13.132000,11.999000,2.564869e+01,2.704107e+01,2.671982e+01,2.619571e+01,2.492171e+01,2.461194e+01
