frame,abstime,reltime,april11_microphoneBoardA_0_3.seq:Rectangle 1 [C]:max,april11_microphoneBoardA_0_3.seq:Polygon 1 [C]:max,april11_microphoneBoardA_0_3.seq:Rectangle 2 [C]:max,april11_microphoneBoardA_0_3.seq:Rectangle 3 [C]:max,april11_microphoneBoardA_0_3.seq:Rectangle 4 [C]:max,april11_microphoneBoardA_0_3.seq:Rectangle 5 [C]:mean
1,2000-02-10 22:14:42.105000,0.000000,2.313388e+01,2.309225e+01,2.321014e+01,2.335559e+01,2.304367e+01,2.283766e+01
2,2000-02-10 22:14:42.265000,0.160000,2.318935e+01,2.313388e+01,2.312000e+01,2.332097e+01,2.307837e+01,2.284087e+01
3,2000-02-10 22:14:42.425000,0.320000,2.315468e+01,2.305755e+01,2.298118e+01,2.320321e+01,2.303673e+01,2.282900e+01
4,2000-02-10 22:14:42.585000,0.480000,2.312000e+01,2.307144e+01,2.305755e+01,2.319628e+01,2.302979e+01,2.282558e+01
5,2000-02-10 22:14:42.745000,0.640000,2.307144e+01,2.312694e+01,2.305061e+01,2.326557e+01,2.307837e+01,2.282486e+01
6,2000-02-10 22:14:42.905000,0.800000,2.307144e+01,2.311307e+01,2.320321e+01,2.316162e+01,2.302979e+01,2.282306e+01
7,2000-02-10 22:14:43.066000,0.961000,2.313388e+01,2.312694e+01,2.314081e+01,2.315468e+01,2.307837e+01,2.282471e+01
8,2000-02-10 22:14:43.226000,1.121000,2.307837e+01,2.314775e+01,2.299507e+01,2.310613e+01,2.316855e+01,2.282155e+01
9,2000-02-10 22:14:43.385000,1.280000,2.309919e+01,2.309919e+01,2.331405e+01,2.321014e+01,2.311307e+01,2.282979e+01
10,2000-02-10 22:14:43.546000,1.441000,2.324479e+01,2.323786e+01,2.380448e+01,2.326557e+01,2.323786e+01,2.286447e+01
11,2000-02-10 22:14:43.706000,1.601000,2.331405e+01,2.346626e+01,2.412785e+01,2.332790e+01,2.336943e+01,2.288255e+01
12,2000-02-10 22:14:43.866000,1.761000,2.339018e+01,2.366656e+01,2.449816e+01,2.333482e+01,2.339018e+01,2.291113e+01
13,2000-02-10 22:14:44.026000,1.921000,2.349391e+01,2.374933e+01,2.467599e+01,2.344552e+01,2.349391e+01,2.293616e+01
14,2000-02-10 22:14:44.186000,2.081000,2.363896e+01,2.394221e+01,2.468965e+01,2.352155e+01,2.352155e+01,2.295234e+01
15,2000-02-10 22:14:44.346000,2.241000,2.364586e+01,2.409350e+01,2.479892e+01,2.359063e+01,2.354919e+01,2.297596e+01
16,2000-02-10 22:14:44.506000,2.401000,2.370106e+01,2.419653e+01,2.496943e+01,2.361135e+01,2.358373e+01,2.299458e+01
17,2000-02-10 22:14:44.666000,2.561000,2.370106e+01,2.427202e+01,2.498987e+01,2.370106e+01,2.358373e+01,2.301927e+01
18,2000-02-10 22:14:44.826000,2.721000,2.375623e+01,2.441598e+01,2.514646e+01,2.377691e+01,2.368726e+01,2.303470e+01
19,2000-02-10 22:14:44.986000,2.881000,2.383204e+01,2.446393e+01,2.535036e+01,2.387336e+01,2.368726e+01,2.305327e+01
20,2000-02-10 22:14:45.146000,3.041000,2.383892e+01,2.460763e+01,2.532319e+01,2.387336e+01,2.361825e+01,2.308042e+01
21,2000-02-10 22:14:45.306000,3.201000,2.390091e+01,2.454607e+01,2.532998e+01,2.390779e+01,2.369416e+01,2.309697e+01
22,2000-02-10 22:14:45.466000,3.361000,2.388713e+01,2.470332e+01,2.540466e+01,2.400413e+01,2.365276e+01,2.311550e+01
23,2000-02-10 22:14:45.626000,3.521000,2.396973e+01,2.466915e+01,2.540466e+01,2.409350e+01,2.367346e+01,2.312724e+01
24,2000-02-10 22:14:45.786000,3.681000,2.392844e+01,2.477162e+01,2.544537e+01,2.414159e+01,2.379069e+01,2.314811e+01
25,2000-02-10 22:14:45.946000,3.841000,2.392844e+01,2.477162e+01,2.547929e+01,2.425143e+01,2.370795e+01,2.316138e+01
26,2000-02-10 22:14:46.106000,4.001000,2.398349e+01,2.481257e+01,2.558774e+01,2.418966e+01,2.370795e+01,2.317039e+01
27,2000-02-10 22:14:46.266000,4.161000,2.400413e+01,2.490808e+01,2.556064e+01,2.444338e+01,2.381826e+01,2.319175e+01
28,2000-02-10 22:14:46.426000,4.321000,2.405226e+01,2.500350e+01,2.559451e+01,2.431317e+01,2.377691e+01,2.320175e+01
29,2000-02-10 22:14:46.586000,4.481000,2.411411e+01,2.496261e+01,2.568254e+01,2.439543e+01,2.377001e+01,2.325338e+01
30,2000-02-10 22:14:46.746000,4.641000,2.409350e+01,2.506479e+01,2.572991e+01,2.438858e+01,2.377691e+01,2.327106e+01
31,2000-02-10 22:14:46.906000,4.801000,2.421026e+01,2.508521e+01,2.575697e+01,2.442968e+01,2.390091e+01,2.328424e+01
32,2000-02-10 22:14:47.066000,4.961000,2.423771e+01,2.508521e+01,2.572991e+01,2.446393e+01,2.379069e+01,2.330171e+01
33,2000-02-10 22:14:47.226000,5.121000,2.422398e+01,2.518047e+01,2.582459e+01,2.458027e+01,2.392844e+01,2.331194e+01
34,2000-02-10 22:14:47.386000,5.281000,2.417593e+01,2.518047e+01,2.584487e+01,2.470332e+01,2.391467e+01,2.332390e+01
35,2000-02-10 22:14:47.546000,5.441000,2.425143e+01,2.520767e+01,2.585162e+01,2.464865e+01,2.383892e+01,2.333445e+01
36,2000-02-10 22:14:47.706000,5.601000,2.436802e+01,2.524166e+01,2.589216e+01,2.461447e+01,2.394221e+01,2.334996e+01
37,2000-02-10 22:14:47.866000,5.761000,2.432689e+01,2.529602e+01,2.602044e+01,2.465549e+01,2.390779e+01,2.336489e+01
38,2000-02-10 22:14:48.026000,5.921000,2.437487e+01,2.524846e+01,2.593944e+01,2.462130e+01,2.409350e+01,2.337487e+01
39,2000-02-10 22:14:48.186000,6.081000,2.438858e+01,2.530282e+01,2.595969e+01,2.470332e+01,2.397661e+01,2.338693e+01
40,2000-02-10 22:14:48.346000,6.241000,2.436116e+01,2.530961e+01,2.599344e+01,2.480575e+01,2.395597e+01,2.339612e+01
41,2000-02-10 22:14:48.506000,6.401000,2.444338e+01,2.532998e+01,2.591918e+01,2.478527e+01,2.388713e+01,2.340746e+01
42,2000-02-10 22:14:48.666000,6.561000,2.447762e+01,2.538430e+01,2.579755e+01,2.486716e+01,2.405226e+01,2.345293e+01
43,2000-02-10 22:14:48.826000,6.721000,2.451869e+01,2.537751e+01,2.575021e+01,2.490808e+01,2.396285e+01,2.347424e+01
44,2000-02-10 22:14:48.986000,6.881000,2.455291e+01,2.553353e+01,2.568931e+01,2.496261e+01,2.402476e+01,2.348398e+01
45,2000-02-10 22:14:49.146000,7.041000,2.452554e+01,2.544537e+01,2.566900e+01,2.493535e+01,2.392844e+01,2.349754e+01
46,2000-02-10 22:14:49.306000,7.201000,2.460079e+01,2.547251e+01,2.572991e+01,2.495580e+01,2.396285e+01,2.350467e+01
47,2000-02-10 22:14:49.466000,7.361000,2.457343e+01,2.549285e+01,2.568931e+01,2.500350e+01,2.392844e+01,2.352225e+01
48,2000-02-10 22:14:49.626000,7.521000,2.458711e+01,2.558774e+01,2.567577e+01,2.495580e+01,2.389402e+01,2.352304e+01
49,2000-02-10 22:14:49.786000,7.681000,2.461447e+01,2.559451e+01,2.564192e+01,2.505117e+01,2.390779e+01,2.353504e+01
50,2000-02-10 22:14:49.946000,7.841000,2.462130e+01,2.553353e+01,2.567577e+01,2.511244e+01,2.396973e+01,2.354806e+01
51,2000-02-10 22:14:50.106000,8.001000,2.469649e+01,2.552675e+01,2.568931e+01,2.509202e+01,2.398349e+01,2.355689e+01
52,2000-02-10 22:14:50.266000,8.161000,2.469649e+01,2.554708e+01,2.575021e+01,2.517367e+01,2.394909e+01,2.355975e+01
53,2000-02-10 22:14:50.426000,8.321000,2.464865e+01,2.555386e+01,2.566900e+01,2.515326e+01,2.401100e+01,2.357421e+01
54,2000-02-10 22:14:50.586000,8.481000,2.470332e+01,2.559451e+01,2.567577e+01,2.511924e+01,2.405913e+01,2.357747e+01
55,2000-02-10 22:14:50.746000,8.641000,2.465549e+01,2.560129e+01,2.579078e+01,2.508521e+01,2.392844e+01,2.357063e+01
56,2000-02-10 22:14:50.906000,8.801000,2.468965e+01,2.558774e+01,2.575697e+01,2.511924e+01,2.399725e+01,2.357420e+01
57,2000-02-10 22:14:51.066000,8.961000,2.468965e+01,2.566900e+01,2.572991e+01,2.512605e+01,2.399037e+01,2.358973e+01
58,2000-02-10 22:14:51.226000,9.121000,2.475113e+01,2.566900e+01,2.578402e+01,2.520767e+01,2.401788e+01,2.360220e+01
59,2000-02-10 22:14:51.386000,9.281000,2.471015e+01,2.562838e+01,2.569608e+01,2.517367e+01,2.397661e+01,2.360892e+01
60,2000-02-10 22:14:51.546000,9.441000,2.473747e+01,2.560129e+01,2.581783e+01,2.518727e+01,2.396285e+01,2.361586e+01
61,2000-02-10 22:14:51.706000,9.601000,2.477162e+01,2.565546e+01,2.587189e+01,2.518727e+01,2.394909e+01,2.362026e+01
62,2000-02-10 22:14:51.867000,9.762000,2.481940e+01,2.566224e+01,2.582459e+01,2.525525e+01,2.399037e+01,2.366090e+01
63,2000-02-10 22:14:52.027000,9.922000,2.481940e+01,2.566224e+01,2.591243e+01,2.528243e+01,2.403163e+01,2.366884e+01
64,2000-02-10 22:14:52.187000,10.082000,2.477162e+01,2.575697e+01,2.601369e+01,2.535715e+01,2.400413e+01,2.367525e+01
65,2000-02-10 22:14:52.347000,10.242000,2.484669e+01,2.572315e+01,2.598669e+01,2.527564e+01,2.405913e+01,2.368616e+01
66,2000-02-10 22:14:52.507000,10.402000,2.489444e+01,2.573668e+01,2.585838e+01,2.526884e+01,2.408663e+01,2.370329e+01
67,2000-02-10 22:14:52.666000,10.561000,2.486716e+01,2.574344e+01,2.587189e+01,2.537072e+01,2.409350e+01,2.370481e+01
68,2000-02-10 22:14:52.827000,10.722000,2.483305e+01,2.576373e+01,2.594619e+01,2.533677e+01,2.416220e+01,2.369934e+01
69,2000-02-10 22:14:52.987000,10.882000,2.483305e+01,2.570285e+01,2.595969e+01,2.534357e+01,2.401788e+01,2.367520e+01
70,2000-02-10 22:14:53.147000,11.042000,2.481257e+01,2.570961e+01,2.583811e+01,2.527564e+01,2.403851e+01,2.368366e+01
71,2000-02-10 22:14:53.307000,11.202000,2.486716e+01,2.568931e+01,2.588541e+01,2.531640e+01,2.403851e+01,2.369411e+01
72,2000-02-10 22:14:53.467000,11.362000,2.481940e+01,2.575021e+01,2.581783e+01,2.532998e+01,2.405913e+01,2.368635e+01
73,2000-02-10 22:14:53.627000,11.522000,2.484669e+01,2.562838e+01,2.589216e+01,2.537072e+01,2.412098e+01,2.369938e+01
