frame,abstime,reltime,april3_baselineBoardA_4.seq:Rectangle 1 [C]:max,april3_baselineBoardA_4.seq:Polygon 1 [C]:max,april3_baselineBoardA_4.seq:Rectangle 2 [C]:max,april3_baselineBoardA_4.seq:Rectangle 3 [C]:max,april3_baselineBoardA_4.seq:Rectangle 4 [C]:max,april3_baselineBoardA_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 06:29:06.408000,0.000000,2.352847e+01,2.361825e+01,2.352847e+01,2.356301e+01,2.381137e+01,2.341087e+01
2,2000-02-03 06:29:06.568000,0.160000,2.354228e+01,2.369416e+01,2.354228e+01,2.368036e+01,2.377001e+01,2.341809e+01
3,2000-02-03 06:29:06.728000,0.320000,2.353537e+01,2.369416e+01,2.353537e+01,2.359754e+01,2.396973e+01,2.341662e+01
4,2000-02-03 06:29:06.888000,0.480000,2.357682e+01,2.367346e+01,2.359754e+01,2.363896e+01,2.382515e+01,2.340912e+01
5,2000-02-03 06:29:07.048000,0.640000,2.352847e+01,2.360444e+01,2.350773e+01,2.365966e+01,2.384581e+01,2.340842e+01
6,2000-02-03 06:29:07.208000,0.800000,2.351464e+01,2.364586e+01,2.354228e+01,2.356991e+01,2.381826e+01,2.341077e+01
7,2000-02-03 06:29:07.368000,0.960000,2.354919e+01,2.362515e+01,2.354228e+01,2.366656e+01,2.383204e+01,2.342611e+01
8,2000-02-03 06:29:07.528000,1.120000,2.358373e+01,2.371485e+01,2.358373e+01,2.370795e+01,2.385270e+01,2.346255e+01
9,2000-02-03 06:29:07.688000,1.280000,2.361825e+01,2.374933e+01,2.361825e+01,2.371485e+01,2.387336e+01,2.347448e+01
10,2000-02-03 06:29:07.848000,1.440000,2.376312e+01,2.390091e+01,2.381826e+01,2.379069e+01,2.390779e+01,2.349260e+01
11,2000-02-03 06:29:08.008000,1.600000,2.385959e+01,2.407288e+01,2.411411e+01,2.382515e+01,2.398349e+01,2.351178e+01
12,2000-02-03 06:29:08.169000,1.761000,2.399037e+01,2.429945e+01,2.426516e+01,2.390779e+01,2.391467e+01,2.353728e+01
13,2000-02-03 06:29:08.328000,1.920000,2.405913e+01,2.439543e+01,2.447077e+01,2.396973e+01,2.399725e+01,2.356132e+01
14,2000-02-03 06:29:08.489000,2.081000,2.408663e+01,2.452554e+01,2.458027e+01,2.404538e+01,2.404538e+01,2.358450e+01
15,2000-02-03 06:29:08.649000,2.241000,2.421026e+01,2.462814e+01,2.472381e+01,2.407975e+01,2.405913e+01,2.360345e+01
16,2000-02-03 06:29:08.809000,2.401000,2.431317e+01,2.476479e+01,2.481257e+01,2.414159e+01,2.409350e+01,2.362661e+01
17,2000-02-03 06:29:08.968000,2.560000,2.426516e+01,2.483305e+01,2.489444e+01,2.433374e+01,2.427888e+01,2.365179e+01
18,2000-02-03 06:29:09.128000,2.720000,2.434745e+01,2.502393e+01,2.498987e+01,2.436802e+01,2.423771e+01,2.368715e+01
19,2000-02-03 06:29:09.289000,2.881000,2.433374e+01,2.508521e+01,2.507160e+01,2.447762e+01,2.430631e+01,2.370709e+01
20,2000-02-03 06:29:09.449000,3.041000,2.445708e+01,2.520087e+01,2.513285e+01,2.455975e+01,2.416906e+01,2.372078e+01
21,2000-02-03 06:29:09.609000,3.201000,2.449816e+01,2.530282e+01,2.520087e+01,2.467599e+01,2.429259e+01,2.373747e+01
22,2000-02-03 06:29:09.769000,3.361000,2.455291e+01,2.537072e+01,2.520767e+01,2.468965e+01,2.427888e+01,2.375642e+01
23,2000-02-03 06:29:09.929000,3.521000,2.450500e+01,2.537751e+01,2.527564e+01,2.473747e+01,2.425830e+01,2.376692e+01
24,2000-02-03 06:29:10.089000,3.681000,2.460079e+01,2.549963e+01,2.533677e+01,2.471015e+01,2.431317e+01,2.378887e+01
25,2000-02-03 06:29:10.249000,3.841000,2.468282e+01,2.559451e+01,2.534357e+01,2.481940e+01,2.429259e+01,2.379954e+01
26,2000-02-03 06:29:10.409000,4.001000,2.466915e+01,2.564869e+01,2.537072e+01,2.484669e+01,2.429259e+01,2.380923e+01
27,2000-02-03 06:29:10.569000,4.161000,2.465549e+01,2.567577e+01,2.540466e+01,2.493535e+01,2.432003e+01,2.382880e+01
28,2000-02-03 06:29:10.729000,4.321000,2.474430e+01,2.583811e+01,2.543180e+01,2.494898e+01,2.439543e+01,2.384520e+01
29,2000-02-03 06:29:10.889000,4.481000,2.469649e+01,2.585838e+01,2.544537e+01,2.500350e+01,2.427888e+01,2.385728e+01
30,2000-02-03 06:29:11.049000,4.641000,2.477844e+01,2.589216e+01,2.547251e+01,2.499668e+01,2.429945e+01,2.386897e+01
