frame,abstime,reltime,april16_microphoneBoardD_1.seq:Rectangle 1 [C]:max,april16_microphoneBoardD_1.seq:Polygon 1 [C]:max,april16_microphoneBoardD_1.seq:Rectangle 2 [C]:max,april16_microphoneBoardD_1.seq:Rectangle 3 [C]:max,april16_microphoneBoardD_1.seq:Rectangle 4 [C]:max,april16_microphoneBoardD_1.seq:Rectangle 5 [C]:mean
1,2000-02-16 05:25:43.414000,0.000000,2.357682e+01,2.334174e+01,2.316162e+01,2.339018e+01,2.402476e+01,2.293653e+01
2,2000-02-16 05:25:43.574000,0.160000,2.361825e+01,2.337635e+01,2.312000e+01,2.323786e+01,2.408663e+01,2.294257e+01
3,2000-02-16 05:25:43.734000,0.320000,2.358373e+01,2.332097e+01,2.319628e+01,2.335559e+01,2.412785e+01,2.295599e+01
4,2000-02-16 05:25:43.894000,0.480000,2.360444e+01,2.328635e+01,2.314081e+01,2.333482e+01,2.418966e+01,2.295355e+01
5,2000-02-16 05:25:44.054000,0.640000,2.359063e+01,2.335559e+01,2.311307e+01,2.326557e+01,2.412785e+01,2.294891e+01
6,2000-02-16 05:25:44.214000,0.800000,2.352155e+01,2.337635e+01,2.311307e+01,2.333482e+01,2.419653e+01,2.294759e+01
7,2000-02-16 05:25:44.374000,0.960000,2.343169e+01,2.334174e+01,2.320321e+01,2.331405e+01,2.415533e+01,2.294073e+01
8,2000-02-16 05:25:44.534000,1.120000,2.350773e+01,2.335559e+01,2.323786e+01,2.321014e+01,2.408663e+01,2.293498e+01
9,2000-02-16 05:25:44.694000,1.280000,2.348009e+01,2.331405e+01,2.352847e+01,2.327250e+01,2.407975e+01,2.295557e+01
10,2000-02-16 05:25:44.854000,1.440000,2.356301e+01,2.342477e+01,2.402476e+01,2.341094e+01,2.419653e+01,2.297701e+01
11,2000-02-16 05:25:45.014000,1.600000,2.352847e+01,2.368726e+01,2.423085e+01,2.354919e+01,2.425830e+01,2.300047e+01
12,2000-02-16 05:25:45.174000,1.760000,2.356991e+01,2.387336e+01,2.432689e+01,2.357682e+01,2.432689e+01,2.301840e+01
13,2000-02-16 05:25:45.334000,1.920000,2.370106e+01,2.397661e+01,2.466915e+01,2.350082e+01,2.427202e+01,2.304489e+01
14,2000-02-16 05:25:45.494000,2.080000,2.368726e+01,2.401100e+01,2.477844e+01,2.358373e+01,2.431317e+01,2.307168e+01
15,2000-02-16 05:25:45.654000,2.240000,2.368726e+01,2.421712e+01,2.484669e+01,2.373554e+01,2.441598e+01,2.308472e+01
16,2000-02-16 05:25:45.815000,2.401000,2.372175e+01,2.430631e+01,2.499668e+01,2.372175e+01,2.440228e+01,2.309637e+01
17,2000-02-16 05:25:45.975000,2.561000,2.372865e+01,2.435431e+01,2.505798e+01,2.377691e+01,2.438172e+01,2.311476e+01
18,2000-02-16 05:25:46.135000,2.721000,2.379758e+01,2.439543e+01,2.515326e+01,2.383892e+01,2.427888e+01,2.313745e+01
19,2000-02-16 05:25:46.295000,2.881000,2.386648e+01,2.449816e+01,2.525525e+01,2.392156e+01,2.432689e+01,2.315360e+01
20,2000-02-16 05:25:46.455000,3.041000,2.384581e+01,2.459395e+01,2.531640e+01,2.402476e+01,2.429945e+01,2.316893e+01
21,2000-02-16 05:25:46.615000,3.201000,2.391467e+01,2.464181e+01,2.548607e+01,2.409350e+01,2.434745e+01,2.318223e+01
22,2000-02-16 05:25:46.775000,3.361000,2.394909e+01,2.472381e+01,2.543180e+01,2.421026e+01,2.431317e+01,2.320021e+01
23,2000-02-16 05:25:46.936000,3.522000,2.399037e+01,2.483305e+01,2.543180e+01,2.416906e+01,2.439543e+01,2.321081e+01
24,2000-02-16 05:25:47.095000,3.681000,2.398349e+01,2.478527e+01,2.558774e+01,2.424457e+01,2.445023e+01,2.322785e+01
25,2000-02-16 05:25:47.255000,3.841000,2.403163e+01,2.483987e+01,2.554708e+01,2.429945e+01,2.451185e+01,2.324366e+01
26,2000-02-16 05:25:47.415000,4.001000,2.410724e+01,2.492171e+01,2.554708e+01,2.429259e+01,2.444338e+01,2.326427e+01
27,2000-02-16 05:25:47.575000,4.161000,2.413472e+01,2.495580e+01,2.558774e+01,2.447077e+01,2.442968e+01,2.327539e+01
28,2000-02-16 05:25:47.735000,4.321000,2.413472e+01,2.501031e+01,2.560806e+01,2.437487e+01,2.455291e+01,2.325816e+01
29,2000-02-16 05:25:47.895000,4.481000,2.413472e+01,2.505798e+01,2.566900e+01,2.441598e+01,2.438172e+01,2.326006e+01
30,2000-02-16 05:25:48.055000,4.641000,2.412098e+01,2.504436e+01,2.565546e+01,2.448447e+01,2.440913e+01,2.327658e+01
31,2000-02-16 05:25:48.215000,4.801000,2.412098e+01,2.506479e+01,2.570961e+01,2.450500e+01,2.445023e+01,2.328070e+01
32,2000-02-16 05:25:48.375000,4.961000,2.424457e+01,2.505798e+01,2.575021e+01,2.457343e+01,2.437487e+01,2.329280e+01
33,2000-02-16 05:25:48.535000,5.121000,2.428574e+01,2.509883e+01,2.579755e+01,2.456659e+01,2.445023e+01,2.330334e+01
34,2000-02-16 05:25:48.695000,5.281000,2.425143e+01,2.516006e+01,2.586514e+01,2.465549e+01,2.442283e+01,2.332020e+01
35,2000-02-16 05:25:48.855000,5.441000,2.426516e+01,2.518727e+01,2.584487e+01,2.467599e+01,2.440228e+01,2.334239e+01
36,2000-02-16 05:25:49.015000,5.601000,2.434060e+01,2.518727e+01,2.587189e+01,2.476479e+01,2.441598e+01,2.335695e+01
37,2000-02-16 05:25:49.175000,5.761000,2.432689e+01,2.522807e+01,2.591918e+01,2.481940e+01,2.442283e+01,2.336946e+01
