frame,abstime,reltime,april15_microphoneBoardC_2.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_2.seq:Polygon 1 [C]:max,april15_microphoneBoardC_2.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_2.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_2.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_2.seq:Rectangle 5 [C]:mean
1,2000-02-14 21:42:44.665000,0.000000,2.352847e+01,2.346626e+01,2.341094e+01,2.348700e+01,2.340402e+01,2.321236e+01
2,2000-02-14 21:42:44.825000,0.160000,2.350082e+01,2.348009e+01,2.342477e+01,2.354228e+01,2.341094e+01,2.320851e+01
3,2000-02-14 21:42:44.985000,0.320000,2.352155e+01,2.351464e+01,2.341786e+01,2.348009e+01,2.335559e+01,2.320805e+01
4,2000-02-14 21:42:45.145000,0.480000,2.352847e+01,2.347318e+01,2.340402e+01,2.349391e+01,2.339710e+01,2.320392e+01
5,2000-02-14 21:42:45.305000,0.640000,2.356991e+01,2.351464e+01,2.341786e+01,2.352155e+01,2.337635e+01,2.320514e+01
6,2000-02-14 21:42:45.465000,0.800000,2.353537e+01,2.350082e+01,2.336251e+01,2.348009e+01,2.345935e+01,2.320251e+01
7,2000-02-14 21:42:45.625000,0.960000,2.350082e+01,2.348700e+01,2.339018e+01,2.348009e+01,2.336943e+01,2.320093e+01
8,2000-02-14 21:42:45.785000,1.120000,2.348009e+01,2.348009e+01,2.341786e+01,2.365276e+01,2.336251e+01,2.320495e+01
9,2000-02-14 21:42:45.945000,1.280000,2.371485e+01,2.349391e+01,2.346626e+01,2.352847e+01,2.338326e+01,2.318378e+01
10,2000-02-14 21:42:46.105000,1.440000,2.359063e+01,2.352847e+01,2.379069e+01,2.354919e+01,2.340402e+01,2.318971e+01
11,2000-02-14 21:42:46.265000,1.600000,2.373554e+01,2.370106e+01,2.400413e+01,2.364586e+01,2.347318e+01,2.320579e+01
12,2000-02-14 21:42:46.425000,1.760000,2.382515e+01,2.409350e+01,2.423085e+01,2.368036e+01,2.361135e+01,2.323215e+01
13,2000-02-14 21:42:46.585000,1.920000,2.386648e+01,2.416220e+01,2.417593e+01,2.369416e+01,2.360444e+01,2.325155e+01
14,2000-02-14 21:42:46.745000,2.080000,2.389402e+01,2.421712e+01,2.432689e+01,2.381137e+01,2.370795e+01,2.327123e+01
15,2000-02-14 21:42:46.905000,2.240000,2.399725e+01,2.434060e+01,2.440913e+01,2.394221e+01,2.373554e+01,2.329688e+01
16,2000-02-14 21:42:47.065000,2.400000,2.396973e+01,2.456659e+01,2.452554e+01,2.394909e+01,2.371485e+01,2.331921e+01
17,2000-02-14 21:42:47.225000,2.560000,2.412785e+01,2.461447e+01,2.471015e+01,2.405226e+01,2.378380e+01,2.333660e+01
18,2000-02-14 21:42:47.385000,2.720000,2.408663e+01,2.471015e+01,2.455975e+01,2.410037e+01,2.382515e+01,2.332537e+01
19,2000-02-14 21:42:47.545000,2.880000,2.401788e+01,2.473747e+01,2.468282e+01,2.414846e+01,2.374244e+01,2.333831e+01
20,2000-02-14 21:42:47.705000,3.040000,2.417593e+01,2.480575e+01,2.474430e+01,2.425143e+01,2.378380e+01,2.335903e+01
21,2000-02-14 21:42:47.865000,3.200000,2.415533e+01,2.490808e+01,2.472381e+01,2.440228e+01,2.381137e+01,2.337454e+01
