frame,abstime,reltime,april15_microphoneBoardC_1.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_1.seq:Polygon 1 [C]:max,april15_microphoneBoardC_1.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_1.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_1.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_1.seq:Rectangle 5 [C]:mean
1,2000-02-14 21:34:07.926000,0.000000,2.361135e+01,2.348700e+01,2.343169e+01,2.343169e+01,2.357682e+01,2.314107e+01
2,2000-02-14 21:34:08.086000,0.160000,2.339018e+01,2.357682e+01,2.348700e+01,2.345243e+01,2.345243e+01,2.314198e+01
3,2000-02-14 21:34:08.246000,0.320000,2.345935e+01,2.353537e+01,2.353537e+01,2.347318e+01,2.343860e+01,2.313984e+01
4,2000-02-14 21:34:08.406000,0.480000,2.348700e+01,2.361825e+01,2.343169e+01,2.348009e+01,2.345935e+01,2.313808e+01
5,2000-02-14 21:34:08.566000,0.640000,2.347318e+01,2.350773e+01,2.345243e+01,2.340402e+01,2.341094e+01,2.314120e+01
6,2000-02-14 21:34:08.726000,0.800000,2.354228e+01,2.353537e+01,2.346626e+01,2.346626e+01,2.340402e+01,2.315719e+01
7,2000-02-14 21:34:08.886000,0.960000,2.356301e+01,2.355610e+01,2.348009e+01,2.354228e+01,2.345243e+01,2.315368e+01
8,2000-02-14 21:34:09.046000,1.120000,2.355610e+01,2.348700e+01,2.356301e+01,2.345935e+01,2.336251e+01,2.315243e+01
9,2000-02-14 21:34:09.206000,1.280000,2.356301e+01,2.359063e+01,2.353537e+01,2.356301e+01,2.356301e+01,2.316497e+01
10,2000-02-14 21:34:09.366000,1.440000,2.365966e+01,2.371485e+01,2.381137e+01,2.355610e+01,2.347318e+01,2.318724e+01
11,2000-02-14 21:34:09.526000,1.600000,2.373554e+01,2.385270e+01,2.409350e+01,2.361135e+01,2.353537e+01,2.321004e+01
12,2000-02-14 21:34:09.686000,1.760000,2.379758e+01,2.400413e+01,2.420339e+01,2.377001e+01,2.359063e+01,2.324285e+01
13,2000-02-14 21:34:09.846000,1.920000,2.384581e+01,2.418966e+01,2.427202e+01,2.373554e+01,2.363896e+01,2.326057e+01
14,2000-02-14 21:34:10.006000,2.080000,2.386648e+01,2.428574e+01,2.440913e+01,2.392156e+01,2.365276e+01,2.327742e+01
15,2000-02-14 21:34:10.166000,2.240000,2.392844e+01,2.438858e+01,2.447762e+01,2.394221e+01,2.371485e+01,2.329800e+01
16,2000-02-14 21:34:10.326000,2.400000,2.391467e+01,2.467599e+01,2.453922e+01,2.400413e+01,2.373554e+01,2.331776e+01
