frame,abstime,reltime,april10_baselineBoardC_2.seq:Rectangle 1 [C]:max,april10_baselineBoardC_2.seq:Polygon 1 [C]:max,april10_baselineBoardC_2.seq:Rectangle 2 [C]:max,april10_baselineBoardC_2.seq:Rectangle 3 [C]:max,april10_baselineBoardC_2.seq:Rectangle 4 [C]:max,april10_baselineBoardC_2.seq:Rectangle 5 [C]:mean
1,2000-02-10 06:23:05.599000,0.000000,2.363206e+01,2.398349e+01,2.371485e+01,2.358373e+01,2.412785e+01,2.340019e+01
2,2000-02-10 06:23:05.759000,0.160000,2.354919e+01,2.400413e+01,2.376312e+01,2.365276e+01,2.412785e+01,2.342912e+01
3,2000-02-10 06:23:05.919000,0.320000,2.361135e+01,2.394221e+01,2.375623e+01,2.363896e+01,2.413472e+01,2.343660e+01
4,2000-02-10 06:23:06.079000,0.480000,2.361825e+01,2.397661e+01,2.379758e+01,2.371485e+01,2.421712e+01,2.343970e+01
5,2000-02-10 06:23:06.239000,0.640000,2.365276e+01,2.397661e+01,2.377001e+01,2.362515e+01,2.412785e+01,2.343632e+01
6,2000-02-10 06:23:06.399000,0.800000,2.363896e+01,2.408663e+01,2.374933e+01,2.366656e+01,2.414846e+01,2.343667e+01
7,2000-02-10 06:23:06.559000,0.960000,2.366656e+01,2.405913e+01,2.384581e+01,2.363896e+01,2.413472e+01,2.344160e+01
8,2000-02-10 06:23:06.719000,1.120000,2.361825e+01,2.400413e+01,2.372865e+01,2.368036e+01,2.414846e+01,2.343781e+01
9,2000-02-10 06:23:06.879000,1.280000,2.365966e+01,2.405913e+01,2.398349e+01,2.367346e+01,2.414846e+01,2.344392e+01
10,2000-02-10 06:23:07.039000,1.440000,2.379069e+01,2.413472e+01,2.420339e+01,2.368036e+01,2.421712e+01,2.347370e+01
11,2000-02-10 06:23:07.199000,1.600000,2.383204e+01,2.424457e+01,2.447077e+01,2.378380e+01,2.432003e+01,2.350011e+01
12,2000-02-10 06:23:07.359000,1.760000,2.397661e+01,2.436116e+01,2.462130e+01,2.386648e+01,2.424457e+01,2.352151e+01
13,2000-02-10 06:23:07.519000,1.920000,2.401100e+01,2.477844e+01,2.490808e+01,2.395597e+01,2.428574e+01,2.354694e+01
14,2000-02-10 06:23:07.679000,2.080000,2.408663e+01,2.466232e+01,2.504436e+01,2.412785e+01,2.444338e+01,2.357734e+01
15,2000-02-10 06:23:07.839000,2.240000,2.415533e+01,2.481257e+01,2.506479e+01,2.419653e+01,2.436802e+01,2.358608e+01
16,2000-02-10 06:23:07.999000,2.400000,2.423771e+01,2.495580e+01,2.524846e+01,2.429945e+01,2.436116e+01,2.361171e+01
17,2000-02-10 06:23:08.159000,2.560000,2.436802e+01,2.498987e+01,2.530961e+01,2.427888e+01,2.438858e+01,2.362681e+01
18,2000-02-10 06:23:08.319000,2.720000,2.433374e+01,2.511924e+01,2.523486e+01,2.447077e+01,2.437487e+01,2.365251e+01
19,2000-02-10 06:23:08.479000,2.880000,2.434060e+01,2.521447e+01,2.528243e+01,2.448447e+01,2.436116e+01,2.366728e+01
20,2000-02-10 06:23:08.639000,3.040000,2.437487e+01,2.528243e+01,2.532998e+01,2.456659e+01,2.446393e+01,2.368489e+01
21,2000-02-10 06:23:08.800000,3.201000,2.439543e+01,2.532319e+01,2.531640e+01,2.462814e+01,2.440913e+01,2.370399e+01
22,2000-02-10 06:23:08.959000,3.360000,2.444338e+01,2.538430e+01,2.542502e+01,2.471698e+01,2.445708e+01,2.372577e+01
23,2000-02-10 06:23:09.119000,3.520000,2.443653e+01,2.550641e+01,2.555386e+01,2.473747e+01,2.451185e+01,2.373736e+01
24,2000-02-10 06:23:09.279000,3.680000,2.451185e+01,2.548607e+01,2.558774e+01,2.486716e+01,2.442968e+01,2.375106e+01
