frame,abstime,reltime,april10_baselineBoardC_1.seq:Rectangle 1 [C]:max,april10_baselineBoardC_1.seq:Polygon 1 [C]:max,april10_baselineBoardC_1.seq:Rectangle 2 [C]:max,april10_baselineBoardC_1.seq:Rectangle 3 [C]:max,april10_baselineBoardC_1.seq:Rectangle 4 [C]:max,april10_baselineBoardC_1.seq:Rectangle 5 [C]:mean
1,2000-02-10 06:14:28.829000,0.000000,2.348700e+01,2.386648e+01,2.354228e+01,2.352155e+01,2.413472e+01,2.334219e+01
2,2000-02-10 06:14:28.989000,0.160000,2.348009e+01,2.405913e+01,2.359063e+01,2.345935e+01,2.407288e+01,2.332747e+01
3,2000-02-10 06:14:29.149000,0.320000,2.348700e+01,2.390091e+01,2.347318e+01,2.351464e+01,2.408663e+01,2.332279e+01
4,2000-02-10 06:14:29.309000,0.480000,2.342477e+01,2.388025e+01,2.354228e+01,2.365966e+01,2.401788e+01,2.332630e+01
5,2000-02-10 06:14:29.469000,0.640000,2.343169e+01,2.390779e+01,2.354919e+01,2.357682e+01,2.406601e+01,2.332095e+01
6,2000-02-10 06:14:29.629000,0.800000,2.347318e+01,2.394221e+01,2.356301e+01,2.346626e+01,2.406601e+01,2.331891e+01
7,2000-02-10 06:14:29.789000,0.960000,2.341094e+01,2.386648e+01,2.361135e+01,2.349391e+01,2.402476e+01,2.331190e+01
8,2000-02-10 06:14:29.949000,1.120000,2.348009e+01,2.391467e+01,2.352155e+01,2.349391e+01,2.396973e+01,2.331994e+01
9,2000-02-10 06:14:30.109000,1.280000,2.361825e+01,2.399037e+01,2.384581e+01,2.348009e+01,2.419653e+01,2.334245e+01
10,2000-02-10 06:14:30.269000,1.440000,2.377001e+01,2.396285e+01,2.421712e+01,2.371485e+01,2.421026e+01,2.337232e+01
11,2000-02-10 06:14:30.429000,1.600000,2.385270e+01,2.418280e+01,2.432003e+01,2.365276e+01,2.429945e+01,2.339810e+01
12,2000-02-10 06:14:30.589000,1.760000,2.396973e+01,2.432003e+01,2.453922e+01,2.376312e+01,2.427888e+01,2.342663e+01
13,2000-02-10 06:14:30.749000,1.920000,2.399725e+01,2.445708e+01,2.459395e+01,2.386648e+01,2.423771e+01,2.345163e+01
14,2000-02-10 06:14:30.909000,2.080000,2.407975e+01,2.468282e+01,2.474430e+01,2.394221e+01,2.421712e+01,2.347811e+01
15,2000-02-10 06:14:31.069000,2.240000,2.416906e+01,2.475113e+01,2.486034e+01,2.415533e+01,2.434745e+01,2.350658e+01
16,2000-02-10 06:14:31.229000,2.400000,2.412098e+01,2.483305e+01,2.500350e+01,2.419653e+01,2.449131e+01,2.353255e+01
17,2000-02-10 06:14:31.389000,2.560000,2.418966e+01,2.491490e+01,2.501031e+01,2.439543e+01,2.440228e+01,2.355264e+01
