frame,abstime,reltime,april10_baselineBoardD_0.seq:Rectangle 1 [C]:max,april10_baselineBoardD_0.seq:Polygon 1 [C]:max,april10_baselineBoardD_0.seq:Rectangle 2 [C]:max,april10_baselineBoardD_0.seq:Rectangle 3 [C]:max,april10_baselineBoardD_0.seq:Rectangle 4 [C]:max,april10_baselineBoardD_0.seq:Rectangle 5 [C]:mean
1,2000-02-10 07:20:24.607000,0.000000,2.430631e+01,2.374933e+01,2.353537e+01,2.356991e+01,2.361825e+01,2.336415e+01
2,2000-02-10 07:20:24.767000,0.160000,2.428574e+01,2.366656e+01,2.350082e+01,2.354228e+01,2.358373e+01,2.336462e+01
3,2000-02-10 07:20:24.927000,0.320000,2.426516e+01,2.362515e+01,2.347318e+01,2.348009e+01,2.361825e+01,2.335887e+01
4,2000-02-10 07:20:25.087000,0.480000,2.424457e+01,2.370106e+01,2.359063e+01,2.351464e+01,2.359754e+01,2.335174e+01
5,2000-02-10 07:20:25.247000,0.640000,2.420339e+01,2.369416e+01,2.356991e+01,2.347318e+01,2.363896e+01,2.335895e+01
6,2000-02-10 07:20:25.407000,0.800000,2.437487e+01,2.377001e+01,2.351464e+01,2.352847e+01,2.363896e+01,2.336326e+01
7,2000-02-10 07:20:25.567000,0.960000,2.441598e+01,2.374933e+01,2.353537e+01,2.348700e+01,2.359754e+01,2.336214e+01
8,2000-02-10 07:20:25.727000,1.120000,2.429259e+01,2.370106e+01,2.350773e+01,2.367346e+01,2.362515e+01,2.337055e+01
9,2000-02-10 07:20:25.887000,1.280000,2.429259e+01,2.376312e+01,2.356301e+01,2.366656e+01,2.357682e+01,2.337688e+01
10,2000-02-10 07:20:26.047000,1.440000,2.440228e+01,2.384581e+01,2.388713e+01,2.382515e+01,2.368036e+01,2.340022e+01
11,2000-02-10 07:20:26.207000,1.600000,2.443653e+01,2.410724e+01,2.410724e+01,2.388025e+01,2.378380e+01,2.342269e+01
12,2000-02-10 07:20:26.367000,1.760000,2.449816e+01,2.427202e+01,2.436802e+01,2.388713e+01,2.380448e+01,2.345259e+01
13,2000-02-10 07:20:26.527000,1.920000,2.457343e+01,2.446393e+01,2.445023e+01,2.412785e+01,2.387336e+01,2.348470e+01
14,2000-02-10 07:20:26.687000,2.080000,2.455975e+01,2.453922e+01,2.453238e+01,2.406601e+01,2.399037e+01,2.350247e+01
15,2000-02-10 07:20:26.847000,2.240000,2.463498e+01,2.464865e+01,2.477844e+01,2.413472e+01,2.396973e+01,2.352564e+01
16,2000-02-10 07:20:27.007000,2.400000,2.467599e+01,2.483305e+01,2.479210e+01,2.407975e+01,2.410037e+01,2.354981e+01
17,2000-02-10 07:20:27.167000,2.560000,2.478527e+01,2.488762e+01,2.497624e+01,2.421026e+01,2.411411e+01,2.356898e+01
18,2000-02-10 07:20:27.327000,2.720000,2.478527e+01,2.496943e+01,2.496261e+01,2.426516e+01,2.417593e+01,2.359200e+01
19,2000-02-10 07:20:27.487000,2.880000,2.483987e+01,2.503074e+01,2.501712e+01,2.433374e+01,2.412098e+01,2.360958e+01
20,2000-02-10 07:20:27.647000,3.040000,2.485351e+01,2.513966e+01,2.507160e+01,2.445708e+01,2.416220e+01,2.362661e+01
21,2000-02-10 07:20:27.807000,3.200000,2.481257e+01,2.528243e+01,2.511924e+01,2.460079e+01,2.416906e+01,2.365250e+01
22,2000-02-10 07:20:27.967000,3.360000,2.492853e+01,2.531640e+01,2.524846e+01,2.449131e+01,2.419653e+01,2.367478e+01
23,2000-02-10 07:20:28.127000,3.520000,2.496261e+01,2.541145e+01,2.522127e+01,2.460763e+01,2.424457e+01,2.370235e+01
24,2000-02-10 07:20:28.287000,3.680000,2.496261e+01,2.547251e+01,2.528243e+01,2.466232e+01,2.426516e+01,2.371092e+01
25,2000-02-10 07:20:28.447000,3.840000,2.496943e+01,2.553353e+01,2.531640e+01,2.470332e+01,2.421712e+01,2.373053e+01
26,2000-02-10 07:20:28.607000,4.000000,2.497624e+01,2.572991e+01,2.541145e+01,2.483305e+01,2.425830e+01,2.374270e+01
27,2000-02-10 07:20:28.767000,4.160000,2.503074e+01,2.562161e+01,2.535715e+01,2.478527e+01,2.430631e+01,2.375875e+01
