frame,abstime,reltime,april15_microphoneBoardB_1.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_1.seq:Polygon 1 [C]:max,april15_microphoneBoardB_1.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_1.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_1.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_1.seq:Rectangle 5 [C]:mean
1,2000-02-14 20:55:47.226000,0.000000,2.316162e+01,2.334174e+01,2.311307e+01,2.322400e+01,2.358373e+01,2.288857e+01
2,2000-02-14 20:55:47.386000,0.160000,2.314081e+01,2.348009e+01,2.325865e+01,2.335559e+01,2.356301e+01,2.289112e+01
3,2000-02-14 20:55:47.546000,0.320000,2.330713e+01,2.341094e+01,2.329328e+01,2.334174e+01,2.354919e+01,2.288470e+01
4,2000-02-14 20:55:47.706000,0.480000,2.311307e+01,2.336251e+01,2.311307e+01,2.323786e+01,2.356301e+01,2.288325e+01
5,2000-02-14 20:55:47.866000,0.640000,2.314081e+01,2.330713e+01,2.318935e+01,2.325865e+01,2.342477e+01,2.288414e+01
6,2000-02-14 20:55:48.026000,0.800000,2.310613e+01,2.337635e+01,2.309919e+01,2.327943e+01,2.343860e+01,2.288330e+01
7,2000-02-14 20:55:48.186000,0.960000,2.314775e+01,2.332097e+01,2.308531e+01,2.326557e+01,2.334866e+01,2.288482e+01
8,2000-02-14 20:55:48.346000,1.120000,2.312000e+01,2.331405e+01,2.323786e+01,2.330713e+01,2.337635e+01,2.288638e+01
9,2000-02-14 20:55:48.506000,1.280000,2.323786e+01,2.339018e+01,2.331405e+01,2.329328e+01,2.343860e+01,2.290015e+01
10,2000-02-14 20:55:48.666000,1.440000,2.324479e+01,2.340402e+01,2.352155e+01,2.339018e+01,2.342477e+01,2.292006e+01
11,2000-02-14 20:55:48.826000,1.600000,2.337635e+01,2.361135e+01,2.372175e+01,2.341786e+01,2.356301e+01,2.294000e+01
12,2000-02-14 20:55:48.986000,1.760000,2.348700e+01,2.389402e+01,2.394909e+01,2.343860e+01,2.361135e+01,2.297175e+01
13,2000-02-14 20:55:49.146000,1.920000,2.357682e+01,2.408663e+01,2.403163e+01,2.348700e+01,2.361135e+01,2.302636e+01
14,2000-02-14 20:55:49.306000,2.080000,2.368726e+01,2.410037e+01,2.414159e+01,2.354228e+01,2.376312e+01,2.305796e+01
15,2000-02-14 20:55:49.466000,2.240000,2.368036e+01,2.425143e+01,2.425830e+01,2.367346e+01,2.368726e+01,2.307746e+01
16,2000-02-14 20:55:49.626000,2.400000,2.379069e+01,2.437487e+01,2.423085e+01,2.377691e+01,2.374933e+01,2.310294e+01
17,2000-02-14 20:55:49.786000,2.560000,2.381826e+01,2.450500e+01,2.434745e+01,2.384581e+01,2.379069e+01,2.311545e+01
18,2000-02-14 20:55:49.946000,2.720000,2.391467e+01,2.452554e+01,2.449816e+01,2.389402e+01,2.377691e+01,2.313185e+01
19,2000-02-14 20:55:50.106000,2.880000,2.380448e+01,2.465549e+01,2.442283e+01,2.397661e+01,2.377001e+01,2.314929e+01
20,2000-02-14 20:55:50.266000,3.040000,2.383204e+01,2.468965e+01,2.453238e+01,2.403163e+01,2.383892e+01,2.317646e+01
21,2000-02-14 20:55:50.426000,3.200000,2.390091e+01,2.486034e+01,2.458711e+01,2.416906e+01,2.379758e+01,2.318665e+01
22,2000-02-14 20:55:50.586000,3.360000,2.392844e+01,2.480575e+01,2.468282e+01,2.416906e+01,2.383204e+01,2.320520e+01
23,2000-02-14 20:55:50.746000,3.520000,2.396285e+01,2.487398e+01,2.471698e+01,2.425830e+01,2.385270e+01,2.322330e+01
24,2000-02-14 20:55:50.906000,3.680000,2.394221e+01,2.494898e+01,2.471015e+01,2.425830e+01,2.387336e+01,2.323591e+01
25,2000-02-14 20:55:51.066000,3.840000,2.400413e+01,2.498306e+01,2.470332e+01,2.432003e+01,2.379069e+01,2.324931e+01
26,2000-02-14 20:55:51.226000,4.000000,2.408663e+01,2.501031e+01,2.475796e+01,2.438172e+01,2.394909e+01,2.325711e+01
27,2000-02-14 20:55:51.386000,4.160000,2.410037e+01,2.501712e+01,2.475113e+01,2.443653e+01,2.399037e+01,2.327327e+01
28,2000-02-14 20:55:51.546000,4.320000,2.412098e+01,2.515326e+01,2.490808e+01,2.446393e+01,2.389402e+01,2.328291e+01
29,2000-02-14 20:55:51.706000,4.480000,2.416906e+01,2.521447e+01,2.484669e+01,2.448447e+01,2.392156e+01,2.328928e+01
30,2000-02-14 20:55:51.866000,4.640000,2.414159e+01,2.514646e+01,2.488080e+01,2.451185e+01,2.380448e+01,2.330131e+01
31,2000-02-14 20:55:52.026000,4.800000,2.414159e+01,2.520087e+01,2.486034e+01,2.453238e+01,2.381137e+01,2.331581e+01
32,2000-02-14 20:55:52.186000,4.960000,2.422398e+01,2.526205e+01,2.495580e+01,2.455291e+01,2.384581e+01,2.332515e+01
33,2000-02-14 20:55:52.346000,5.120000,2.425830e+01,2.531640e+01,2.498306e+01,2.464181e+01,2.390091e+01,2.333012e+01
34,2000-02-14 20:55:52.506000,5.280000,2.423085e+01,2.525525e+01,2.490808e+01,2.466232e+01,2.389402e+01,2.335268e+01
35,2000-02-14 20:55:52.666000,5.440000,2.427202e+01,2.532319e+01,2.497624e+01,2.474430e+01,2.381826e+01,2.336507e+01
36,2000-02-14 20:55:52.826000,5.600000,2.433374e+01,2.535036e+01,2.503074e+01,2.473064e+01,2.388025e+01,2.337254e+01
