frame,abstime,reltime,april3_microphoneBoardC_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardC_4.seq:Polygon 1 [C]:max,april3_microphoneBoardC_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardC_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardC_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardC_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 07:51:29.314000,0.000000,2.447762e+01,2.425830e+01,2.406601e+01,2.415533e+01,2.429259e+01,2.381579e+01
2,2000-02-03 07:51:29.474000,0.160000,2.460079e+01,2.425830e+01,2.412785e+01,2.421026e+01,2.430631e+01,2.382277e+01
3,2000-02-03 07:51:29.634000,0.320000,2.456659e+01,2.425143e+01,2.416906e+01,2.412098e+01,2.432689e+01,2.382723e+01
4,2000-02-03 07:51:29.794000,0.480000,2.449816e+01,2.427202e+01,2.403851e+01,2.418280e+01,2.440913e+01,2.382872e+01
5,2000-02-03 07:51:29.954000,0.640000,2.451185e+01,2.434745e+01,2.411411e+01,2.427888e+01,2.440228e+01,2.382762e+01
6,2000-02-03 07:51:30.114000,0.800000,2.449131e+01,2.432689e+01,2.410724e+01,2.429259e+01,2.440913e+01,2.382497e+01
7,2000-02-03 07:51:30.274000,0.960000,2.448447e+01,2.432689e+01,2.405226e+01,2.417593e+01,2.434060e+01,2.382608e+01
8,2000-02-03 07:51:30.434000,1.120000,2.442283e+01,2.434745e+01,2.405226e+01,2.417593e+01,2.438172e+01,2.383455e+01
9,2000-02-03 07:51:30.594000,1.280000,2.444338e+01,2.429945e+01,2.427202e+01,2.426516e+01,2.439543e+01,2.385880e+01
10,2000-02-03 07:51:30.754000,1.440000,2.453922e+01,2.435431e+01,2.441598e+01,2.428574e+01,2.440913e+01,2.387909e+01
11,2000-02-03 07:51:30.914000,1.600000,2.458711e+01,2.441598e+01,2.449816e+01,2.442283e+01,2.445023e+01,2.389870e+01
12,2000-02-03 07:51:31.072000,1.758000,2.464181e+01,2.466915e+01,2.462814e+01,2.448447e+01,2.447762e+01,2.392359e+01
13,2000-02-03 07:51:31.232000,1.918000,2.471015e+01,2.477162e+01,2.473747e+01,2.451869e+01,2.447077e+01,2.394691e+01
14,2000-02-03 07:51:31.392000,2.078000,2.476479e+01,2.492853e+01,2.489444e+01,2.453238e+01,2.450500e+01,2.396110e+01
15,2000-02-03 07:51:31.552000,2.238000,2.477162e+01,2.507841e+01,2.492171e+01,2.459395e+01,2.452554e+01,2.399121e+01
16,2000-02-03 07:51:31.712000,2.398000,2.481940e+01,2.513285e+01,2.502393e+01,2.473747e+01,2.449816e+01,2.400242e+01
