frame,abstime,reltime,april15_microphoneBoardB_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_0.seq:Polygon 1 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 5 [C]:mean
43,2000-02-14 20:47:16.727000,6.722000,2.420339e+01,2.548607e+01,2.524166e+01,2.481257e+01,2.370795e+01,2.335953e+01
44,2000-02-14 20:47:16.888000,6.883000,2.439543e+01,2.545894e+01,2.531640e+01,2.490126e+01,2.381826e+01,2.337234e+01
45,2000-02-14 20:47:17.048000,7.043000,2.422398e+01,2.552675e+01,2.536394e+01,2.488762e+01,2.381826e+01,2.337913e+01
46,2000-02-14 20:47:17.208000,7.203000,2.427202e+01,2.554031e+01,2.537072e+01,2.488080e+01,2.380448e+01,2.337302e+01
47,2000-02-14 20:47:17.368000,7.363000,2.429945e+01,2.562838e+01,2.539109e+01,2.484669e+01,2.375623e+01,2.337846e+01
48,2000-02-14 20:47:17.528000,7.523000,2.434745e+01,2.562838e+01,2.542502e+01,2.498987e+01,2.375623e+01,2.338673e+01
49,2000-02-14 20:47:17.688000,7.683000,2.443653e+01,2.564192e+01,2.549285e+01,2.492853e+01,2.377691e+01,2.339448e+01
50,2000-02-14 20:47:17.848000,7.843000,2.438172e+01,2.560806e+01,2.548607e+01,2.509202e+01,2.376312e+01,2.340219e+01
51,2000-02-14 20:47:18.008000,8.003000,2.447762e+01,2.564192e+01,2.543859e+01,2.502393e+01,2.377691e+01,2.341508e+01
52,2000-02-14 20:47:18.168000,8.163000,2.439543e+01,2.566224e+01,2.562838e+01,2.507160e+01,2.377001e+01,2.342559e+01
53,2000-02-14 20:47:18.328000,8.323000,2.446393e+01,2.575021e+01,2.554708e+01,2.506479e+01,2.388025e+01,2.343863e+01
54,2000-02-14 20:47:18.488000,8.483000,2.451185e+01,2.584487e+01,2.551319e+01,2.502393e+01,2.389402e+01,2.344028e+01
55,2000-02-14 20:47:18.648000,8.643000,2.442968e+01,2.579078e+01,2.553353e+01,2.506479e+01,2.381826e+01,2.344781e+01
56,2000-02-14 20:47:18.808000,8.803000,2.444338e+01,2.570961e+01,2.560129e+01,2.514646e+01,2.383892e+01,2.345440e+01
57,2000-02-14 20:47:18.968000,8.963000,2.448447e+01,2.572991e+01,2.560806e+01,2.509883e+01,2.383204e+01,2.346404e+01
58,2000-02-14 20:47:19.127000,9.122000,2.450500e+01,2.576373e+01,2.563515e+01,2.515326e+01,2.381826e+01,2.347364e+01
59,2000-02-14 20:47:19.287000,9.282000,2.451185e+01,2.575021e+01,2.560129e+01,2.513966e+01,2.376312e+01,2.346772e+01
