frame,abstime,reltime,april16_microphoneBoardD_0.seq:Rectangle 1 [C]:max,april16_microphoneBoardD_0.seq:Polygon 1 [C]:max,april16_microphoneBoardD_0.seq:Rectangle 2 [C]:max,april16_microphoneBoardD_0.seq:Rectangle 3 [C]:max,april16_microphoneBoardD_0.seq:Rectangle 4 [C]:max,april16_microphoneBoardD_0.seq:Rectangle 5 [C]:mean
1,2000-02-16 05:17:06.693000,0.000000,2.389402e+01,2.324479e+01,2.309919e+01,2.319628e+01,2.387336e+01,2.287226e+01
2,2000-02-16 05:17:06.853000,0.160000,2.380448e+01,2.324479e+01,2.309919e+01,2.321014e+01,2.390779e+01,2.287354e+01
3,2000-02-16 05:17:07.013000,0.320000,2.388025e+01,2.323786e+01,2.314081e+01,2.323786e+01,2.392156e+01,2.290370e+01
4,2000-02-16 05:17:07.173000,0.480000,2.370795e+01,2.325172e+01,2.329328e+01,2.335559e+01,2.400413e+01,2.291570e+01
5,2000-02-16 05:17:07.333000,0.640000,2.378380e+01,2.336251e+01,2.316162e+01,2.334174e+01,2.383204e+01,2.290816e+01
6,2000-02-16 05:17:07.493000,0.800000,2.375623e+01,2.337635e+01,2.321014e+01,2.330020e+01,2.399037e+01,2.290698e+01
7,2000-02-16 05:17:07.653000,0.960000,2.370795e+01,2.345935e+01,2.318242e+01,2.326557e+01,2.410724e+01,2.291386e+01
8,2000-02-16 05:17:07.813000,1.120000,2.372865e+01,2.331405e+01,2.319628e+01,2.319628e+01,2.383892e+01,2.290785e+01
9,2000-02-16 05:17:07.973000,1.280000,2.363896e+01,2.327943e+01,2.325865e+01,2.321707e+01,2.385959e+01,2.290879e+01
10,2000-02-16 05:17:08.135000,1.442000,2.371485e+01,2.339018e+01,2.363896e+01,2.336251e+01,2.404538e+01,2.292605e+01
11,2000-02-16 05:17:08.295000,1.602000,2.365966e+01,2.364586e+01,2.396973e+01,2.343860e+01,2.395597e+01,2.294275e+01
12,2000-02-16 05:17:08.455000,1.762000,2.376312e+01,2.370106e+01,2.420339e+01,2.341094e+01,2.411411e+01,2.296656e+01
13,2000-02-16 05:17:08.615000,1.922000,2.382515e+01,2.390091e+01,2.444338e+01,2.340402e+01,2.410037e+01,2.298201e+01
14,2000-02-16 05:17:08.775000,2.082000,2.378380e+01,2.405226e+01,2.455291e+01,2.359754e+01,2.406601e+01,2.300151e+01
15,2000-02-16 05:17:08.935000,2.242000,2.381826e+01,2.414159e+01,2.474430e+01,2.370795e+01,2.419653e+01,2.302385e+01
16,2000-02-16 05:17:09.095000,2.402000,2.390779e+01,2.437487e+01,2.490808e+01,2.377691e+01,2.429259e+01,2.314247e+01
17,2000-02-16 05:17:09.255000,2.562000,2.398349e+01,2.441598e+01,2.503755e+01,2.381137e+01,2.436802e+01,2.316626e+01
18,2000-02-16 05:17:09.415000,2.722000,2.392156e+01,2.452554e+01,2.513966e+01,2.394221e+01,2.433374e+01,2.317947e+01
19,2000-02-16 05:17:09.575000,2.882000,2.400413e+01,2.458711e+01,2.527564e+01,2.404538e+01,2.422398e+01,2.319433e+01
20,2000-02-16 05:17:09.735000,3.042000,2.410724e+01,2.466232e+01,2.529602e+01,2.406601e+01,2.427888e+01,2.321373e+01
21,2000-02-16 05:17:09.895000,3.202000,2.405226e+01,2.476479e+01,2.533677e+01,2.410724e+01,2.430631e+01,2.322150e+01
22,2000-02-16 05:17:10.055000,3.362000,2.409350e+01,2.480575e+01,2.541823e+01,2.423085e+01,2.432689e+01,2.324221e+01
23,2000-02-16 05:17:10.215000,3.522000,2.412098e+01,2.487398e+01,2.547929e+01,2.427888e+01,2.438172e+01,2.325639e+01
24,2000-02-16 05:17:10.375000,3.682000,2.404538e+01,2.507841e+01,2.550641e+01,2.430631e+01,2.434060e+01,2.326296e+01
25,2000-02-16 05:17:10.535000,3.842000,2.412098e+01,2.496261e+01,2.559451e+01,2.438172e+01,2.436802e+01,2.327745e+01
26,2000-02-16 05:17:10.695000,4.002000,2.415533e+01,2.503755e+01,2.560129e+01,2.449816e+01,2.433374e+01,2.329708e+01
27,2000-02-16 05:17:10.855000,4.162000,2.421712e+01,2.503755e+01,2.564192e+01,2.444338e+01,2.427202e+01,2.330738e+01
28,2000-02-16 05:17:11.015000,4.322000,2.419653e+01,2.508521e+01,2.566224e+01,2.452554e+01,2.440228e+01,2.331894e+01
29,2000-02-16 05:17:11.175000,4.482000,2.418966e+01,2.518047e+01,2.569608e+01,2.454607e+01,2.434060e+01,2.333010e+01
30,2000-02-16 05:17:11.335000,4.642000,2.418280e+01,2.514646e+01,2.567577e+01,2.468282e+01,2.427888e+01,2.333982e+01
31,2000-02-16 05:17:11.495000,4.802000,2.423771e+01,2.520087e+01,2.573668e+01,2.471015e+01,2.433374e+01,2.335789e+01
32,2000-02-16 05:17:11.655000,4.962000,2.427202e+01,2.525525e+01,2.569608e+01,2.474430e+01,2.436116e+01,2.336633e+01
33,2000-02-16 05:17:11.815000,5.122000,2.425830e+01,2.528243e+01,2.575697e+01,2.464865e+01,2.438172e+01,2.337724e+01
34,2000-02-16 05:17:11.975000,5.282000,2.430631e+01,2.523486e+01,2.582459e+01,2.474430e+01,2.432689e+01,2.337991e+01
35,2000-02-16 05:17:12.135000,5.442000,2.427888e+01,2.544537e+01,2.583135e+01,2.490126e+01,2.430631e+01,2.338788e+01
36,2000-02-16 05:17:12.295000,5.602000,2.429259e+01,2.533677e+01,2.585838e+01,2.478527e+01,2.437487e+01,2.339736e+01
37,2000-02-16 05:17:12.455000,5.762000,2.435431e+01,2.532998e+01,2.591243e+01,2.492171e+01,2.432689e+01,2.340469e+01
38,2000-02-16 05:17:12.615000,5.922000,2.440228e+01,2.536394e+01,2.592593e+01,2.492853e+01,2.429259e+01,2.341053e+01
39,2000-02-16 05:17:12.776000,6.083000,2.433374e+01,2.531640e+01,2.589216e+01,2.486034e+01,2.434060e+01,2.339577e+01
40,2000-02-16 05:17:12.935000,6.242000,2.436802e+01,2.537072e+01,2.591918e+01,2.491490e+01,2.430631e+01,2.340838e+01
41,2000-02-16 05:17:13.095000,6.402000,2.445023e+01,2.548607e+01,2.595969e+01,2.487398e+01,2.435431e+01,2.342034e+01
42,2000-02-16 05:17:13.255000,6.562000,2.443653e+01,2.544537e+01,2.579078e+01,2.496261e+01,2.432689e+01,2.343083e+01
