frame,abstime,reltime,april10_baselineBoardB_2.seq:Rectangle 1 [C]:max,april10_baselineBoardB_2.seq:Polygon 1 [C]:max,april10_baselineBoardB_2.seq:Rectangle 2 [C]:max,april10_baselineBoardB_2.seq:Rectangle 3 [C]:max,april10_baselineBoardB_2.seq:Rectangle 4 [C]:max,april10_baselineBoardB_2.seq:Rectangle 5 [C]:mean
1,2000-02-10 05:42:37.737000,0.000000,2.345243e+01,2.354919e+01,2.343860e+01,2.339710e+01,2.350082e+01,2.332922e+01
2,2000-02-10 05:42:37.897000,0.160000,2.350773e+01,2.368726e+01,2.346626e+01,2.353537e+01,2.363206e+01,2.332977e+01
3,2000-02-10 05:42:38.057000,0.320000,2.350773e+01,2.368036e+01,2.348700e+01,2.342477e+01,2.353537e+01,2.332592e+01
4,2000-02-10 05:42:38.217000,0.480000,2.349391e+01,2.363206e+01,2.348009e+01,2.346626e+01,2.353537e+01,2.332550e+01
5,2000-02-10 05:42:38.377000,0.640000,2.343860e+01,2.365966e+01,2.351464e+01,2.345243e+01,2.354919e+01,2.333142e+01
6,2000-02-10 05:42:38.537000,0.800000,2.347318e+01,2.366656e+01,2.345243e+01,2.344552e+01,2.365276e+01,2.332673e+01
7,2000-02-10 05:42:38.698000,0.961000,2.347318e+01,2.370106e+01,2.345243e+01,2.350082e+01,2.349391e+01,2.332647e+01
8,2000-02-10 05:42:38.857000,1.120000,2.345935e+01,2.359754e+01,2.354919e+01,2.341094e+01,2.353537e+01,2.332823e+01
9,2000-02-10 05:42:39.017000,1.280000,2.351464e+01,2.366656e+01,2.363206e+01,2.344552e+01,2.352847e+01,2.333156e+01
10,2000-02-10 05:42:39.178000,1.441000,2.359063e+01,2.375623e+01,2.400413e+01,2.352155e+01,2.358373e+01,2.334681e+01
11,2000-02-10 05:42:39.338000,1.601000,2.371485e+01,2.400413e+01,2.414846e+01,2.359754e+01,2.382515e+01,2.337609e+01
12,2000-02-10 05:42:39.498000,1.761000,2.390091e+01,2.421712e+01,2.443653e+01,2.367346e+01,2.383892e+01,2.340670e+01
13,2000-02-10 05:42:39.658000,1.921000,2.398349e+01,2.429945e+01,2.449816e+01,2.374244e+01,2.390779e+01,2.343232e+01
14,2000-02-10 05:42:39.818000,2.081000,2.398349e+01,2.442968e+01,2.462130e+01,2.388025e+01,2.386648e+01,2.344393e+01
15,2000-02-10 05:42:39.978000,2.241000,2.401788e+01,2.456659e+01,2.473747e+01,2.388713e+01,2.390779e+01,2.346565e+01
16,2000-02-10 05:42:40.138000,2.401000,2.408663e+01,2.466232e+01,2.478527e+01,2.403163e+01,2.403163e+01,2.348818e+01
17,2000-02-10 05:42:40.298000,2.561000,2.410037e+01,2.476479e+01,2.490126e+01,2.410037e+01,2.398349e+01,2.350686e+01
18,2000-02-10 05:42:40.458000,2.721000,2.412785e+01,2.490808e+01,2.493535e+01,2.415533e+01,2.406601e+01,2.353113e+01
19,2000-02-10 05:42:40.618000,2.881000,2.413472e+01,2.503755e+01,2.500350e+01,2.418966e+01,2.423771e+01,2.354494e+01
20,2000-02-10 05:42:40.778000,3.041000,2.422398e+01,2.511924e+01,2.503755e+01,2.432689e+01,2.405913e+01,2.355564e+01
21,2000-02-10 05:42:40.938000,3.201000,2.424457e+01,2.520767e+01,2.509883e+01,2.449816e+01,2.410724e+01,2.357755e+01
22,2000-02-10 05:42:41.098000,3.361000,2.424457e+01,2.522127e+01,2.526884e+01,2.443653e+01,2.415533e+01,2.359886e+01
23,2000-02-10 05:42:41.258000,3.521000,2.424457e+01,2.533677e+01,2.522807e+01,2.445708e+01,2.416906e+01,2.361166e+01
24,2000-02-10 05:42:41.418000,3.681000,2.438172e+01,2.539109e+01,2.522807e+01,2.449816e+01,2.414159e+01,2.362875e+01
25,2000-02-10 05:42:41.578000,3.841000,2.442283e+01,2.539788e+01,2.524166e+01,2.454607e+01,2.417593e+01,2.364135e+01
26,2000-02-10 05:42:41.738000,4.001000,2.433374e+01,2.542502e+01,2.533677e+01,2.461447e+01,2.414159e+01,2.366158e+01
27,2000-02-10 05:42:41.898000,4.161000,2.448447e+01,2.551319e+01,2.536394e+01,2.470332e+01,2.414846e+01,2.364491e+01
28,2000-02-10 05:42:42.058000,4.321000,2.436116e+01,2.566224e+01,2.532998e+01,2.468965e+01,2.414159e+01,2.364953e+01
29,2000-02-10 05:42:42.218000,4.481000,2.436116e+01,2.566900e+01,2.537751e+01,2.475796e+01,2.422398e+01,2.366597e+01
30,2000-02-10 05:42:42.378000,4.641000,2.442283e+01,2.577726e+01,2.541823e+01,2.478527e+01,2.429259e+01,2.368368e+01
31,2000-02-10 05:42:42.538000,4.801000,2.448447e+01,2.566224e+01,2.545894e+01,2.479210e+01,2.436802e+01,2.369260e+01
