frame,abstime,reltime,april10_baselineBoardB_0.seq:Rectangle 1 [C]:max,april10_baselineBoardB_0.seq:Polygon 1 [C]:max,april10_baselineBoardB_0.seq:Rectangle 2 [C]:max,april10_baselineBoardB_0.seq:Rectangle 3 [C]:max,april10_baselineBoardB_0.seq:Rectangle 4 [C]:max,april10_baselineBoardB_0.seq:Rectangle 5 [C]:mean
1,2000-02-10 05:25:24.399000,0.000000,2.412098e+01,2.377691e+01,2.366656e+01,2.365276e+01,2.374244e+01,2.346503e+01
2,2000-02-10 05:25:24.559000,0.160000,2.414846e+01,2.366656e+01,2.372865e+01,2.370795e+01,2.374244e+01,2.346827e+01
3,2000-02-10 05:25:24.719000,0.320000,2.407975e+01,2.368726e+01,2.371485e+01,2.361135e+01,2.375623e+01,2.346309e+01
4,2000-02-10 05:25:24.879000,0.480000,2.417593e+01,2.368036e+01,2.363206e+01,2.361825e+01,2.375623e+01,2.346414e+01
5,2000-02-10 05:25:25.039000,0.640000,2.421712e+01,2.368726e+01,2.363896e+01,2.372175e+01,2.369416e+01,2.346332e+01
6,2000-02-10 05:25:25.199000,0.800000,2.405226e+01,2.365966e+01,2.370106e+01,2.361825e+01,2.377691e+01,2.347583e+01
7,2000-02-10 05:25:25.359000,0.960000,2.418966e+01,2.368726e+01,2.377691e+01,2.356991e+01,2.378380e+01,2.348297e+01
8,2000-02-10 05:25:25.519000,1.120000,2.418280e+01,2.368036e+01,2.368726e+01,2.358373e+01,2.378380e+01,2.348089e+01
9,2000-02-10 05:25:25.679000,1.280000,2.412098e+01,2.385959e+01,2.378380e+01,2.360444e+01,2.377691e+01,2.348686e+01
10,2000-02-10 05:25:25.839000,1.440000,2.427888e+01,2.399725e+01,2.411411e+01,2.373554e+01,2.386648e+01,2.350614e+01
11,2000-02-10 05:25:25.999000,1.600000,2.425830e+01,2.420339e+01,2.439543e+01,2.376312e+01,2.399725e+01,2.352908e+01
12,2000-02-10 05:25:26.159000,1.760000,2.427888e+01,2.440913e+01,2.460079e+01,2.385270e+01,2.403851e+01,2.355746e+01
13,2000-02-10 05:25:26.319000,1.920000,2.427202e+01,2.461447e+01,2.468282e+01,2.398349e+01,2.405226e+01,2.357196e+01
14,2000-02-10 05:25:26.479000,2.080000,2.442968e+01,2.467599e+01,2.483987e+01,2.396285e+01,2.412098e+01,2.359324e+01
15,2000-02-10 05:25:26.639000,2.240000,2.431317e+01,2.492171e+01,2.497624e+01,2.415533e+01,2.435431e+01,2.361177e+01
16,2000-02-10 05:25:26.799000,2.400000,2.447077e+01,2.496943e+01,2.509202e+01,2.417593e+01,2.431317e+01,2.363888e+01
17,2000-02-10 05:25:26.959000,2.560000,2.449131e+01,2.506479e+01,2.524166e+01,2.425830e+01,2.427888e+01,2.365734e+01
18,2000-02-10 05:25:27.120000,2.721000,2.456659e+01,2.511244e+01,2.520767e+01,2.436802e+01,2.431317e+01,2.367522e+01
19,2000-02-10 05:25:27.280000,2.881000,2.458711e+01,2.526205e+01,2.524846e+01,2.443653e+01,2.431317e+01,2.369681e+01
20,2000-02-10 05:25:27.440000,3.041000,2.457343e+01,2.528923e+01,2.532319e+01,2.452554e+01,2.428574e+01,2.371704e+01
21,2000-02-10 05:25:27.600000,3.201000,2.468965e+01,2.534357e+01,2.545216e+01,2.461447e+01,2.434060e+01,2.373150e+01
22,2000-02-10 05:25:27.760000,3.361000,2.460079e+01,2.549285e+01,2.533677e+01,2.466915e+01,2.430631e+01,2.374859e+01
23,2000-02-10 05:25:27.920000,3.521000,2.467599e+01,2.548607e+01,2.540466e+01,2.468965e+01,2.435431e+01,2.376000e+01
24,2000-02-10 05:25:28.080000,3.681000,2.460079e+01,2.557419e+01,2.552675e+01,2.473064e+01,2.444338e+01,2.378156e+01
25,2000-02-10 05:25:28.240000,3.841000,2.462814e+01,2.567577e+01,2.551319e+01,2.487398e+01,2.445023e+01,2.379932e+01
26,2000-02-10 05:25:28.401000,4.002000,2.469649e+01,2.573668e+01,2.558097e+01,2.489444e+01,2.437487e+01,2.381989e+01
27,2000-02-10 05:25:28.561000,4.162000,2.466915e+01,2.578402e+01,2.566224e+01,2.489444e+01,2.450500e+01,2.383414e+01
28,2000-02-10 05:25:28.721000,4.322000,2.472381e+01,2.587189e+01,2.562838e+01,2.493535e+01,2.449131e+01,2.385541e+01
29,2000-02-10 05:25:28.881000,4.482000,2.471698e+01,2.588541e+01,2.565546e+01,2.496943e+01,2.442968e+01,2.386367e+01
30,2000-02-10 05:25:29.041000,4.642000,2.479210e+01,2.590567e+01,2.565546e+01,2.503074e+01,2.442283e+01,2.387738e+01
31,2000-02-10 05:25:29.201000,4.802000,2.474430e+01,2.597994e+01,2.570285e+01,2.503074e+01,2.448447e+01,2.389895e+01
32,2000-02-10 05:25:29.361000,4.962000,2.480575e+01,2.599344e+01,2.571638e+01,2.506479e+01,2.448447e+01,2.390409e+01
33,2000-02-10 05:25:29.521000,5.122000,2.480575e+01,2.613507e+01,2.585162e+01,2.521447e+01,2.441598e+01,2.392275e+01
34,2000-02-10 05:25:29.681000,5.282000,2.479892e+01,2.620245e+01,2.582459e+01,2.513966e+01,2.452554e+01,2.393984e+01
35,2000-02-10 05:25:29.841000,5.442000,2.483987e+01,2.610811e+01,2.585838e+01,2.518727e+01,2.447762e+01,2.395241e+01
36,2000-02-10 05:25:30.002000,5.603000,2.485351e+01,2.623612e+01,2.585838e+01,2.523486e+01,2.449131e+01,2.396426e+01
37,2000-02-10 05:25:30.161000,5.762000,2.488080e+01,2.618224e+01,2.599344e+01,2.526884e+01,2.446393e+01,2.397285e+01
38,2000-02-10 05:25:30.321000,5.922000,2.506479e+01,2.624959e+01,2.592593e+01,2.528923e+01,2.451185e+01,2.398977e+01
39,2000-02-10 05:25:30.481000,6.082000,2.494898e+01,2.634380e+01,2.596644e+01,2.530282e+01,2.453922e+01,2.400723e+01
40,2000-02-10 05:25:30.641000,6.242000,2.497624e+01,2.638415e+01,2.602044e+01,2.537072e+01,2.465549e+01,2.402617e+01
41,2000-02-10 05:25:30.801000,6.402000,2.501712e+01,2.633035e+01,2.595969e+01,2.539788e+01,2.459395e+01,2.404266e+01
42,2000-02-10 05:25:30.961000,6.562000,2.505798e+01,2.635725e+01,2.595969e+01,2.547251e+01,2.464181e+01,2.406047e+01
43,2000-02-10 05:25:31.121000,6.722000,2.499668e+01,2.642449e+01,2.601369e+01,2.548607e+01,2.466915e+01,2.406708e+01
44,2000-02-10 05:25:31.281000,6.882000,2.502393e+01,2.647824e+01,2.599344e+01,2.549285e+01,2.470332e+01,2.407607e+01
45,2000-02-10 05:25:31.441000,7.042000,2.510563e+01,2.645809e+01,2.605416e+01,2.545894e+01,2.456659e+01,2.408075e+01
46,2000-02-10 05:25:31.601000,7.202000,2.504436e+01,2.651183e+01,2.606765e+01,2.549285e+01,2.459395e+01,2.408225e+01
47,2000-02-10 05:25:31.761000,7.362000,2.514646e+01,2.654540e+01,2.601369e+01,2.549963e+01,2.461447e+01,2.409829e+01
48,2000-02-10 05:25:31.921000,7.522000,2.509202e+01,2.655883e+01,2.605416e+01,2.551319e+01,2.462130e+01,2.410879e+01
49,2000-02-10 05:25:32.081000,7.682000,2.510563e+01,2.648496e+01,2.614181e+01,2.549285e+01,2.460763e+01,2.411505e+01
50,2000-02-10 05:25:32.241000,7.842000,2.523486e+01,2.655883e+01,2.608114e+01,2.554031e+01,2.464181e+01,2.412201e+01
51,2000-02-10 05:25:32.401000,8.002000,2.512605e+01,2.661923e+01,2.611485e+01,2.554708e+01,2.460763e+01,2.413100e+01
52,2000-02-10 05:25:32.561000,8.162000,2.524846e+01,2.667959e+01,2.618224e+01,2.561483e+01,2.469649e+01,2.414296e+01
53,2000-02-10 05:25:32.721000,8.322000,2.519407e+01,2.662594e+01,2.630343e+01,2.556064e+01,2.461447e+01,2.415868e+01
54,2000-02-10 05:25:32.881000,8.482000,2.515326e+01,2.665277e+01,2.620918e+01,2.555386e+01,2.463498e+01,2.416459e+01
55,2000-02-10 05:25:33.041000,8.642000,2.518727e+01,2.668630e+01,2.618224e+01,2.562161e+01,2.456659e+01,2.417082e+01
56,2000-02-10 05:25:33.201000,8.802000,2.522127e+01,2.672652e+01,2.631016e+01,2.560806e+01,2.461447e+01,2.418553e+01
57,2000-02-10 05:25:33.361000,8.962000,2.521447e+01,2.667289e+01,2.622265e+01,2.563515e+01,2.469649e+01,2.417892e+01
58,2000-02-10 05:25:33.521000,9.122000,2.524846e+01,2.674663e+01,2.628324e+01,2.562838e+01,2.461447e+01,2.418524e+01
59,2000-02-10 05:25:33.681000,9.282000,2.524166e+01,2.676003e+01,2.626978e+01,2.569608e+01,2.464181e+01,2.419489e+01
60,2000-02-10 05:25:33.841000,9.442000,2.524846e+01,2.673993e+01,2.637070e+01,2.572991e+01,2.469649e+01,2.420018e+01
61,2000-02-10 05:25:34.001000,9.602000,2.524166e+01,2.668630e+01,2.636398e+01,2.570285e+01,2.466232e+01,2.420886e+01
62,2000-02-10 05:25:34.161000,9.762000,2.528243e+01,2.667289e+01,2.633035e+01,2.570285e+01,2.460079e+01,2.421505e+01
63,2000-02-10 05:25:34.321000,9.922000,2.530282e+01,2.689395e+01,2.642449e+01,2.575021e+01,2.460763e+01,2.422569e+01
64,2000-02-10 05:25:34.481000,10.082000,2.538430e+01,2.674663e+01,2.635725e+01,2.575697e+01,2.475796e+01,2.423367e+01
65,2000-02-10 05:25:34.641000,10.242000,2.541823e+01,2.669300e+01,2.639760e+01,2.572991e+01,2.464865e+01,2.423923e+01
66,2000-02-10 05:25:34.801000,10.402000,2.539788e+01,2.681362e+01,2.630343e+01,2.574344e+01,2.469649e+01,2.424289e+01
67,2000-02-10 05:25:34.961000,10.562000,2.532319e+01,2.689395e+01,2.637743e+01,2.576373e+01,2.467599e+01,2.425583e+01
68,2000-02-10 05:25:35.121000,10.722000,2.539109e+01,2.681362e+01,2.641776e+01,2.590567e+01,2.464181e+01,2.427086e+01
69,2000-02-10 05:25:35.281000,10.882000,2.532319e+01,2.678683e+01,2.643121e+01,2.579078e+01,2.463498e+01,2.427246e+01
70,2000-02-10 05:25:35.441000,11.042000,2.541145e+01,2.684710e+01,2.639087e+01,2.585838e+01,2.465549e+01,2.428347e+01
71,2000-02-10 05:25:35.601000,11.202000,2.542502e+01,2.686718e+01,2.648496e+01,2.584487e+01,2.466915e+01,2.431351e+01
72,2000-02-10 05:25:35.761000,11.362000,2.540466e+01,2.696753e+01,2.651183e+01,2.590567e+01,2.488762e+01,2.432242e+01
73,2000-02-10 05:25:35.921000,11.522000,2.547929e+01,2.693409e+01,2.661252e+01,2.588541e+01,2.474430e+01,2.432860e+01
74,2000-02-10 05:25:36.081000,11.682000,2.541145e+01,2.692071e+01,2.653869e+01,2.587189e+01,2.476479e+01,2.434093e+01
75,2000-02-10 05:25:36.241000,11.842000,2.546572e+01,2.689395e+01,2.653197e+01,2.590567e+01,2.479892e+01,2.434958e+01
