frame,abstime,reltime,april10_baselineBoardD_1.seq:Rectangle 1 [C]:max,april10_baselineBoardD_1.seq:Polygon 1 [C]:max,april10_baselineBoardD_1.seq:Rectangle 2 [C]:max,april10_baselineBoardD_1.seq:Rectangle 3 [C]:max,april10_baselineBoardD_1.seq:Rectangle 4 [C]:max,april10_baselineBoardD_1.seq:Rectangle 5 [C]:mean
1,2000-02-10 07:29:01.329000,0.000000,2.418280e+01,2.370795e+01,2.377001e+01,2.364586e+01,2.383892e+01,2.347911e+01
2,2000-02-10 07:29:01.489000,0.160000,2.413472e+01,2.373554e+01,2.387336e+01,2.365276e+01,2.377691e+01,2.347765e+01
3,2000-02-10 07:29:01.649000,0.320000,2.414159e+01,2.372175e+01,2.379069e+01,2.373554e+01,2.378380e+01,2.347840e+01
4,2000-02-10 07:29:01.809000,0.480000,2.404538e+01,2.371485e+01,2.370106e+01,2.362515e+01,2.374933e+01,2.347948e+01
5,2000-02-10 07:29:01.970000,0.641000,2.399725e+01,2.368726e+01,2.370106e+01,2.363896e+01,2.373554e+01,2.347960e+01
6,2000-02-10 07:29:02.130000,0.801000,2.410037e+01,2.372865e+01,2.368726e+01,2.362515e+01,2.376312e+01,2.347753e+01
7,2000-02-10 07:29:02.290000,0.961000,2.414159e+01,2.367346e+01,2.370106e+01,2.360444e+01,2.383204e+01,2.348268e+01
8,2000-02-10 07:29:02.450000,1.121000,2.402476e+01,2.368036e+01,2.370106e+01,2.369416e+01,2.379069e+01,2.348036e+01
9,2000-02-10 07:29:02.610000,1.281000,2.415533e+01,2.381826e+01,2.383892e+01,2.364586e+01,2.376312e+01,2.349051e+01
10,2000-02-10 07:29:02.770000,1.441000,2.418966e+01,2.403851e+01,2.408663e+01,2.368726e+01,2.386648e+01,2.351524e+01
11,2000-02-10 07:29:02.930000,1.601000,2.427202e+01,2.434060e+01,2.437487e+01,2.370795e+01,2.399725e+01,2.355915e+01
12,2000-02-10 07:29:03.090000,1.761000,2.437487e+01,2.447762e+01,2.464181e+01,2.395597e+01,2.406601e+01,2.362255e+01
13,2000-02-10 07:29:03.250000,1.921000,2.451869e+01,2.469649e+01,2.483987e+01,2.399037e+01,2.413472e+01,2.365990e+01
14,2000-02-10 07:29:03.410000,2.081000,2.437487e+01,2.484669e+01,2.505117e+01,2.411411e+01,2.421026e+01,2.368358e+01
15,2000-02-10 07:29:03.570000,2.241000,2.454607e+01,2.494217e+01,2.498987e+01,2.422398e+01,2.431317e+01,2.370670e+01
16,2000-02-10 07:29:03.730000,2.401000,2.445023e+01,2.501712e+01,2.510563e+01,2.425143e+01,2.424457e+01,2.373028e+01
17,2000-02-10 07:29:03.890000,2.561000,2.451869e+01,2.510563e+01,2.524166e+01,2.438858e+01,2.429945e+01,2.375092e+01
18,2000-02-10 07:29:04.050000,2.721000,2.451869e+01,2.523486e+01,2.526205e+01,2.445023e+01,2.432003e+01,2.377885e+01
19,2000-02-10 07:29:04.210000,2.881000,2.456659e+01,2.538430e+01,2.531640e+01,2.453238e+01,2.434745e+01,2.379895e+01
20,2000-02-10 07:29:04.370000,3.041000,2.462814e+01,2.538430e+01,2.536394e+01,2.453922e+01,2.435431e+01,2.380932e+01
21,2000-02-10 07:29:04.530000,3.201000,2.464865e+01,2.547929e+01,2.535036e+01,2.466915e+01,2.447762e+01,2.382182e+01
22,2000-02-10 07:29:04.690000,3.361000,2.465549e+01,2.549963e+01,2.546572e+01,2.472381e+01,2.439543e+01,2.384473e+01
23,2000-02-10 07:29:04.850000,3.521000,2.471698e+01,2.568254e+01,2.554031e+01,2.473747e+01,2.441598e+01,2.386157e+01
24,2000-02-10 07:29:05.010000,3.681000,2.473747e+01,2.567577e+01,2.549285e+01,2.473064e+01,2.441598e+01,2.384499e+01
25,2000-02-10 07:29:05.170000,3.841000,2.471698e+01,2.570961e+01,2.554031e+01,2.476479e+01,2.438172e+01,2.384365e+01
