frame,abstime,reltime,april10_baselineBoardE_1.seq:Rectangle 1 [C]:max,april10_baselineBoardE_1.seq:Polygon 1 [C]:max,april10_baselineBoardE_1.seq:Rectangle 2 [C]:max,april10_baselineBoardE_1.seq:Rectangle 3 [C]:max,april10_baselineBoardE_1.seq:Rectangle 4 [C]:max,april10_baselineBoardE_1.seq:Rectangle 5 [C]:mean
43,2000-02-10 08:07:32.063000,6.719000,2.535036e+01,2.665948e+01,2.623612e+01,2.579078e+01,2.490126e+01,2.438269e+01
44,2000-02-10 08:07:32.223000,6.879000,2.539788e+01,2.676003e+01,2.624285e+01,2.577726e+01,2.487398e+01,2.439409e+01
45,2000-02-10 08:07:32.383000,7.039000,2.539788e+01,2.670641e+01,2.626978e+01,2.587189e+01,2.485351e+01,2.440312e+01
46,2000-02-10 08:07:32.543000,7.199000,2.549285e+01,2.672652e+01,2.624285e+01,2.583135e+01,2.488762e+01,2.442103e+01
47,2000-02-10 08:07:32.703000,7.359000,2.545894e+01,2.678683e+01,2.631689e+01,2.587189e+01,2.490126e+01,2.442835e+01
48,2000-02-10 08:07:32.863000,7.519000,2.556064e+01,2.676673e+01,2.633707e+01,2.587865e+01,2.493535e+01,2.443905e+01
49,2000-02-10 08:07:33.023000,7.679000,2.549963e+01,2.675333e+01,2.634380e+01,2.588541e+01,2.487398e+01,2.444296e+01
50,2000-02-10 08:07:33.183000,7.839000,2.549963e+01,2.692740e+01,2.631689e+01,2.593944e+01,2.493535e+01,2.445171e+01
51,2000-02-10 08:07:33.343000,7.999000,2.547929e+01,2.680022e+01,2.639087e+01,2.593269e+01,2.488080e+01,2.445918e+01
52,2000-02-10 08:07:33.503000,8.159000,2.554031e+01,2.682701e+01,2.637070e+01,2.593269e+01,2.491490e+01,2.447576e+01
53,2000-02-10 08:07:33.663000,8.319000,2.557419e+01,2.688056e+01,2.639760e+01,2.598669e+01,2.495580e+01,2.448456e+01
54,2000-02-10 08:07:33.823000,8.479000,2.559451e+01,2.695416e+01,2.647153e+01,2.602044e+01,2.497624e+01,2.450488e+01
55,2000-02-10 08:07:33.983000,8.639000,2.558774e+01,2.688056e+01,2.643121e+01,2.606091e+01,2.498306e+01,2.452770e+01
56,2000-02-10 08:07:34.143000,8.799000,2.571638e+01,2.691402e+01,2.649168e+01,2.608114e+01,2.499668e+01,2.454365e+01
57,2000-02-10 08:07:34.303000,8.959000,2.560129e+01,2.700097e+01,2.655212e+01,2.612833e+01,2.503755e+01,2.454986e+01
58,2000-02-10 08:07:34.463000,9.119000,2.570285e+01,2.691402e+01,2.661252e+01,2.607440e+01,2.500350e+01,2.455581e+01
59,2000-02-10 08:07:34.623000,9.279000,2.573668e+01,2.694078e+01,2.649168e+01,2.610137e+01,2.507841e+01,2.456319e+01
60,2000-02-10 08:07:34.783000,9.439000,2.572315e+01,2.697422e+01,2.665948e+01,2.614181e+01,2.504436e+01,2.458440e+01
61,2000-02-10 08:07:34.943000,9.599000,2.570285e+01,2.697422e+01,2.653197e+01,2.611485e+01,2.503755e+01,2.458277e+01
62,2000-02-10 08:07:35.103000,9.759000,2.571638e+01,2.699428e+01,2.653197e+01,2.615529e+01,2.501712e+01,2.459462e+01
63,2000-02-10 08:07:35.263000,9.919000,2.581783e+01,2.708784e+01,2.657226e+01,2.616203e+01,2.515326e+01,2.462505e+01
64,2000-02-10 08:07:35.423000,10.079000,2.574344e+01,2.708784e+01,2.663935e+01,2.620245e+01,2.511244e+01,2.463766e+01
65,2000-02-10 08:07:35.583000,10.239000,2.571638e+01,2.708116e+01,2.669971e+01,2.628997e+01,2.504436e+01,2.465121e+01
66,2000-02-10 08:07:35.743000,10.399000,2.579078e+01,2.715461e+01,2.666618e+01,2.627651e+01,2.508521e+01,2.465813e+01
67,2000-02-10 08:07:35.903000,10.559000,2.578402e+01,2.710787e+01,2.668630e+01,2.625632e+01,2.503755e+01,2.466632e+01
68,2000-02-10 08:07:36.063000,10.719000,2.584487e+01,2.708116e+01,2.676003e+01,2.633035e+01,2.503074e+01,2.467533e+01
69,2000-02-10 08:07:36.223000,10.879000,2.584487e+01,2.716129e+01,2.673993e+01,2.632362e+01,2.510563e+01,2.468774e+01
70,2000-02-10 08:07:36.383000,11.039000,2.586514e+01,2.715461e+01,2.671312e+01,2.628997e+01,2.518047e+01,2.469821e+01
71,2000-02-10 08:07:36.543000,11.199000,2.583811e+01,2.715461e+01,2.678683e+01,2.630343e+01,2.509202e+01,2.470407e+01
72,2000-02-10 08:07:36.703000,11.359000,2.582459e+01,2.712791e+01,2.670641e+01,2.631016e+01,2.516687e+01,2.470994e+01
73,2000-02-10 08:07:36.863000,11.519000,2.587189e+01,2.713458e+01,2.679352e+01,2.628997e+01,2.509202e+01,2.471774e+01
74,2000-02-10 08:07:37.023000,11.679000,2.585162e+01,2.720133e+01,2.680692e+01,2.637743e+01,2.509202e+01,2.472859e+01
75,2000-02-10 08:07:37.183000,11.839000,2.593269e+01,2.720800e+01,2.684710e+01,2.647153e+01,2.518047e+01,2.473620e+01
76,2000-02-10 08:07:37.343000,11.999000,2.597319e+01,2.719466e+01,2.684040e+01,2.637743e+01,2.513966e+01,2.474654e+01
77,2000-02-10 08:07:37.503000,12.159000,2.602044e+01,2.722135e+01,2.683371e+01,2.647153e+01,2.514646e+01,2.475471e+01
78,2000-02-10 08:07:37.663000,12.319000,2.593944e+01,2.724803e+01,2.684710e+01,2.636398e+01,2.511924e+01,2.476386e+01
79,2000-02-10 08:07:37.823000,12.479000,2.597994e+01,2.730804e+01,2.687387e+01,2.642449e+01,2.515326e+01,2.477257e+01
80,2000-02-10 08:07:37.983000,12.639000,2.597994e+01,2.717464e+01,2.678683e+01,2.651855e+01,2.515326e+01,2.477943e+01
81,2000-02-10 08:07:38.143000,12.799000,2.604742e+01,2.726804e+01,2.687387e+01,2.643793e+01,2.526884e+01,2.479258e+01
