frame,abstime,reltime,april15_microphoneBoardB_2.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_2.seq:Polygon 1 [C]:max,april15_microphoneBoardB_2.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_2.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_2.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_2.seq:Rectangle 5 [C]:mean
1,2000-02-14 21:04:24.479000,0.000000,2.322400e+01,2.329328e+01,2.343169e+01,2.346626e+01,2.358373e+01,2.300285e+01
2,2000-02-14 21:04:24.639000,0.160000,2.319628e+01,2.326557e+01,2.336251e+01,2.350773e+01,2.344552e+01,2.300717e+01
3,2000-02-14 21:04:24.799000,0.320000,2.323786e+01,2.339710e+01,2.328635e+01,2.345243e+01,2.359063e+01,2.300590e+01
4,2000-02-14 21:04:24.959000,0.480000,2.320321e+01,2.331405e+01,2.333482e+01,2.345935e+01,2.354919e+01,2.300231e+01
5,2000-02-14 21:04:25.119000,0.640000,2.321014e+01,2.336251e+01,2.339710e+01,2.341786e+01,2.354228e+01,2.299666e+01
6,2000-02-14 21:04:25.279000,0.800000,2.321014e+01,2.332790e+01,2.327943e+01,2.340402e+01,2.351464e+01,2.299615e+01
7,2000-02-14 21:04:25.439000,0.960000,2.320321e+01,2.333482e+01,2.330713e+01,2.349391e+01,2.343860e+01,2.299526e+01
8,2000-02-14 21:04:25.599000,1.120000,2.316855e+01,2.335559e+01,2.336943e+01,2.354919e+01,2.348700e+01,2.299664e+01
9,2000-02-14 21:04:25.759000,1.280000,2.339018e+01,2.339018e+01,2.361825e+01,2.359063e+01,2.354919e+01,2.301072e+01
10,2000-02-14 21:04:25.919000,1.440000,2.339710e+01,2.345935e+01,2.371485e+01,2.355610e+01,2.352847e+01,2.303369e+01
11,2000-02-14 21:04:26.079000,1.600000,2.351464e+01,2.365966e+01,2.408663e+01,2.354228e+01,2.364586e+01,2.305177e+01
12,2000-02-14 21:04:26.239000,1.760000,2.354919e+01,2.387336e+01,2.416906e+01,2.373554e+01,2.358373e+01,2.307454e+01
13,2000-02-14 21:04:26.399000,1.920000,2.354228e+01,2.396285e+01,2.429945e+01,2.378380e+01,2.354228e+01,2.310008e+01
14,2000-02-14 21:04:26.559000,2.080000,2.360444e+01,2.416220e+01,2.423085e+01,2.381826e+01,2.378380e+01,2.312815e+01
15,2000-02-14 21:04:26.719000,2.240000,2.371485e+01,2.425143e+01,2.436116e+01,2.377001e+01,2.371485e+01,2.314455e+01
16,2000-02-14 21:04:26.879000,2.400000,2.364586e+01,2.436116e+01,2.447077e+01,2.378380e+01,2.370106e+01,2.316267e+01
17,2000-02-14 21:04:27.039000,2.560000,2.376312e+01,2.453922e+01,2.447762e+01,2.392156e+01,2.371485e+01,2.318864e+01
18,2000-02-14 21:04:27.199000,2.720000,2.374244e+01,2.453238e+01,2.449816e+01,2.401100e+01,2.370106e+01,2.320214e+01
19,2000-02-14 21:04:27.359000,2.880000,2.378380e+01,2.459395e+01,2.455975e+01,2.405226e+01,2.379069e+01,2.322224e+01
20,2000-02-14 21:04:27.519000,3.040000,2.387336e+01,2.471015e+01,2.465549e+01,2.416906e+01,2.380448e+01,2.326146e+01
21,2000-02-14 21:04:27.679000,3.200000,2.395597e+01,2.477844e+01,2.470332e+01,2.418966e+01,2.385270e+01,2.328774e+01
22,2000-02-14 21:04:27.839000,3.360000,2.392844e+01,2.478527e+01,2.475113e+01,2.427888e+01,2.376312e+01,2.329660e+01
23,2000-02-14 21:04:28.001000,3.522000,2.392156e+01,2.494217e+01,2.477844e+01,2.434745e+01,2.383892e+01,2.331231e+01
24,2000-02-14 21:04:28.161000,3.682000,2.405226e+01,2.500350e+01,2.480575e+01,2.440228e+01,2.378380e+01,2.332861e+01
25,2000-02-14 21:04:28.321000,3.842000,2.400413e+01,2.496261e+01,2.483987e+01,2.449131e+01,2.379069e+01,2.334416e+01
26,2000-02-14 21:04:28.481000,4.002000,2.410037e+01,2.501031e+01,2.485351e+01,2.449816e+01,2.379758e+01,2.336528e+01
27,2000-02-14 21:04:28.641000,4.162000,2.410037e+01,2.505798e+01,2.486034e+01,2.451185e+01,2.388025e+01,2.337796e+01
28,2000-02-14 21:04:28.801000,4.322000,2.413472e+01,2.509202e+01,2.493535e+01,2.460763e+01,2.379758e+01,2.338777e+01
29,2000-02-14 21:04:28.961000,4.482000,2.411411e+01,2.513285e+01,2.491490e+01,2.458027e+01,2.386648e+01,2.339377e+01
