frame,abstime,reltime,april3_microphoneBoardE_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardE_4.seq:Polygon 1 [C]:max,april3_microphoneBoardE_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardE_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardE_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardE_4.seq:Rectangle 5 [C]:mean
1,2000-02-03 08:11:49.991000,0.000000,2.432689e+01,2.449816e+01,2.429259e+01,2.444338e+01,2.474430e+01,2.399389e+01
2,2000-02-03 08:11:50.151000,0.160000,2.448447e+01,2.444338e+01,2.423771e+01,2.436116e+01,2.474430e+01,2.399710e+01
3,2000-02-03 08:11:50.311000,0.320000,2.445708e+01,2.449131e+01,2.430631e+01,2.442968e+01,2.475113e+01,2.399684e+01
4,2000-02-03 08:11:50.471000,0.480000,2.440228e+01,2.440228e+01,2.428574e+01,2.438858e+01,2.470332e+01,2.400398e+01
5,2000-02-03 08:11:50.631000,0.640000,2.457343e+01,2.449816e+01,2.432003e+01,2.433374e+01,2.468282e+01,2.399682e+01
6,2000-02-03 08:11:50.791000,0.800000,2.443653e+01,2.444338e+01,2.432003e+01,2.438172e+01,2.473064e+01,2.399201e+01
7,2000-02-03 08:11:50.951000,0.960000,2.451185e+01,2.447077e+01,2.430631e+01,2.428574e+01,2.488080e+01,2.401443e+01
8,2000-02-03 08:11:51.111000,1.120000,2.440913e+01,2.458711e+01,2.429945e+01,2.436802e+01,2.484669e+01,2.402551e+01
9,2000-02-03 08:11:51.271000,1.280000,2.442283e+01,2.447762e+01,2.430631e+01,2.433374e+01,2.488080e+01,2.402678e+01
10,2000-02-03 08:11:51.431000,1.440000,2.465549e+01,2.450500e+01,2.451185e+01,2.449131e+01,2.489444e+01,2.404332e+01
11,2000-02-03 08:11:51.591000,1.600000,2.453238e+01,2.456659e+01,2.464865e+01,2.448447e+01,2.490808e+01,2.406396e+01
12,2000-02-03 08:11:51.751000,1.760000,2.466232e+01,2.470332e+01,2.485351e+01,2.450500e+01,2.497624e+01,2.408630e+01
13,2000-02-03 08:11:51.911000,1.920000,2.469649e+01,2.484669e+01,2.494898e+01,2.460763e+01,2.504436e+01,2.411059e+01
14,2000-02-03 08:11:52.071000,2.080000,2.477844e+01,2.502393e+01,2.502393e+01,2.466915e+01,2.502393e+01,2.413787e+01
15,2000-02-03 08:11:52.231000,2.240000,2.482622e+01,2.528243e+01,2.512605e+01,2.481257e+01,2.505798e+01,2.416307e+01
16,2000-02-03 08:11:52.391000,2.400000,2.493535e+01,2.532319e+01,2.526205e+01,2.471698e+01,2.512605e+01,2.418526e+01
17,2000-02-03 08:11:52.551000,2.560000,2.490126e+01,2.539109e+01,2.526884e+01,2.479210e+01,2.520087e+01,2.420693e+01
18,2000-02-03 08:11:52.711000,2.720000,2.499668e+01,2.549285e+01,2.537751e+01,2.488762e+01,2.513966e+01,2.421974e+01
19,2000-02-03 08:11:52.871000,2.880000,2.497624e+01,2.556741e+01,2.535036e+01,2.496261e+01,2.521447e+01,2.423215e+01
20,2000-02-03 08:11:53.031000,3.040000,2.511244e+01,2.562838e+01,2.543859e+01,2.502393e+01,2.518727e+01,2.425639e+01
21,2000-02-03 08:11:53.191000,3.200000,2.509883e+01,2.565546e+01,2.546572e+01,2.511244e+01,2.514646e+01,2.426444e+01
22,2000-02-03 08:11:53.351000,3.360000,2.514646e+01,2.577050e+01,2.553353e+01,2.511924e+01,2.511244e+01,2.427586e+01
23,2000-02-03 08:11:53.511000,3.520000,2.518047e+01,2.576373e+01,2.556064e+01,2.522807e+01,2.508521e+01,2.428897e+01
24,2000-02-03 08:11:53.671000,3.680000,2.518727e+01,2.589216e+01,2.559451e+01,2.528243e+01,2.516006e+01,2.430197e+01
25,2000-02-03 08:11:53.831000,3.840000,2.518727e+01,2.591918e+01,2.565546e+01,2.528243e+01,2.516006e+01,2.431729e+01
26,2000-02-03 08:11:53.991000,4.000000,2.520087e+01,2.599344e+01,2.564869e+01,2.543180e+01,2.517367e+01,2.432615e+01
27,2000-02-03 08:11:54.151000,4.160000,2.524166e+01,2.597319e+01,2.572315e+01,2.544537e+01,2.503074e+01,2.434016e+01
28,2000-02-03 08:11:54.311000,4.320000,2.526205e+01,2.597319e+01,2.568254e+01,2.541823e+01,2.511244e+01,2.435018e+01
29,2000-02-03 08:11:54.471000,4.480000,2.530282e+01,2.608788e+01,2.574344e+01,2.550641e+01,2.507841e+01,2.436320e+01
30,2000-02-03 08:11:54.631000,4.640000,2.528923e+01,2.609463e+01,2.574344e+01,2.555386e+01,2.520087e+01,2.437533e+01
31,2000-02-03 08:11:54.791000,4.800000,2.541145e+01,2.614181e+01,2.575697e+01,2.561483e+01,2.507160e+01,2.438379e+01
32,2000-02-03 08:11:54.951000,4.960000,2.539109e+01,2.624959e+01,2.585838e+01,2.567577e+01,2.505798e+01,2.440134e+01
33,2000-02-03 08:11:55.111000,5.120000,2.542502e+01,2.623612e+01,2.581107e+01,2.564192e+01,2.506479e+01,2.440887e+01
34,2000-02-03 08:11:55.271000,5.280000,2.540466e+01,2.617550e+01,2.585162e+01,2.565546e+01,2.518047e+01,2.441275e+01
35,2000-02-03 08:11:55.431000,5.440000,2.543859e+01,2.618898e+01,2.590567e+01,2.568254e+01,2.514646e+01,2.441624e+01
36,2000-02-03 08:11:55.591000,5.600000,2.545894e+01,2.625632e+01,2.591918e+01,2.570961e+01,2.518047e+01,2.442579e+01
37,2000-02-03 08:11:55.751000,5.760000,2.547929e+01,2.625632e+01,2.593944e+01,2.574344e+01,2.520767e+01,2.443644e+01
38,2000-02-03 08:11:55.911000,5.920000,2.545894e+01,2.628324e+01,2.597994e+01,2.577726e+01,2.511924e+01,2.444586e+01
39,2000-02-03 08:11:56.071000,6.080000,2.553353e+01,2.633707e+01,2.595969e+01,2.595969e+01,2.521447e+01,2.446119e+01
40,2000-02-03 08:11:56.231000,6.240000,2.553353e+01,2.635725e+01,2.602044e+01,2.585838e+01,2.518047e+01,2.447165e+01
41,2000-02-03 08:11:56.391000,6.400000,2.556064e+01,2.632362e+01,2.605416e+01,2.581783e+01,2.513285e+01,2.448119e+01
42,2000-02-03 08:11:56.551000,6.560000,2.557419e+01,2.637743e+01,2.613507e+01,2.585838e+01,2.508521e+01,2.449202e+01
43,2000-02-03 08:11:56.711000,6.720000,2.565546e+01,2.647824e+01,2.619571e+01,2.587865e+01,2.530282e+01,2.451425e+01
