frame,abstime,reltime,april11_microphoneBoardA_0_2.seq:Rectangle 1 [C]:max,april11_microphoneBoardA_0_2.seq:Polygon 1 [C]:max,april11_microphoneBoardA_0_2.seq:Rectangle 2 [C]:max,april11_microphoneBoardA_0_2.seq:Rectangle 3 [C]:max,april11_microphoneBoardA_0_2.seq:Rectangle 4 [C]:max,april11_microphoneBoardA_0_2.seq:Rectangle 5 [C]:mean
1,2000-02-10 22:06:05.372000,0.000000,2.315468e+01,2.303673e+01,2.314081e+01,2.323093e+01,2.311307e+01,2.285091e+01
2,2000-02-10 22:06:05.532000,0.160000,2.314775e+01,2.303673e+01,2.318935e+01,2.312000e+01,2.302284e+01,2.284308e+01
3,2000-02-10 22:06:05.692000,0.320000,2.332097e+01,2.306450e+01,2.317548e+01,2.317548e+01,2.309225e+01,2.284410e+01
4,2000-02-10 22:06:05.852000,0.480000,2.312694e+01,2.312694e+01,2.316162e+01,2.318242e+01,2.301590e+01,2.284264e+01
5,2000-02-10 22:06:06.012000,0.640000,2.312694e+01,2.307837e+01,2.307144e+01,2.319628e+01,2.311307e+01,2.284042e+01
6,2000-02-10 22:06:06.172000,0.800000,2.313388e+01,2.311307e+01,2.321707e+01,2.319628e+01,2.298118e+01,2.284039e+01
7,2000-02-10 22:06:06.332000,0.960000,2.323786e+01,2.302979e+01,2.314081e+01,2.321707e+01,2.303673e+01,2.284243e+01
8,2000-02-10 22:06:06.492000,1.120000,2.318935e+01,2.305755e+01,2.318242e+01,2.325172e+01,2.309919e+01,2.283404e+01
9,2000-02-10 22:06:06.652000,1.280000,2.309225e+01,2.305755e+01,2.318935e+01,2.330020e+01,2.305755e+01,2.284653e+01
10,2000-02-10 22:06:06.812000,1.440000,2.321014e+01,2.334866e+01,2.374933e+01,2.329328e+01,2.314775e+01,2.286650e+01
11,2000-02-10 22:06:06.972000,1.600000,2.337635e+01,2.345935e+01,2.403851e+01,2.339018e+01,2.323093e+01,2.289490e+01
12,2000-02-10 22:06:07.132000,1.760000,2.350082e+01,2.365276e+01,2.429259e+01,2.348009e+01,2.334866e+01,2.291562e+01
13,2000-02-10 22:06:07.292000,1.920000,2.343860e+01,2.379758e+01,2.450500e+01,2.339710e+01,2.334174e+01,2.293876e+01
14,2000-02-10 22:06:07.452000,2.080000,2.353537e+01,2.394909e+01,2.470332e+01,2.343169e+01,2.353537e+01,2.296704e+01
15,2000-02-10 22:06:07.612000,2.240000,2.359754e+01,2.405913e+01,2.485351e+01,2.357682e+01,2.345243e+01,2.297714e+01
16,2000-02-10 22:06:07.772000,2.400000,2.354228e+01,2.414159e+01,2.497624e+01,2.365276e+01,2.354228e+01,2.300375e+01
17,2000-02-10 22:06:07.932000,2.560000,2.365276e+01,2.427202e+01,2.502393e+01,2.368036e+01,2.354919e+01,2.302315e+01
18,2000-02-10 22:06:08.092000,2.720000,2.363206e+01,2.432689e+01,2.513285e+01,2.382515e+01,2.354228e+01,2.304541e+01
19,2000-02-10 22:06:08.252000,2.880000,2.373554e+01,2.444338e+01,2.522807e+01,2.375623e+01,2.363206e+01,2.306295e+01
20,2000-02-10 22:06:08.412000,3.040000,2.377691e+01,2.457343e+01,2.526884e+01,2.395597e+01,2.359063e+01,2.307796e+01
21,2000-02-10 22:06:08.572000,3.200000,2.381137e+01,2.460079e+01,2.539788e+01,2.396973e+01,2.363206e+01,2.309467e+01
22,2000-02-10 22:06:08.732000,3.360000,2.391467e+01,2.473064e+01,2.542502e+01,2.401788e+01,2.370106e+01,2.310772e+01
23,2000-02-10 22:06:08.893000,3.521000,2.381137e+01,2.468965e+01,2.547251e+01,2.405226e+01,2.369416e+01,2.312597e+01
24,2000-02-10 22:06:09.052000,3.680000,2.391467e+01,2.472381e+01,2.559451e+01,2.411411e+01,2.366656e+01,2.313470e+01
25,2000-02-10 22:06:09.212000,3.840000,2.390091e+01,2.490126e+01,2.554031e+01,2.418966e+01,2.367346e+01,2.315022e+01
26,2000-02-10 22:06:09.373000,4.001000,2.401100e+01,2.488080e+01,2.552675e+01,2.423085e+01,2.366656e+01,2.316614e+01
27,2000-02-10 22:06:09.533000,4.161000,2.399037e+01,2.493535e+01,2.555386e+01,2.427202e+01,2.370795e+01,2.317729e+01
28,2000-02-10 22:06:09.693000,4.321000,2.405226e+01,2.495580e+01,2.558774e+01,2.425143e+01,2.370106e+01,2.319121e+01
29,2000-02-10 22:06:09.853000,4.481000,2.401100e+01,2.499668e+01,2.564869e+01,2.440228e+01,2.374933e+01,2.323400e+01
30,2000-02-10 22:06:10.013000,4.641000,2.410724e+01,2.503755e+01,2.577726e+01,2.446393e+01,2.370795e+01,2.324913e+01
31,2000-02-10 22:06:10.173000,4.801000,2.412098e+01,2.509883e+01,2.577050e+01,2.454607e+01,2.374933e+01,2.326087e+01
32,2000-02-10 22:06:10.333000,4.961000,2.414159e+01,2.516006e+01,2.575697e+01,2.442968e+01,2.387336e+01,2.327154e+01
33,2000-02-10 22:06:10.493000,5.121000,2.416906e+01,2.513966e+01,2.585162e+01,2.445023e+01,2.406601e+01,2.328563e+01
34,2000-02-10 22:06:10.653000,5.281000,2.408663e+01,2.517367e+01,2.583135e+01,2.455291e+01,2.379069e+01,2.329643e+01
35,2000-02-10 22:06:10.813000,5.441000,2.425143e+01,2.523486e+01,2.590567e+01,2.458027e+01,2.382515e+01,2.331259e+01
36,2000-02-10 22:06:10.973000,5.601000,2.425143e+01,2.522807e+01,2.589892e+01,2.455975e+01,2.383204e+01,2.331763e+01
37,2000-02-10 22:06:11.133000,5.761000,2.427888e+01,2.531640e+01,2.600019e+01,2.458027e+01,2.377691e+01,2.333156e+01
38,2000-02-10 22:06:11.293000,5.921000,2.433374e+01,2.524166e+01,2.600019e+01,2.463498e+01,2.381137e+01,2.334166e+01
39,2000-02-10 22:06:11.453000,6.081000,2.434745e+01,2.526205e+01,2.593269e+01,2.464181e+01,2.377691e+01,2.335050e+01
40,2000-02-10 22:06:11.613000,6.241000,2.436116e+01,2.524166e+01,2.611485e+01,2.465549e+01,2.383892e+01,2.335691e+01
41,2000-02-10 22:06:11.773000,6.401000,2.440913e+01,2.532319e+01,2.593269e+01,2.470332e+01,2.381826e+01,2.337926e+01
42,2000-02-10 22:06:11.933000,6.561000,2.442968e+01,2.535715e+01,2.588541e+01,2.471698e+01,2.384581e+01,2.340397e+01
43,2000-02-10 22:06:12.093000,6.721000,2.442283e+01,2.541823e+01,2.574344e+01,2.492171e+01,2.380448e+01,2.341694e+01
44,2000-02-10 22:06:12.253000,6.881000,2.444338e+01,2.539109e+01,2.575697e+01,2.477844e+01,2.383892e+01,2.342822e+01
45,2000-02-10 22:06:12.413000,7.041000,2.446393e+01,2.543859e+01,2.569608e+01,2.481940e+01,2.384581e+01,2.343640e+01
46,2000-02-10 22:06:12.573000,7.201000,2.451185e+01,2.545894e+01,2.565546e+01,2.494217e+01,2.382515e+01,2.344530e+01
47,2000-02-10 22:06:12.733000,7.361000,2.453238e+01,2.554708e+01,2.571638e+01,2.491490e+01,2.385959e+01,2.345252e+01
