Board Type,Board Instance,Component,Trial,a_rise,b_rise,c_rise,a_fall,b_fall,c_fall
baseline,A,samd,0,4.722509543629756,0.019884391888728894,5.304560690657905,-4.455324527139752,0.018811452168771944,-0.11853114157909253
baseline,A,atmega,0,4.867748892354461,0.021135387914394985,6.730564132138499,-4.632952301447905,0.020842129310669075,0.0911988732657943
baseline,A,3v3reg,0,4.88728019643065,0.02099614435200946,6.213387419542597,-4.540999883219312,0.020071199472685732,-0.039369888997365175
baseline,A,buck,0,4.718057429558517,0.020878342676682496,5.714700476883992,-4.450682886780598,0.020777358624620705,0.10827460560429901
baseline,A,usbesd,0,3.716658343373431,0.015710767526519738,4.083779643959917,-3.4634495934415437,0.016322869852322782,0.09719814101472257
baseline,A,fullboard,0,3.747140600221925,0.016770035647916175,3.896368788497918,-3.500585383979281,0.01672936741642782,0.029427415291822977
baseline,A,samd,1,4.833763337464457,0.01840937609124085,5.584412479515938,-4.349489029729311,0.018890713294786192,0.3245307463123801
baseline,A,atmega,1,4.996508844816117,0.020554998655553006,6.808079829081676,-4.565114106330998,0.0192240068705455,0.284708002624784
baseline,A,3v3reg,1,5.003475114202018,0.019327629941980087,6.54529416090657,-4.5405366155327425,0.01920287162486921,0.32216979601985
baseline,A,buck,1,4.87602608927106,0.019739888629193337,5.88156702015682,-4.3728194652454375,0.01918415232510723,0.3334450946367529
baseline,A,usbesd,1,3.9350574668943232,0.014188009848970456,4.2240049127316235,-3.4960883451626676,0.014246479307185193,0.1373714372912578
baseline,A,fullboard,1,3.8519843390222372,0.016373862229633645,4.014269202304819,-3.4506578453677363,0.014954376662695917,0.21180604825558588
baseline,A,samd,2,4.719357045196318,0.018874263091836114,5.16591710552342,-4.450174640085089,0.018532210660027984,-0.14006611033380723
baseline,A,atmega,2,4.846742219212205,0.021753658130513588,6.487127477126904,-4.604987503902872,0.0198734658977369,0.02976882211138467
baseline,A,3v3reg,2,4.92197237766276,0.020225748349915203,6.16667272535057,-4.591179344264654,0.019816447170200147,-0.06938080108895112
baseline,A,buck,2,4.760461586487451,0.01953953739065469,5.600765703000273,-4.455259040863316,0.01959225305729917,-0.02660661657399285
baseline,A,usbesd,2,3.789783211657918,0.015208302272002455,3.8997772481526294,-3.587287831512067,0.01451186501149195,-0.18155749597793452
baseline,A,fullboard,2,3.668912742446233,0.016586658602677055,3.667016936425073,-3.5279888652025195,0.01598804831552612,-0.10728806204547488
baseline,A,samd,3,4.796182487285276,0.016868866289173418,5.631047477516351,-4.520971784725536,0.01761319864888334,0.18395381304164019
baseline,A,atmega,3,4.89703563901067,0.018390765421384275,6.886587344997881,-4.694491512737675,0.018901361434356587,0.2519873381124453
baseline,A,3v3reg,3,4.931812862372816,0.01787216115868504,6.554863466319832,-4.611734837814984,0.018377788035415437,0.288915302010761
baseline,A,buck,3,4.79362101145169,0.018057924166167152,5.9227941562044855,-4.557705681835493,0.018372939537963068,0.20100374481020955
